champion1,champion2,games,wins,win_rate
Zyra,Tristana,2,2,100.0
Lee Sin,Varus,2,0,0.0
Gwen,Ezreal,1,1,100.0
Lee Sin,Brand,1,0,0.0
Volibear,Twitch,2,1,50.0
Jarvan IV,Kaisa,3,2,66.67
Poppy,Caitlyn,1,0,0.0
Udyr,Samira,1,1,100.0
Pantheon,Twitch,3,2,66.67
Jarvan IV,Smolder,2,2,100.0
Zed,Yunara,1,1,100.0
Ekko,Smolder,1,0,0.0
Xin Zhao,Yunara,1,0,0.0
Jax,Draven,1,1,100.0
Lee Sin,Lucian,1,0,0.0
Jarvan IV,Ezreal,1,1,100.0
Jarvan IV,Tristana,1,1,100.0
Hecarim,Mel,1,0,0.0
Reksai,Senna,1,1,100.0
Zed,Ziggs,1,0,0.0
Belveth,Ezreal,2,1,50.0
Ekko,Zyra,1,1,100.0
Master Yi,Vayne,1,0,0.0
Viego,Senna,1,1,100.0
Wukong,Yunara,1,1,100.0
Pantheon,Riven,2,0,0.0
Vi,Zyra,1,1,100.0
Mordekaiser,Xayah,1,0,0.0
Mordekaiser,Vayne,1,1,100.0
Ambessa,Yunara,1,0,0.0
Pantheon,Aphelios,2,2,100.0
Hecarim,Draven,1,0,0.0
Xin Zhao,Corki,1,1,100.0
Jarvan IV,Mel,1,0,0.0
Vi,Lucian,1,0,0.0
Ambessa,Ezreal,1,1,100.0
Pantheon,Aurora,1,0,0.0
Talon,Kaisa,2,1,50.0
Nocturne,Yunara,1,1,100.0
Lee Sin,Mel,1,1,100.0
Pantheon,Lucian,6,2,33.33
Viego,Heimerdinger,1,0,0.0
Ekko,Sivir,1,1,100.0
Vi,Draven,1,1,100.0
Shyvana,Jhin,1,0,0.0
Belveth,Ashe,2,1,50.0
Viego,Xayah,1,0,0.0
Viego,Karthus,1,1,100.0
Belveth,Lux,1,0,0.0
Nocturne,Aphelios,1,1,100.0
Jarvan IV,Zeri,1,0,0.0
Viego,Miss Fortune,1,1,100.0
Kindred,Ezreal,1,0,0.0
Trundle,Twitch,1,1,100.0
Shaco,Ezreal,2,0,0.0
Ekko,Yunara,2,1,50.0
Diana,Kaisa,1,1,100.0
Wukong,Lucian,1,0,0.0
Elise,Draven,1,1,100.0
Pantheon,Corki,1,0,0.0
Kindred,Yunara,1,0,0.0
Pantheon,Seraphine,1,0,0.0
Belveth,Lucian,1,1,100.0
Trundle,Miss Fortune,1,0,0.0
Viego,Yunara,3,3,100.0
Sejuani,Twitch,1,0,0.0
Shaco,Twitch,1,0,0.0
Jarvan IV,Ashe,1,1,100.0
Viego,Kaisa,3,1,33.33
Pantheon,Jhin,1,0,0.0
Zed,Sivir,1,1,100.0
Xin Zhao,Caitlyn,1,0,0.0
Ivern,Jhin,1,1,100.0
Xin Zhao,Ziggs,2,0,0.0
Talon,Tristana,1,1,100.0
Graves,Lucian,2,0,0.0
Wukong,Twitch,1,1,100.0
Lee Sin,Yunara,1,0,0.0
Jarvan IV,Yunara,1,1,100.0
Vi,Sivir,1,0,0.0
Qiyana,Jhin,1,1,100.0
Wukong,Ezreal,1,0,0.0
Jarvan IV,Senna,1,0,0.0
Pantheon,Sivir,1,1,100.0
Vi,Jhin,1,0,0.0
Zed,Twitch,1,1,100.0
Elise,Yunara,1,1,100.0
Lee Sin,Aphelios,3,0,0.0
Udyr,Lucian,1,1,100.0
Volibear,Annie,1,0,0.0
Kayn,Caitlyn,1,1,100.0
Ivern,Veigar,2,1,50.0
Dr. Mundo,Draven,1,0,0.0
Viego,Vayne,1,0,0.0
Hecarim,Lux,1,1,100.0
Viego,Samira,1,1,100.0
Ivern,Jinx,1,0,0.0
Fiddlesticks,Miss Fortune,1,1,100.0
Taliyah,Lucian,1,0,0.0
Jarvan IV,Corki,1,1,100.0
Udyr,Vayne,1,1,100.0
Yuumi,Nilah,1,0,0.0
Gwen,Lucian,1,1,100.0
Gwen,Draven,1,0,0.0
Ekko,Corki,1,1,100.0
Rammus,Lucian,1,0,0.0
Nunu & Willump,Smolder,1,0,0.0
Graves,Tristana,1,1,100.0
Nunu & Willump,Jhin,1,1,100.0
Volibear,Sivir,1,0,0.0
Nunu & Willump,Viktor,1,0,0.0
Ivern,Kaisa,1,1,100.0
Hecarim,Tristana,1,0,0.0
Jarvan IV,Lux,1,1,100.0
Karthus,Twitch,1,0,0.0
Gragas,Kaisa,1,0,0.0
Talon,Twitch,1,1,100.0
Viego,Caitlyn,1,0,0.0
Nidalee,Twitch,2,1,50.0
Lee Sin,Smolder,1,1,100.0
Lee Sin,Vayne,2,1,50.0
Hecarim,Kaisa,1,1,100.0
Karthus,Samira,1,0,0.0
Nidalee,Aphelios,1,0,0.0
Ambessa,Sivir,1,1,100.0
Ambessa,Varus,1,1,100.0
Qiyana,Aphelios,1,0,0.0
Jarvan IV,Aphelios,1,1,100.0
Nidalee,Ashe,1,0,0.0
Volibear,Senna,1,1,100.0
Jax,Smolder,1,0,0.0
Vayne,Xayah,1,1,100.0
Lee Sin,Corki,1,0,0.0
Pantheon,Smolder,1,1,100.0
Lee Sin,Jhin,1,0,0.0
Lee Sin,Sivir,2,2,100.0
Volibear,Miss Fortune,1,0,0.0
Poppy,Ezreal,1,1,100.0
Wukong,Varus,1,0,0.0
Talon,Vayne,1,1,100.0
Nunu & Willump,Jinx,1,0,0.0
Zac,Viktor,1,1,100.0
Volibear,Kaisa,1,0,0.0
Belveth,Kaisa,1,1,100.0
Nidalee,Vayne,1,0,0.0
Gwen,Aphelios,1,0,0.0
Elise,Sivir,1,1,100.0
