champion1,champion2,champion3,games,wins,win_rate
Zyra,Nunu & Willump,Riven,1,1,100.0
Lee Sin,Nami,Taliyah,1,0,0.0
Gwen,Braum,Caitlyn,1,1,100.0
Lee Sin,Rakan,Viktor,1,0,0.0
Volibear,Nunu & Willump,Riven,1,0,0.0
Jarvan IV,Trundle,Twisted Fate,1,1,100.0
Poppy,Cassiopeia,Ambessa,1,0,0.0
Udyr,Seraphine,Riven,1,1,100.0
Pantheon,Zilean,Annie,1,0,0.0
Jarvan IV,Janna,Orianna,1,1,100.0
Zed,Leona,Aurora,1,1,100.0
Ekko,Alistar,Yone,1,0,0.0
Xin Zhao,Sona,Corki,1,0,0.0
Jax,Zyra,Ziggs,1,1,100.0
Lee Sin,Braum,Sylas,1,0,0.0
Jarvan IV,Alistar,Galio,1,1,100.0
Jarvan IV,Janna,Galio,1,1,100.0
Hecarim,Alistar,Corki,1,0,0.0
Reksai,Alistar,Sylas,1,1,100.0
Zed,Bard,Cassiopeia,1,0,0.0
Belveth,Rakan,Ryze,1,0,0.0
Ekko,Poppy,Riven,1,1,100.0
Master Yi,Camille,Morgana,1,0,0.0
Viego,Karma,Aurora,1,1,100.0
Wukong,Alistar,Aurora,1,1,100.0
Pantheon,Nami,Lux,1,0,0.0
Vi,Bard,Lux,1,1,100.0
Mordekaiser,Leona,Morgana,1,0,0.0
Mordekaiser,Rell,Yasuo,1,1,100.0
Ambessa,Braum,Lux,1,0,0.0
Pantheon,Thresh,Taliyah,1,1,100.0
Hecarim,Bard,Orianna,1,0,0.0
Xin Zhao,Bard,Azir,1,1,100.0
Jarvan IV,Rakan,Sylas,1,0,0.0
Vi,Rell,Yone,1,0,0.0
Ambessa,Braum,Azir,1,1,100.0
Jarvan IV,Nautilus,Annie,1,1,100.0
Pantheon,Senna,Akali,1,0,0.0
Talon,Alistar,Sylas,1,0,0.0
Nocturne,Rumble,Orianna,1,1,100.0
Lee Sin,Alistar,Ambessa,1,1,100.0
Pantheon,Yuumi,Sylas,1,0,0.0
Viego,Rell,Aurora,1,0,0.0
Ekko,Gragas,Yunara,1,1,100.0
Vi,Riven,Orianna,1,1,100.0
Shyvana,Neeko,Sion,1,0,0.0
Belveth,Rell,Viktor,1,0,0.0
Pantheon,Nami,Annie,1,1,100.0
Belveth,Braum,Annie,1,1,100.0
Viego,Nautilus,Mel,1,0,0.0
Viego,Lulu,Annie,1,1,100.0
Belveth,Karma,Yone,1,0,0.0
Nocturne,Braum,Aurora,1,1,100.0
Jarvan IV,Elise,Azir,1,0,0.0
Viego,Bard,Annie,1,1,100.0
Kindred,Alistar,Viktor,1,0,0.0
Trundle,Nautilus,Yone,1,1,100.0
Shaco,Alistar,Smolder,1,0,0.0
Pantheon,Nami,Diana,1,0,0.0
Ekko,Nautilus,Zoe,1,1,100.0
Diana,Pantheon,Kassadin,1,1,100.0
Wukong,Camille,Viktor,1,0,0.0
Elise,Janna,Neeko,1,1,100.0
Pantheon,Lulu,Riven,1,0,0.0
Kindred,Pyke,Orianna,1,0,0.0
Pantheon,Bard,Ryze,1,1,100.0
Pantheon,Senna,Aurora,1,0,0.0
Jarvan IV,Sona,Sylas,1,1,100.0
Belveth,Seraphine,Diana,1,1,100.0
