champion1,champion2,champion3,games,wins,win_rate
Talon,Jayce,Twisted Fate,1,1,100.0
Viego,Corki,Twisted Fate,1,0,0.0
Volibear,Riven,Lissandra,1,1,100.0
Nidalee,Gnar,Corki,1,0,0.0
Lee Sin,Vayne,Taliyah,1,1,100.0
Lee Sin,Aatrox,Zoe,1,0,0.0
Hecarim,Riven,Lissandra,1,1,100.0
Nidalee,Vayne,Kassadin,1,1,100.0
Karthus,Wukong,Ryze,1,0,0.0
Nidalee,Camille,Syndra,1,0,0.0
Ambessa,Vayne,Zac,1,1,100.0
Ambessa,Nidalee,LeBlanc,1,1,100.0
Qiyana,Jax,Zac,1,0,0.0
Jarvan IV,Vayne,Neeko,1,1,100.0
Nidalee,Jax,Aurora,1,0,0.0
Volibear,Riven,Twisted Fate,2,1,50.0
Jax,Quinn,Zoe,1,0,0.0
Vayne,Riven,Mel,1,1,100.0
Lee Sin,Camille,Ahri,1,0,0.0
Pantheon,Ambessa,Hwei,1,1,100.0
Lee Sin,Kayle,Syndra,1,0,0.0
Lee Sin,Renekton,Hwei,1,1,100.0
Jarvan IV,Nidalee,Kennen,1,0,0.0
Poppy,Vladimir,Zoe,1,1,100.0
Wukong,Neeko,Zoe,1,0,0.0
Pantheon,Riven,Nidalee,1,1,100.0
Talon,Fiora,Hwei,1,1,100.0
Nunu & Willump,Ambessa,Riven,1,0,0.0
Zac,Jayce,Riven,1,1,100.0
Volibear,Ambessa,Ryze,1,0,0.0
Belveth,Riven,Aurora,1,1,100.0
Nidalee,Ambessa,Azir,1,0,0.0
Gwen,Jayce,Varus,1,0,0.0
Elise,Vladimir,Riven,1,1,100.0
Nidalee,Nasus,Riven,1,0,0.0
Lee Sin,Jayce,Twisted Fate,1,1,100.0
Lee Sin,Gangplank,Zoe,1,0,0.0
Poppy,Riven,Kayle,1,1,100.0
Rammus,Jax,Akali,1,1,100.0
Belveth,Riven,Sylas,1,0,0.0
Lee Sin,Riven,Zoe,1,0,0.0
Nidalee,Renekton,Katarina,1,1,100.0
Nidalee,Sion,Corki,1,1,100.0
Poppy,Tryndamere,Syndra,1,0,0.0
Lee Sin,Neeko,Riven,1,1,100.0
Xin Zhao,Vayne,Ekko,1,0,0.0
Nidalee,Riven,Vayne,1,0,0.0
Kindred,Renekton,Taliyah,1,1,100.0
Graves,Chogath,Kayle,1,0,0.0
Jarvan IV,Riven,Viktor,1,1,100.0
Ivern,Riven,Taliyah,1,1,100.0
Nunu & Willump,Nidalee,Viktor,1,0,0.0
Pantheon,Riven,Twisted Fate,1,0,0.0
Viego,Nidalee,Hwei,1,1,100.0
Ekko,Mordekaiser,Pantheon,1,0,0.0
Viego,Vayne,Gragas,1,1,100.0
Lee Sin,Nidalee,Lissandra,1,1,100.0
Viego,Riven,Xerath,1,0,0.0
Udyr,Gragas,Riven,1,1,100.0
Pantheon,Renekton,Vladimir,1,0,0.0
Fiddlesticks,Warwick,Sion,1,0,0.0
Talon,Kayle,VelKoz,1,1,100.0
