champion1,champion2,games,wins,win_rate
Nunu & Willump,Zyra,1,1,100.0
Nami,Lee Sin,1,0,0.0
Braum,Gwen,1,1,100.0
Rakan,Lee Sin,1,0,0.0
Nunu & Willump,Volibear,1,0,0.0
Trundle,Jarvan IV,1,1,100.0
Cassiopeia,Poppy,1,0,0.0
Seraphine,Udyr,1,1,100.0
Zilean,Pantheon,1,0,0.0
Janna,Jarvan IV,2,2,100.0
Leona,Zed,2,2,100.0
Alistar,Ekko,1,0,0.0
Sona,Xin Zhao,1,0,0.0
Zyra,Jax,1,1,100.0
Braum,Lee Sin,2,0,0.0
Alistar,Jarvan IV,4,4,100.0
Alistar,Hecarim,1,0,0.0
Alistar,Reksai,1,1,100.0
Bard,Zed,1,0,0.0
Rakan,Belveth,2,0,0.0
Poppy,Ekko,1,1,100.0
Camille,Master Yi,1,0,0.0
Karma,Viego,1,1,100.0
Alistar,Wukong,2,1,50.0
Nami,Pantheon,4,1,25.0
Bard,Vi,1,1,100.0
Leona,Mordekaiser,1,0,0.0
Rell,Mordekaiser,1,1,100.0
Braum,Ambessa,2,1,50.0
Thresh,Pantheon,1,1,100.0
Bard,Hecarim,1,0,0.0
Bard,Xin Zhao,1,1,100.0
Rakan,Jarvan IV,2,0,0.0
Rell,Vi,2,0,0.0
Nautilus,Jarvan IV,3,2,66.67
Senna,Pantheon,2,0,0.0
Alistar,Talon,4,3,75.0
Rumble,Nocturne,1,1,100.0
Alistar,Lee Sin,2,2,100.0
Yuumi,Pantheon,1,0,0.0
Rell,Viego,1,0,0.0
Gragas,Ekko,1,1,100.0
Riven,Vi,1,1,100.0
Neeko,Shyvana,1,0,0.0
Rell,Belveth,1,0,0.0
Braum,Belveth,1,1,100.0
Nautilus,Viego,3,1,33.33
Lulu,Viego,1,1,100.0
Karma,Belveth,1,0,0.0
Braum,Nocturne,1,1,100.0
Elise,Jarvan IV,1,0,0.0
Bard,Viego,1,1,100.0
Alistar,Kindred,1,0,0.0
Nautilus,Trundle,1,1,100.0
Alistar,Shaco,1,0,0.0
Nautilus,Ekko,1,1,100.0
Pantheon,Diana,1,1,100.0
Camille,Wukong,1,0,0.0
Janna,Elise,1,1,100.0
Lulu,Pantheon,2,1,50.0
Pyke,Kindred,1,0,0.0
Bard,Pantheon,2,2,100.0
Sona,Jarvan IV,1,1,100.0
Seraphine,Belveth,1,1,100.0
Rell,Trundle,1,0,0.0
Seraphine,Viego,1,1,100.0
Lulu,Sejuani,1,0,0.0
Poppy,Shaco,1,0,0.0
Alistar,Viego,2,1,50.0
Taric,Pantheon,1,0,0.0
Neeko,Viego,1,1,100.0
Heimerdinger,Pantheon,1,0,0.0
Zyra,Xin Zhao,1,0,0.0
Soraka,Ivern,1,1,100.0
Alistar,Xin Zhao,2,0,0.0
Yuumi,Graves,1,0,0.0
Sona,Wukong,1,1,100.0
Lulu,Lee Sin,1,0,0.0
Braum,Pantheon,2,1,50.0
Rell,Qiyana,1,1,100.0
Alistar,Pantheon,1,1,100.0
Rakan,Vi,1,0,0.0
Alistar,Zed,1,1,100.0
Braum,Elise,1,1,100.0
Renata,Zyra,1,1,100.0
Fiddlesticks,Ekko,1,0,0.0
Nautilus,Lee Sin,4,0,0.0
Milio,Pantheon,1,1,100.0
Nami,Udyr,1,1,100.0
Pyke,Volibear,1,0,0.0
Janna,Kayn,1,1,100.0
Leona,Ivern,1,1,100.0
Kled,Dr. Mundo,1,0,0.0
Poppy,Viego,1,0,0.0
Rell,Hecarim,1,1,100.0
Zilean,Viego,1,1,100.0
Rakan,Ivern,1,0,0.0
Janna,Fiddlesticks,1,1,100.0
Rell,Taliyah,1,0,0.0
Zyra,Ivern,1,0,0.0
Lux,Jarvan IV,1,1,100.0
Milio,Udyr,1,1,100.0
Sona,Shaco,1,0,0.0
Pantheon,Yuumi,1,0,0.0
Nami,Gwen,1,1,100.0
Neeko,Gwen,1,0,0.0
Pyke,Ekko,1,1,100.0
Sona,Belveth,1,1,100.0
Yuumi,Rammus,1,0,0.0
Shen,Nunu & Willump,1,0,0.0
Nautilus,Graves,1,1,100.0
Leona,Nunu & Willump,1,1,100.0
Karma,Volibear,1,0,0.0
Nautilus,Nunu & Willump,1,0,0.0
Nidalee,Ivern,1,1,100.0
Poppy,Hecarim,1,0,0.0
Neeko,Talon,1,1,100.0
Alistar,Karthus,1,0,0.0
Sylas,Gragas,1,0,0.0
Zoe,Viego,1,0,0.0
Poppy,Volibear,1,1,100.0
Nautilus,Nidalee,4,2,50.0
Rell,Lee Sin,1,1,100.0
Nautilus,Hecarim,1,1,100.0
Alistar,Nidalee,3,1,33.33
Gragas,Karthus,1,0,0.0
Nami,Ambessa,1,1,100.0
Pyke,Ambessa,1,1,100.0
Morgana,Qiyana,1,0,0.0
Bard,Jarvan IV,1,1,100.0
Blitzcrank,Nidalee,1,0,0.0
Alistar,Volibear,1,1,100.0
Karma,Jax,1,0,0.0
Poppy,Vayne,1,1,100.0
Karma,Lee Sin,1,1,100.0
Rell,Volibear,1,0,0.0
Karma,Poppy,1,1,100.0
Renata,Wukong,1,0,0.0
Janna,Talon,1,1,100.0
Senna,Nunu & Willump,1,0,0.0
Neeko,Zac,1,1,100.0
Diana,Volibear,1,0,0.0
