champion1,champion2,games,wins,win_rate
Fiora,Zyra,1,1,100.0
Chogath,Lee Sin,1,0,0.0
Riven,Gwen,2,2,100.0
Jayce,Lee Sin,2,1,50.0
Gangplank,Volibear,1,0,0.0
Pantheon,Jarvan IV,1,1,100.0
Gragas,Poppy,1,0,0.0
Jax,Udyr,1,1,100.0
Vayne,Pantheon,3,0,0.0
Ambessa,Jarvan IV,2,2,100.0
Rumble,Zed,1,1,100.0
Nidalee,Ekko,2,1,50.0
Rumble,Xin Zhao,1,0,0.0
Riven,Jax,1,1,100.0
Gwen,Lee Sin,1,0,0.0
Jayce,Jarvan IV,1,1,100.0
Riven,Hecarim,2,1,50.0
Ambessa,Reksai,1,1,100.0
Nidalee,Zed,2,1,50.0
Jayce,Belveth,1,0,0.0
Ambessa,Ekko,1,1,100.0
Gwen,Master Yi,1,0,0.0
Riven,Viego,4,3,75.0
Volibear,Wukong,1,1,100.0
Jax,Pantheon,2,1,50.0
Vayne,Vi,1,1,100.0
Camille,Mordekaiser,1,0,0.0
Riven,Mordekaiser,1,1,100.0
Sion,Ambessa,1,0,0.0
Nidalee,Pantheon,1,1,100.0
Neeko,Hecarim,1,0,0.0
Volibear,Xin Zhao,1,1,100.0
Riven,Jarvan IV,4,2,50.0
Rumble,Vi,1,0,0.0
Riven,Ambessa,1,1,100.0
Nidalee,Talon,1,0,0.0
Renekton,Nocturne,1,1,100.0
Jax,Lee Sin,1,1,100.0
Riven,Pantheon,4,2,50.0
Jax,Viego,1,0,0.0
Aurora,Vi,1,1,100.0
Teemo,Shyvana,1,0,0.0
Gwen,Belveth,1,0,0.0
Akali,Pantheon,1,1,100.0
Riven,Belveth,3,2,66.67
Fiora,Viego,3,1,33.33
Rumble,Belveth,1,0,0.0
Riven,Nocturne,1,1,100.0
Kayle,Jarvan IV,2,1,50.0
Gwen,Viego,1,1,100.0
Kayle,Kindred,1,0,0.0
Nidalee,Trundle,1,1,100.0
Gragas,Shaco,1,0,0.0
Ambessa,Pantheon,2,1,50.0
Riven,Ekko,1,1,100.0
Riven,Diana,1,1,100.0
Neeko,Wukong,2,0,0.0
Sejuani,Elise,1,1,100.0
Kennen,Pantheon,1,0,0.0
Nidalee,Kindred,1,0,0.0
Gragas,Jarvan IV,1,1,100.0
Nidalee,Belveth,2,2,100.0
Renekton,Trundle,1,0,0.0
Sion,Viego,1,1,100.0
Riven,Sejuani,1,0,0.0
Sion,Shaco,1,0,0.0
Gnar,Pantheon,1,0,0.0
Viktor,Viego,1,1,100.0
Poppy,Pantheon,1,0,0.0
Yorick,Xin Zhao,1,0,0.0
Yorick,Ivern,1,1,100.0
Riven,Xin Zhao,2,0,0.0
Riven,Talon,2,2,100.0
Ambessa,Graves,1,0,0.0
Ambessa,Wukong,1,1,100.0
Vayne,Lee Sin,2,1,50.0
Rumble,Pantheon,1,1,100.0
Chogath,Viego,1,0,0.0
Nidalee,Jarvan IV,2,1,50.0
Ambessa,Vi,1,0,0.0
Illaoi,Qiyana,1,1,100.0
Vayne,Wukong,1,0,0.0
Malphite,Pantheon,1,1,100.0
Gwen,Vi,1,0,0.0
Riven,Zed,1,1,100.0
Riven,Elise,1,1,100.0
Swain,Viego,1,1,100.0
Nidalee,Zyra,1,1,100.0
Irelia,Ekko,1,0,0.0
Renekton,Lee Sin,2,1,50.0
Draven,Lee Sin,1,0,0.0
Vayne,Udyr,1,1,100.0
Riven,Volibear,4,2,50.0
Jayce,Kayn,1,1,100.0
Riven,Ivern,4,3,75.0
Wukong,Dr. Mundo,1,0,0.0
Shen,Viego,1,0,0.0
Kayle,Hecarim,1,1,100.0
Renekton,Ivern,1,0,0.0
Kled,Fiddlesticks,1,1,100.0
Yasuo,Taliyah,1,0,0.0
Quinn,Jarvan IV,1,1,100.0
Jayce,Udyr,1,1,100.0
Lucian,Shaco,1,0,0.0
Quinn,Yuumi,1,0,0.0
Vayne,Gwen,1,0,0.0
Sett,Ekko,1,1,100.0
Gangplank,Rammus,1,0,0.0
Jax,Nunu & Willump,1,0,0.0
Vladimir,Graves,1,1,100.0
Riven,Nunu & Willump,1,1,100.0
Jax,Volibear,1,0,0.0
Ambessa,Nunu & Willump,2,0,0.0
Vayne,Hecarim,1,0,0.0
Tryndamere,Jarvan IV,1,1,100.0
Rumble,Karthus,1,0,0.0
Riven,Gragas,1,0,0.0
Jayce,Talon,1,1,100.0
Corki,Viego,1,0,0.0
Gnar,Nidalee,1,0,0.0
Aatrox,Lee Sin,1,0,0.0
Vayne,Nidalee,1,1,100.0
Wukong,Karthus,1,0,0.0
Camille,Nidalee,1,0,0.0
Vayne,Ambessa,1,1,100.0
Nidalee,Ambessa,1,1,100.0
Jax,Qiyana,1,0,0.0
Vayne,Jarvan IV,1,1,100.0
Jax,Nidalee,1,0,0.0
Quinn,Jax,1,0,0.0
Riven,Vayne,1,1,100.0
Camille,Lee Sin,1,0,0.0
Kayle,Lee Sin,1,0,0.0
Vladimir,Poppy,1,1,100.0
Fiora,Talon,1,1,100.0
Jayce,Zac,1,1,100.0
Ambessa,Volibear,1,0,0.0
Ambessa,Nidalee,1,0,0.0
Jayce,Gwen,1,0,0.0
Vladimir,Elise,1,1,100.0
Nasus,Nidalee,1,0,0.0
Gangplank,Lee Sin,1,0,0.0
Riven,Poppy,1,1,100.0
Jax,Rammus,1,1,100.0
Riven,Lee Sin,1,0,0.0
Renekton,Nidalee,1,1,100.0
Sion,Nidalee,1,1,100.0
Tryndamere,Poppy,1,0,0.0
Neeko,Lee Sin,1,1,100.0
Vayne,Xin Zhao,1,0,0.0
Riven,Nidalee,1,0,0.0
Renekton,Kindred,1,1,100.0
Chogath,Graves,1,0,0.0
Nidalee,Nunu & Willump,1,0,0.0
Nidalee,Viego,1,1,100.0
Mordekaiser,Ekko,1,0,0.0
Vayne,Viego,1,1,100.0
Nidalee,Lee Sin,1,1,100.0
Gragas,Udyr,1,1,100.0
Renekton,Pantheon,1,0,0.0
Warwick,Fiddlesticks,1,0,0.0
Kayle,Talon,1,1,100.0
