champion1,champion2,champion3,games,wins,win_rate
Zyra,Tristana,Nunu & Willump,1,1,100.0
Lee Sin,Varus,Nami,1,0,0.0
Gwen,Ezreal,Braum,1,1,100.0
Lee Sin,Brand,Rakan,1,0,0.0
Volibear,Twitch,Nunu & Willump,1,0,0.0
Jarvan IV,Kaisa,Trundle,1,1,100.0
Poppy,Caitlyn,Cassiopeia,1,0,0.0
Udyr,Samira,Seraphine,1,1,100.0
Pantheon,Twitch,Zilean,1,0,0.0
Jarvan IV,Smolder,Janna,1,1,100.0
Zed,Yunara,Leona,1,1,100.0
Ekko,Smolder,Alistar,1,0,0.0
Xin Zhao,Yunara,Sona,1,0,0.0
Jax,Draven,Zyra,1,1,100.0
Lee Sin,Lucian,Braum,1,0,0.0
Jarvan IV,Ezreal,Alistar,1,1,100.0
Jarvan IV,Tristana,Janna,1,1,100.0
Hecarim,Mel,Alistar,1,0,0.0
Reksai,Senna,Alistar,1,1,100.0
Zed,Ziggs,Bard,1,0,0.0
Belveth,Ezreal,Rakan,1,0,0.0
Ekko,Zyra,Poppy,1,1,100.0
Master Yi,Vayne,Camille,1,0,0.0
Viego,Senna,Karma,1,1,100.0
Wukong,Yunara,Alistar,1,1,100.0
Pantheon,Riven,Nami,1,0,0.0
Vi,Zyra,Bard,1,1,100.0
Mordekaiser,Xayah,Leona,1,0,0.0
Mordekaiser,Vayne,Rell,1,1,100.0
Ambessa,Yunara,Braum,1,0,0.0
Pantheon,Aphelios,Thresh,1,1,100.0
Hecarim,Draven,Bard,1,0,0.0
Xin Zhao,Corki,Bard,1,1,100.0
Jarvan IV,Mel,Rakan,1,0,0.0
Vi,Lucian,Rell,1,0,0.0
Ambessa,Ezreal,Braum,1,1,100.0
Jarvan IV,Smolder,Nautilus,1,1,100.0
Pantheon,Aurora,Senna,1,0,0.0
Talon,Kaisa,Alistar,1,0,0.0
Nocturne,Yunara,Rumble,1,1,100.0
Lee Sin,Mel,Alistar,1,1,100.0
Pantheon,Lucian,Yuumi,1,0,0.0
Viego,Heimerdinger,Rell,1,0,0.0
Ekko,Sivir,Gragas,1,1,100.0
Vi,Draven,Riven,1,1,100.0
Shyvana,Jhin,Neeko,1,0,0.0
Belveth,Ashe,Rell,1,0,0.0
Pantheon,Lucian,Nami,3,1,33.33
Belveth,Ezreal,Braum,1,1,100.0
Viego,Xayah,Nautilus,1,0,0.0
Viego,Karthus,Lulu,1,1,100.0
Belveth,Lux,Karma,1,0,0.0
Nocturne,Aphelios,Braum,1,1,100.0
Jarvan IV,Zeri,Elise,1,0,0.0
Viego,Miss Fortune,Bard,1,1,100.0
Kindred,Ezreal,Alistar,1,0,0.0
Trundle,Twitch,Nautilus,1,1,100.0
Shaco,Ezreal,Alistar,1,0,0.0
Ekko,Yunara,Nautilus,1,1,100.0
Diana,Kaisa,Pantheon,1,1,100.0
Wukong,Lucian,Camille,1,0,0.0
Elise,Draven,Janna,1,1,100.0
Pantheon,Corki,Lulu,1,0,0.0
Kindred,Yunara,Pyke,1,0,0.0
Pantheon,Twitch,Bard,1,1,100.0
Pantheon,Seraphine,Senna,1,0,0.0
Jarvan IV,Kaisa,Sona,1,1,100.0
Belveth,Lucian,Seraphine,1,1,100.0
Trundle,Miss Fortune,Rell,1,0,0.0
Viego,Yunara,Seraphine,1,1,100.0
Sejuani,Twitch,Lulu,1,0,0.0
Shaco,Twitch,Poppy,1,0,0.0
Jarvan IV,Ashe,Alistar,1,1,100.0
Viego,Yunara,Alistar,1,1,100.0
Pantheon,Riven,Taric,1,0,0.0
Viego,Kaisa,Neeko,1,1,100.0
Pantheon,Jhin,Heimerdinger,1,0,0.0
Zed,Sivir,Leona,1,1,100.0
Xin Zhao,Caitlyn,Zyra,1,0,0.0
Ivern,Jhin,Soraka,1,1,100.0
Xin Zhao,Ziggs,Alistar,2,0,0.0
Talon,Tristana,Alistar,1,1,100.0
Graves,Lucian,Yuumi,1,0,0.0
Wukong,Twitch,Sona,1,1,100.0
Lee Sin,Yunara,Lulu,1,0,0.0
Pantheon,Twitch,Braum,1,1,100.0
Viego,Kaisa,Alistar,1,0,0.0
Jarvan IV,Yunara,Alistar,1,1,100.0
