champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Rumble,318,114,1359,2169,2967,35.85,1.99,4.27,6.82,9.33
Vi,24,12,114,252,333,50.0,1.77,4.75,10.5,13.88
Syndra,111,48,336,906,1041,43.24,1.52,3.03,8.16,9.38
Pantheon,5430,2748,33501,40131,53160,50.61,2.16,6.17,7.39,9.79
Ornn,216,105,504,1173,2661,48.61,2.7,2.33,5.43,12.32
Wukong,48,18,228,375,402,37.5,1.68,4.75,7.81,8.38
Annie,648,381,1317,3540,7974,58.8,2.62,2.03,5.46,12.31
Milio,16770,8115,13782,66423,231207,48.39,3.69,0.82,3.96,13.79
Riven,69,48,240,375,756,69.57,2.66,3.48,5.43,10.96
Viego,51,24,291,402,471,47.06,1.9,5.71,7.88,9.24
Orianna,45,6,126,240,537,13.33,2.76,2.8,5.33,11.93
Neeko,17351,8699,48078,96192,198792,50.14,2.57,2.77,5.54,11.46
Aurora,60,6,165,288,246,10.0,1.43,2.75,4.8,4.1
Jarvan IV,444,171,1542,3222,6372,38.51,2.46,3.47,7.26,14.35
Galio,1377,699,2895,8556,18729,50.76,2.53,2.1,6.21,13.6
Sivir,6,0,6,18,0,0.0,0.33,1.0,3.0,0.0
Thresh,22879,11797,38838,127692,329718,51.56,2.89,1.7,5.58,14.41
Gwen,30,6,36,150,186,20.0,1.48,1.2,5.0,6.2
Ambessa,18,12,87,102,183,66.67,2.65,4.83,5.67,10.17
Taliyah,306,168,1233,2307,3540,54.9,2.07,4.03,7.54,11.57
Yunara,21,18,147,204,297,85.71,2.18,7.0,9.71,14.14
Shen,1224,417,2682,7113,14862,34.07,2.47,2.19,5.81,12.14
Kayle,24,0,48,84,126,0.0,2.07,2.0,3.5,5.25
Jax,24,9,126,165,237,37.5,2.2,5.25,6.88,9.88
Azir,30,3,78,189,147,10.0,1.19,2.6,6.3,4.9
Malphite,99,87,381,612,1206,87.88,2.59,3.85,6.18,12.18
Rell,36882,18951,65796,203481,570435,51.38,3.13,1.78,5.52,15.47
Aatrox,21,18,105,156,195,85.71,1.92,5.0,7.43,9.29
Poppy,12162,6588,36846,71294,144666,54.17,2.55,3.03,5.86,11.89
Renekton,6,0,12,24,12,0.0,1.0,2.0,4.0,2.0
Nautilus,41873,19772,74427,261834,546687,47.22,2.37,1.78,6.25,13.06
Yasuo,78,12,267,504,504,15.38,1.53,3.42,6.46,6.46
Skarner,111,39,291,789,1005,35.14,1.64,2.62,7.11,9.05
Viktor,21,0,132,252,135,0.0,1.06,6.29,12.0,6.43
Lucian,33,9,132,222,321,27.27,2.04,4.0,6.73,9.73
Braum,25083,12471,27828,135231,375006,49.72,2.98,1.11,5.39,14.95
Lux,4473,2118,13557,26352,51360,47.35,2.46,3.03,5.89,11.48
Jhin,153,60,714,816,1482,39.22,2.69,4.67,5.33,9.69
Bard,28697,14870,75051,144310,400335,51.82,3.29,2.62,5.03,13.95
