champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Rumble,141,66,866,633,945,46.81,2.86,6.14,4.49,6.7
Vi,6007,3031,34171,29278,50937,50.46,2.91,5.69,4.87,8.48
Kaisa,82,36,574,446,482,43.9,2.37,7.0,5.44,5.88
Pantheon,11980,6128,89747,56847,91614,51.15,3.19,7.49,4.75,7.65
Ornn,4,0,12,38,32,0.0,1.16,3.0,9.5,8.0
Wukong,5795,2864,36413,26515,42907,49.42,2.99,6.28,4.58,7.4
Vayne,77,53,730,380,546,68.83,3.36,9.48,4.94,7.09
Riven,7,1,26,31,18,14.29,1.42,3.71,4.43,2.57
Viego,14773,7352,115829,72175,90984,49.77,2.87,7.84,4.89,6.16
Corki,265,102,1609,1686,1787,38.49,2.01,6.07,6.36,6.74
Neeko,107,43,584,555,996,40.19,2.85,5.46,5.19,9.31
Aurora,5,0,15,20,25,0.0,2.0,3.0,4.0,5.0
Jarvan IV,10565,5359,58722,50436,124432,50.72,3.63,5.56,4.77,11.78
Thresh,3,0,3,21,3,0.0,0.29,1.0,7.0,1.0
Gwen,2332,1200,16737,12318,14043,51.46,2.5,7.18,5.28,6.02
Ambessa,1124,598,8044,5379,8099,53.2,3.0,7.16,4.79,7.21
Taliyah,1034,437,6859,5901,9021,42.26,2.69,6.63,5.71,8.72
Yunara,12,2,24,68,63,16.67,1.28,2.0,5.67,5.25
Shen,127,48,479,614,1178,37.8,2.7,3.77,4.83,9.28
Kayle,20,7,91,86,122,35.0,2.48,4.55,4.3,6.1
Jax,1454,791,10070,7177,9635,54.4,2.75,6.93,4.94,6.63
Azir,1,0,5,6,6,0.0,1.83,5.0,6.0,6.0
Malphite,41,8,156,259,267,19.51,1.63,3.8,6.32,6.51
Aatrox,53,21,345,274,387,39.62,2.67,6.51,5.17,7.3
Tryndamere,87,25,450,537,455,28.74,1.69,5.17,6.17,5.23
Poppy,2149,1152,10266,10078,20398,53.61,3.04,4.78,4.69,9.49
Nautilus,5,1,6,32,26,20.0,1.0,1.2,6.4,5.2
Yasuo,10,4,79,76,83,40.0,2.13,7.9,7.6,8.3
Skarner,1123,536,4928,4793,11909,47.73,3.51,4.39,4.27,10.6
Lucian,9,2,87,44,47,22.22,3.05,9.67,4.89,5.22
Lux,2,0,28,18,8,0.0,2.0,14.0,9.0,4.0
Trundle,5538,2805,30674,24378,50979,50.65,3.35,5.54,4.4,9.21
Ryze,8,5,50,43,57,62.5,2.49,6.25,5.38,7.12
Varus,7,1,17,31,17,14.29,1.1,2.43,4.43,2.43
Alistar,5,5,0,15,100,100.0,6.67,0.0,3.0,20.0
Zyra,838,378,3789,4187,7034,45.11,2.58,4.52,5.0,8.39
Tristana,6,3,20,22,13,50.0,1.5,3.33,3.67,2.17
Nunu & Willump,2644,1382,11216,13021,30287,52.27,3.19,4.24,4.92,11.45
Chogath,155,68,1045,664,1139,43.87,3.29,6.74,4.28,7.35
Lee Sin,11939,6055,86376,58621,99733,50.72,3.17,7.23,4.91,8.35
Caitlyn,1,0,1,2,1,0.0,1.0,1.0,2.0,1.0
Ezreal,21,4,74,65,69,19.05,2.2,3.52,3.1,3.29
Jayce,60,32,517,407,533,53.33,2.58,8.62,6.78,8.88
Brand,254,112,1207,1307,2233,44.09,2.63,4.75,5.15,8.79
Volibear,4866,2448,27956,23226,37855,50.31,2.83,5.75,4.77,7.78
Twitch,12,1,80,64,62,8.33,2.22,6.67,5.33,5.17
Twisted Fate,6,3,16,31,38,50.0,1.74,2.67,5.17,6.33
Gragas,939,475,5894,4501,7700,50.59,3.02,6.28,4.79,8.2
Udyr,3870,1941,21607,18311,32096,50.16,2.93,5.58,4.73,8.29
Smolder,1,0,0,4,0,0.0,0.0,0.0,4.0,0.0
Zed,7665,3584,58000,36875,51623,46.76,2.97,7.57,4.81,6.73
Leona,1,1,2,2,14,100.0,8.0,2.0,2.0,14.0
Nidalee,4406,2269,34175,19180,36859,51.5,3.7,7.76,4.35,8.37
Ekko,6469,3199,51940,31959,43732,49.45,2.99,8.03,4.94,6.76
Yone,20,7,135,148,153,35.0,1.95,6.75,7.4,7.65
Xin Zhao,7729,3895,45258,39941,63759,50.39,2.73,5.86,5.17,8.25
Sona,2,0,0,3,0,0.0,0.0,0.0,1.5,0.0
Draven,96,45,925,581,528,46.88,2.5,9.64,6.05,5.5
Sylas,432,208,3290,2609,3366,48.15,2.55,7.62,6.04,7.79
Hecarim,4804,2256,30539,23554,37511,46.96,2.89,6.36,4.9,7.81
Reksai,1245,590,8315,5786,10124,47.39,3.19,6.68,4.65,8.13
Belveth,2968,1672,22406,12505,19454,56.33,3.35,7.55,4.21,6.55
Master Yi,3675,1857,30135,20148,19791,50.53,2.48,8.2,5.48,5.39
Morgana,416,171,1968,1868,4142,41.11,3.27,4.73,4.49,9.96
Camille,6,3,20,35,41,50.0,1.74,3.33,5.83,6.83
Mordekaiser,283,139,1585,1384,1523,49.12,2.25,5.6,4.89,5.38
Sion,102,49,513,588,968,48.04,2.52,5.03,5.76,9.49
Aphelios,8,1,17,51,46,12.5,1.24,2.12,6.38,5.75
Akali,1,0,2,3,0,0.0,0.67,2.0,3.0,0.0
Talon,5751,2940,48387,30842,38735,51.12,2.82,8.41,5.36,6.74
Nocturne,4874,2453,29219,24052,41210,50.33,2.93,5.99,4.93,8.46
Yuumi,7,0,0,9,9,0.0,1.0,0.0,1.29,1.29
Heimerdinger,14,9,112,65,84,64.29,3.02,8.0,4.64,6.0
Teemo,165,56,730,910,1008,33.94,1.91,4.42,5.52,6.11
Shyvana,614,254,3242,3013,4081,41.37,2.43,5.28,4.91,6.65
Karthus,2316,1092,17730,15367,20867,47.15,2.51,7.66,6.64,9.01
Zeri,56,21,423,322,403,37.5,2.57,7.55,5.75,7.2
Elise,2480,1186,18085,12991,16316,47.82,2.65,7.29,5.24,6.58
Kindred,4403,2468,35224,23333,31700,56.05,2.87,8.0,5.3,7.2
Shaco,2334,1095,15728,11910,18509,46.92,2.87,6.74,5.1,7.93
Diana,3381,1640,22353,19067,24880,48.51,2.48,6.61,5.64,7.36
Sejuani,1204,555,4625,5094,12955,46.1,3.45,3.84,4.23,10.76
Pyke,3,0,30,24,18,0.0,2.0,10.0,8.0,6.0
Naafiri,4570,2255,33664,19806,32779,49.34,3.35,7.37,4.33,7.17
Fizz,1,1,3,5,6,100.0,1.8,3.0,5.0,6.0
Taric,5,4,11,21,78,80.0,4.24,2.2,4.2,15.6
Yorick,47,13,170,238,282,27.66,1.9,3.62,5.06,6.0
Ivern,2847,1521,8380,10409,37109,53.42,4.37,2.94,3.66,13.03
Graves,2635,1309,19992,13230,16953,49.68,2.79,7.59,5.02,6.43
Lissandra,1,0,2,8,13,0.0,1.88,2.0,8.0,13.0
Illaoi,4,0,8,28,28,0.0,1.29,2.0,7.0,7.0
Qiyana,2442,1329,19091,12223,17696,54.42,3.01,7.82,5.01,7.25
Zac,2571,1409,13800,10604,25321,54.8,3.69,5.37,4.12,9.85
Irelia,2,0,6,8,10,0.0,2.0,3.0,4.0,5.0
Fiddlesticks,1982,990,10325,10217,17780,49.95,2.75,5.21,5.15,8.97
Ahri,1,0,2,4,2,0.0,1.0,2.0,4.0,2.0
Kayn,5421,2637,39618,29881,36325,48.64,2.54,7.31,5.51,6.7
Dr. Mundo,2585,1247,12277,10980,20481,48.24,2.98,4.75,4.25,7.92
Kled,8,0,28,54,29,0.0,1.06,3.5,6.75,3.62
Jinx,8,2,43,82,69,25.0,1.37,5.38,10.25,8.62
Quinn,3,0,6,18,3,0.0,0.5,2.0,6.0,1.0
Nilah,1,1,5,5,6,100.0,2.2,5.0,5.0,6.0
Sett,40,20,173,214,260,50.0,2.02,4.33,5.35,6.5
Rammus,1087,525,4089,5081,12045,48.3,3.18,3.76,4.67,11.08
Nasus,75,31,426,379,442,41.33,2.29,5.68,5.05,5.89
Katarina,2,0,4,14,2,0.0,0.43,2.0,7.0,1.0
KSante,12,7,43,90,151,58.33,2.16,3.58,7.5,12.58
KhaZix,4296,2081,34472,21814,25981,48.44,2.77,8.02,5.08,6.05
VelKoz,1,0,5,5,3,0.0,1.6,5.0,5.0,3.0
Urgot,131,48,851,610,704,36.64,2.55,6.5,4.66,5.37
Darius,211,92,1442,950,1059,43.6,2.63,6.83,4.5,5.02
Olaf,669,343,4359,3160,3983,51.27,2.64,6.52,4.72,5.95
Rengar,3858,1978,30663,20996,24600,51.27,2.63,7.95,5.44,6.38
Aurelion Sol,20,9,54,129,128,45.0,1.41,2.7,6.45,6.4
KogMaw,12,7,93,101,75,58.33,1.66,7.75,8.42,6.25
Briar,1249,605,9288,7620,9212,48.44,2.43,7.44,6.1,7.38
Evelynn,1278,608,10553,6391,8857,47.57,3.04,8.26,5.0,6.93
Akshan,2,0,22,12,10,0.0,2.67,11.0,6.0,5.0
Amumu,499,259,2183,2640,4795,51.9,2.64,4.37,5.29,9.61
Singed,18,3,53,85,137,16.67,2.24,2.94,4.72,7.61
Maokai,481,240,1593,2335,4952,49.9,2.8,3.31,4.85,10.3
Lillia,2823,1395,17836,12676,23196,49.42,3.24,6.32,4.49,8.22
Malzahar,5,4,35,26,64,80.0,3.81,7.0,5.2,12.8
Warwick,1175,558,8362,6850,9237,47.49,2.57,7.12,5.83,7.86
