champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Rumble,1602,1014,12291,7872,12138,63.3,3.1,7.67,4.91,7.58
Vi,48,12,246,450,201,25.0,0.99,5.12,9.38,4.19
Syndra,19339,9799,104331,93441,116934,50.67,2.37,5.39,4.83,6.05
Kaisa,600,318,4386,3429,3402,53.0,2.27,7.31,5.71,5.67
Pantheon,1221,723,9294,6951,8673,59.21,2.58,7.61,5.69,7.1
Ornn,528,276,1629,2214,4911,52.27,2.95,3.09,4.19,9.3
Wukong,228,123,1122,1230,1443,53.95,2.09,4.92,5.39,6.33
Annie,12951,6963,63372,68679,102435,53.76,2.41,4.89,5.3,7.91
Vayne,972,432,6333,5850,4197,44.44,1.8,6.52,6.02,4.32
Riven,1407,876,10563,6738,7443,62.26,2.67,7.51,4.79,5.29
Viego,270,123,1671,1557,1482,45.56,2.03,6.19,5.77,5.49
Orianna,23068,12085,113625,103545,194754,52.39,2.98,4.93,4.49,8.44
Corki,8835,4191,51588,49161,51459,47.44,2.1,5.84,5.56,5.82
Neeko,2976,1485,15834,14823,21519,49.9,2.52,5.32,4.98,7.23
Aurora,22756,11362,149283,102639,144321,49.93,2.86,6.56,4.51,6.34
Jarvan IV,132,72,564,759,1290,54.55,2.44,4.27,5.75,9.77
Galio,16169,7835,61067,74142,154754,48.46,2.91,3.78,4.59,9.57
Sivir,351,144,1512,1725,2427,41.03,2.28,4.31,4.91,6.91
Thresh,6,6,18,12,72,100.0,7.5,3.0,2.0,12.0
Gwen,975,444,5325,5277,4062,45.54,1.78,5.46,5.41,4.17
Ambessa,2922,1488,16401,14940,16074,50.92,2.17,5.61,5.11,5.5
Taliyah,24063,12792,125223,123402,199191,53.16,2.63,5.2,5.13,8.28
Yunara,1293,501,6993,7995,6999,38.75,1.75,5.41,6.18,5.41
Shen,597,318,2481,2013,5535,53.27,3.98,4.16,3.37,9.27
Kayle,6528,3381,38079,27807,35286,51.79,2.64,5.83,4.26,5.41
Jax,336,183,1788,1680,1572,54.46,2.0,5.32,5.0,4.68
Azir,23647,11755,127746,121998,134589,49.71,2.15,5.4,5.16,5.69
Malphite,1005,486,4212,4719,7302,48.36,2.44,4.19,4.7,7.27
Aatrox,879,408,5676,4851,5076,46.42,2.22,6.46,5.52,5.77
Tryndamere,1602,816,8007,7758,7380,50.94,1.98,5.0,4.84,4.61
Poppy,114,69,486,504,849,60.53,2.65,4.26,4.42,7.45
Renekton,1095,648,6084,5157,6483,59.18,2.44,5.56,4.71,5.92
Nautilus,54,21,147,306,717,38.89,2.82,2.72,5.67,13.28
Yasuo,15662,7325,84224,95481,81249,46.77,1.73,5.38,6.1,5.19
Viktor,18585,9285,88152,89796,122838,49.96,2.35,4.74,4.83,6.61
Lucian,1332,594,8274,7197,6669,44.59,2.08,6.21,5.4,5.01
Braum,15,12,24,84,96,80.0,1.43,1.6,5.6,6.4
Lux,9732,5064,56067,45096,76362,52.03,2.94,5.76,4.63,7.85
Jhin,312,183,1917,1650,2292,58.65,2.55,6.14,5.29,7.35
Bard,42,15,120,204,366,35.71,2.38,2.86,4.86,8.71
Trundle,93,39,549,666,504,41.94,1.58,5.9,7.16,5.42
Ryze,18634,9010,96855,91056,120804,48.35,2.39,5.2,4.89,6.48
Varus,471,198,2241,2307,2661,42.04,2.12,4.76,4.9,5.65
Alistar,12,3,18,60,60,25.0,1.3,1.5,5.0,5.0
Fiora,156,78,693,876,537,50.0,1.4,4.44,5.62,3.44
Zyra,150,57,660,699,981,38.0,2.35,4.4,4.66,6.54
Tristana,4524,2133,27816,24516,20475,47.15,1.97,6.15,5.42,4.53
Nunu & Willump,1413,702,7923,8028,12927,49.68,2.6,5.61,5.68,9.15
Chogath,1953,1083,12075,8499,11607,55.45,2.79,6.18,4.35,5.94
Lee Sin,828,375,5196,4884,4992,45.29,2.09,6.28,5.9,6.03
Nami,6,6,18,12,78,100.0,8.0,3.0,2.0,13.0
Caitlyn,678,342,4209,3105,3390,50.44,2.45,6.21,4.58,5.0
Ezreal,870,408,5301,4809,4767,46.9,2.09,6.09,5.53,5.48
Jayce,5415,2802,33666,30291,34455,51.75,2.25,6.22,5.59,6.36
Brand,636,318,2547,3219,4368,50.0,2.15,4.0,5.06,6.87
Rakan,129,75,297,495,1179,58.14,2.98,2.3,3.84,9.14
Gangplank,909,474,5313,4863,5637,52.15,2.25,5.84,5.35,6.2
