champion1,champion2,games,wins,win_rate
Pantheon,Vi,60,28,46.67
Milio,Wukong,176,78,44.32
Neeko,Viego,449,225,50.11
Thresh,Jarvan IV,412,217,52.67
Shen,Ambessa,9,0,0.0
Neeko,Jax,58,28,48.28
Rell,Gwen,130,73,56.15
Poppy,Tryndamere,10,0,0.0
Nautilus,Ambessa,94,38,40.43
Braum,Skarner,57,19,33.33
Bard,Pantheon,653,382,58.5
Alistar,Trundle,448,182,40.62
Nunu & Willump,Zyra,2,2,100.0
Nami,Lee Sin,811,373,45.99
Braum,Gwen,90,32,35.56
Rakan,Lee Sin,521,244,46.83
Nunu & Willump,Volibear,4,0,0.0
Trundle,Jarvan IV,25,15,60.0
Cassiopeia,Poppy,2,0,0.0
Seraphine,Udyr,40,21,52.5
Zilean,Pantheon,189,81,42.86
Janna,Jarvan IV,299,169,56.52
Leona,Zed,263,137,52.09
Alistar,Ekko,397,204,51.39
Sona,Xin Zhao,415,248,59.76
Zyra,Jax,11,11,100.0
Braum,Lee Sin,500,239,47.8
Alistar,Jarvan IV,625,355,56.8
Alistar,Hecarim,240,123,51.25
Alistar,Reksai,57,36,63.16
Bard,Zed,401,196,48.88
Rakan,Belveth,164,85,51.83
Poppy,Ekko,122,78,63.93
Camille,Master Yi,10,0,0.0
Karma,Viego,670,356,53.13
Alistar,Wukong,335,181,54.03
Nami,Pantheon,897,477,53.18
Bard,Vi,239,152,63.6
Leona,Mordekaiser,20,10,50.0
Rell,Mordekaiser,22,14,63.64
Braum,Ambessa,90,42,46.67
Thresh,Pantheon,524,276,52.67
Bard,Hecarim,187,98,52.41
Bard,Xin Zhao,348,176,50.57
Rakan,Jarvan IV,516,224,43.41
Rell,Vi,389,229,58.87
Nautilus,Jarvan IV,658,273,41.49
Senna,Pantheon,240,118,49.17
Alistar,Talon,317,164,51.74
Rumble,Nocturne,15,7,46.67
Alistar,Lee Sin,793,470,59.27
Yuumi,Pantheon,110,47,42.73
Rell,Viego,1144,564,49.3
Gragas,Ekko,24,19,79.17
Riven,Vi,8,8,100.0
Neeko,Shyvana,24,11,45.83
Rell,Belveth,175,98,56.0
Braum,Belveth,131,78,59.54
Nautilus,Viego,1210,596,49.26
