champion1,champion2,games,wins,win_rate
Pantheon,Kaisa,210,92,43.81
Milio,Vayne,166,103,62.05
Neeko,Corki,202,109,53.96
Thresh,Sivir,263,138,52.47
Shen,Yunara,19,0,0.0
Neeko,Vayne,70,36,51.43
Rell,Kaisa,1371,651,47.48
Poppy,Yunara,246,145,58.94
Nautilus,Kaisa,1937,869,44.86
Braum,Lucian,1690,803,47.51
Bard,Jhin,1141,604,52.94
Alistar,Varus,627,329,52.47
Nunu & Willump,Tristana,10,8,80.0
Nami,Varus,383,199,51.96
Braum,Ezreal,642,345,53.74
Rakan,Brand,42,32,76.19
Nunu & Willump,Twitch,4,0,0.0
Trundle,Kaisa,29,12,41.38
Cassiopeia,Caitlyn,2,0,0.0
Seraphine,Samira,13,6,46.15
Zilean,Twitch,75,41,54.67
Janna,Smolder,285,160,56.14
Leona,Yunara,279,150,53.76
Alistar,Smolder,350,168,48.0
Sona,Yunara,341,177,51.91
Zyra,Draven,32,22,68.75
Alistar,Ezreal,848,444,52.36
Janna,Tristana,234,129,55.13
Alistar,Mel,281,145,51.6
Alistar,Senna,928,512,55.17
Bard,Ziggs,260,102,39.23
Rakan,Ezreal,562,213,37.9
Poppy,Zyra,26,18,69.23
Camille,Vayne,14,0,0.0
Karma,Senna,343,146,42.57
Alistar,Yunara,821,430,52.38
Nami,Riven,11,0,0.0
Bard,Zyra,65,33,50.77
Leona,Xayah,104,39,37.5
Rell,Vayne,105,69,65.71
Braum,Yunara,508,279,54.92
Thresh,Aphelios,1259,683,54.25
Bard,Draven,113,40,35.4
Bard,Corki,356,194,54.49
Rakan,Mel,164,92,56.1
Rell,Lucian,443,234,52.82
Nautilus,Smolder,335,186,55.52
Senna,Aurora,14,4,28.57
Alistar,Kaisa,1361,695,51.07
Rumble,Yunara,6,6,100.0
Yuumi,Lucian,341,160,46.92
Rell,Heimerdinger,43,5,11.63
Gragas,Sivir,54,33,61.11
Riven,Draven,8,8,100.0
Neeko,Jhin,757,397,52.44
Rell,Ashe,200,105,52.5
Nami,Lucian,5425,2789,51.41
Nautilus,Xayah,217,96,44.24
Lulu,Karthus,33,27,81.82
Karma,Lux,120,75,62.5
Braum,Aphelios,398,210,52.76
Elise,Zeri,70,23,32.86
Bard,Miss Fortune,249,152,61.04
Nautilus,Twitch,228,135,59.21
Nautilus,Yunara,577,295,51.13
Camille,Lucian,30,12,40.0
Janna,Draven,213,118,55.4
Lulu,Corki,124,55,44.35
Pyke,Yunara,329,156,47.42
Bard,Twitch,144,76,52.78
Senna,Seraphine,136,55,40.44
Sona,Kaisa,321,153,47.66
Seraphine,Lucian,61,37,60.66
Rell,Miss Fortune,849,452,53.24
Seraphine,Yunara,106,56,52.83
Lulu,Twitch,775,373,48.13
Poppy,Twitch,76,40,52.63
Alistar,Ashe,241,120,49.79
Taric,Riven,10,0,0.0
Neeko,Kaisa,714,386,54.06
Heimerdinger,Jhin,21,9,42.86
Leona,Sivir,144,81,56.25
Zyra,Caitlyn,57,22,38.6
Soraka,Jhin,454,242,53.3
Alistar,Ziggs,282,137,48.58
Alistar,Tristana,538,245,45.54
Sona,Twitch,89,54,60.67
Lulu,Yunara,1280,720,56.25
Braum,Twitch,204,111,54.41
Rell,Sivir,334,170,50.9
Rell,Jhin,820,438,53.41
Nautilus,Senna,1356,637,46.98
Alistar,Sivir,480,227,47.29
Rakan,Jhin,497,193,38.83
Alistar,Twitch,192,101,52.6
Renata,Tristana,55,28,50.91
Fiddlesticks,Yunara,49,17,34.69
Nautilus,Aphelios,404,197,48.76
Milio,Lucian,1409,721,51.17
Nautilus,Varus,634,258,40.69
Pyke,Annie,1,0,0.0
Janna,Caitlyn,196,93,47.45
Leona,Veigar,14,7,50.0
Kled,Draven,5,0,0.0
Poppy,Vayne,50,23,46.0
Rell,Lux,131,66,50.38
Zilean,Samira,15,6,40.0
Rakan,Jinx,235,121,51.49
Janna,Miss Fortune,143,72,50.35
Zyra,Veigar,4,0,0.0
Lux,Corki,9,6,66.67
Sona,Ezreal,607,290,47.78
Pantheon,Nilah,22,18,81.82
Neeko,Draven,120,82,68.33
Pyke,Corki,357,165,46.22
Sona,Ashe,131,61,46.56
Shen,Smolder,16,8,50.0
Nautilus,Tristana,755,375,49.67
Leona,Jhin,315,134,42.54
Karma,Sivir,568,309,54.4
Nautilus,Viktor,15,6,40.0
Nidalee,Kaisa,21,15,71.43
Poppy,Tristana,140,67,47.86
Nautilus,Lux,125,57,45.6
Sylas,Kaisa,55,22,40.0
Zoe,Caitlyn,18,7,38.89
Rell,Smolder,300,153,51.0
Braum,Vayne,134,71,52.99
Gragas,Samira,15,8,53.33
Alistar,Aphelios,440,209,47.5
Nami,Sivir,332,131,39.46
Pyke,Varus,296,161,54.39
Morgana,Aphelios,64,27,42.19
Bard,Aphelios,236,123,52.12
Blitzcrank,Ashe,77,38,49.35
Karma,Smolder,341,160,46.92
Poppy,Xayah,124,53,42.74
Nautilus,Corki,573,278,48.52
Bard,Smolder,425,200,47.06
Nautilus,Jhin,811,364,44.88
Rakan,Kaisa,824,343,41.63
Karma,Ezreal,2137,1053,49.27
Renata,Varus,146,73,50.0
Lulu,Aphelios,1111,543,48.87
Janna,Vayne,147,77,52.38
Senna,Jinx,69,31,44.93
Neeko,Viktor,14,7,50.0
Diana,Kaisa,2,0,0.0
Shaco,Kaisa,40,16,40.0
Sona,Aphelios,332,208,62.65
Milio,Sivir,239,96,40.17
Braum,Ashe,419,206,49.16
Lulu,Zeri,1234,599,48.54
Rakan,Sivir,376,183,48.67
Zilean,Aphelios,171,83,48.54
Jarvan IV,Jhin,12,4,33.33
Bard,Yunara,401,218,54.36
Nautilus,Jinx,442,194,43.89
Neeko,Kalista,219,114,52.05
Rakan,Yunara,582,272,46.74
Pyke,Yasuo,41,25,60.98
Thresh,Yunara,392,194,49.49
Zyra,Ezreal,97,37,38.14
Rell,Senna,573,320,55.85
Pyke,Miss Fortune,167,54,32.34
Pyke,Kaisa,924,452,48.92
Teemo,Yunara,12,4,33.33
Alistar,Miss Fortune,382,198,51.83
Tahm Kench,Senna,270,136,50.37
Alistar,Hwei,143,52,36.36
Leona,Lucian,263,122,46.39
Taric,Lucian,182,94,51.65
Leona,Draven,164,62,37.8
Janna,Jinx,251,115,45.82
Lulu,Sivir,729,354,48.56
Leona,Corki,268,142,52.99
VelKoz,Ashe,25,20,80.0
Trundle,Jhin,20,6,30.0
Tahm Kench,Kalista,17,8,47.06
Alistar,Yasuo,159,100,62.89
Karma,Lucian,307,126,41.04
Sona,Hwei,88,34,38.64
Lulu,Varus,339,194,57.23
Poppy,Ezreal,280,168,60.0
Karma,Yunara,587,289,49.23
Senna,Hwei,85,47,55.29
Lulu,Vayne,523,258,49.33
Neeko,Varus,586,291,49.66
Bard,Zeri,246,115,46.75
Neeko,Senna,159,66,41.51
Braum,Jinx,399,214,53.63
Leona,Zeri,118,60,50.85
Rakan,Twitch,267,136,50.94
Galio,Jhin,34,24,70.59
Blitzcrank,Corki,197,102,51.78
Fiddlesticks,Jhin,117,82,70.09
Yuumi,Tristana,167,81,48.5
Lulu,Jinx,1214,669,55.11
Nami,Lux,161,101,62.73
Rell,Corki,669,299,44.69
Soraka,Senna,262,123,46.95
VelKoz,Corki,32,26,81.25
Nami,Vayne,191,79,41.36
Yuumi,Sivir,311,141,45.34
Thresh,Jinx,692,373,53.9
Renata,Twitch,33,21,63.64
Bard,Sivir,557,280,50.27
Karma,Jhin,1218,585,48.03
Neeko,Caitlyn,314,138,43.95
Bard,Mel,197,116,58.88
Pyke,Kalista,68,28,41.18
Rell,Samira,295,128,43.39
Poppy,Aphelios,139,54,38.85
Elise,Jhin,182,106,58.24
Lulu,Senna,119,49,41.18
Braum,Senna,401,199,49.63
Thresh,Twitch,183,96,52.46
Blitzcrank,Sivir,116,59,50.86
Poppy,Lucian,122,61,50.0
Neeko,Aphelios,137,60,43.8
Poppy,Senna,180,102,56.67
Sona,Tristana,225,96,42.67
Galio,Kaisa,35,27,77.14
Poppy,Zeri,128,66,51.56
Poppy,Hwei,56,46,82.14
Poppy,Varus,222,114,51.35
Alistar,Draven,330,161,48.79
Braum,Kaisa,413,201,48.67
Rakan,Tristana,407,174,42.75
Braum,Caitlyn,210,99,47.14
Elise,Caitlyn,123,51,41.46
Fiddlesticks,Jinx,9,4,44.44
Sona,Taliyah,10,8,80.0
Seraphine,Twisted Fate,6,0,0.0
Blitzcrank,Kaisa,363,162,44.63
Nautilus,Miss Fortune,427,204,47.78
Sona,Sivir,420,237,56.43
Pyke,Tristana,343,172,50.15
Rammus,Varus,12,12,100.0
Rammus,Kaisa,6,6,100.0
Seraphine,Tristana,40,24,60.0
Nami,Hwei,258,124,48.06
Sylas,Lucian,58,30,51.72
Trundle,Ezreal,43,13,30.23
Karma,Corki,320,139,43.44
Rakan,Caitlyn,107,48,44.86
Lulu,Tristana,571,358,62.7
Alistar,KogMaw,152,78,51.32
Jhin,Yunara,13,7,53.85
Pyke,Aphelios,175,113,64.57
Poppy,Miss Fortune,115,54,46.96
Sona,Smolder,350,172,49.14
Janna,Jhin,451,225,49.89
Neeko,Xayah,91,46,50.55
Sylas,Karthus,10,0,0.0
Lulu,Draven,87,47,54.02
Janna,Aphelios,260,130,50.0
Shaco,Ezreal,114,67,58.77
Morgana,Draven,20,7,35.0
Pyke,Mel,127,62,48.82
Thresh,Jhin,350,169,48.29
Pyke,KogMaw,60,27,45.0
Blitzcrank,Vayne,45,20,44.44
Rell,Tristana,639,341,53.36
Leona,Vayne,61,25,40.98
Rell,Zeri,338,181,53.55
Seraphine,Draven,19,14,73.68
Rell,Swain,75,23,30.67
Zac,Draven,2,2,100.0
Elise,Samira,16,8,50.0
Neeko,Ezreal,436,223,51.15
Karma,Varus,703,362,51.49
Nidalee,Jhin,48,16,33.33
Pyke,Ziggs,96,46,47.92
Senna,Tristana,52,15,28.85
Yuumi,Twitch,227,132,58.15
Zilean,Mel,124,48,38.71
Rell,Hwei,127,66,51.97
Sona,Jinx,225,118,52.44
Rell,Draven,293,155,52.9
Pyke,Lucian,413,210,50.85
Lulu,KogMaw,673,331,49.18
Fiddlesticks,Tristana,49,28,57.14
Zilean,Senna,162,77,47.53
Trundle,Aphelios,14,7,50.0
Nami,Miss Fortune,174,75,43.1
Alistar,Lucian,463,222,47.95
Trundle,Sivir,23,14,60.87
Rell,Kalista,102,42,41.18
Renata,Kalista,175,80,45.71
Rakan,Smolder,263,135,51.33
Sona,Senna,331,176,53.17
Blitzcrank,Smolder,91,53,58.24
Nautilus,Zyra,63,21,33.33
Zilean,Ziggs,72,36,50.0
Tahm Kench,KogMaw,14,4,28.57
Leona,Ziggs,172,101,58.72
Sett,Kaisa,48,11,22.92
Soraka,Jinx,283,144,50.88
Sona,Caitlyn,199,69,34.67
Soraka,Sivir,332,164,49.4
Senna,Lucian,92,68,73.91
Zilean,Zeri,132,68,51.52
Nautilus,Cassiopeia,53,42,79.25
Neeko,Lucian,139,68,48.92
Nami,Tristana,261,116,44.44
Cassiopeia,Yunara,8,0,0.0
Pyke,Karthus,99,43,43.43
Karma,Jinx,308,135,43.83
Senna,Corki,87,37,42.53
Senna,Zyra,63,38,60.32
Nautilus,Karthus,250,129,51.6
Twisted Fate,Senna,14,12,85.71
Nautilus,Ezreal,592,268,45.27
Sona,Lucian,709,397,55.99
Soraka,Nilah,174,95,54.6
Dr. Mundo,Zeri,9,0,0.0
Bard,Jinx,263,145,55.13
Blitzcrank,Caitlyn,71,37,52.11
Karma,Hwei,145,68,46.9
Alistar,Corki,541,294,54.34
Dr. Mundo,Draven,4,4,100.0
Alistar,Nilah,125,56,44.8
Nautilus,Draven,455,221,48.57
Sona,Seraphine,130,72,55.38
