champion1,champion2,champion3,games,wins,win_rate
Xin Zhao,Heimerdinger,Syndra,9,9,100.0
Ambessa,Alistar,Sylas,7,7,100.0
Xin Zhao,Elise,Taliyah,10,3,30.0
Ekko,Nami,Yone,47,15,31.91
Jarvan IV,Rell,Sivir,6,6,100.0
Elise,Nautilus,Karma,5,0,0.0
KhaZix,Rell,Caitlyn,5,5,100.0
Belveth,Soraka,Ekko,12,4,33.33
Trundle,Braum,Lissandra,8,8,100.0
Pantheon,Poppy,Aurora,26,11,42.31
Poppy,Rakan,Ahri,5,5,100.0
Vi,Neeko,Taliyah,15,10,66.67
Zed,Janna,Lux,7,0,0.0
Ekko,Alistar,Yasuo,19,5,26.32
Pantheon,Poppy,Orianna,22,20,90.91
Lee Sin,Pyke,Azir,15,8,53.33
Diana,Poppy,Orianna,6,0,0.0
Hecarim,Poppy,Yasuo,2,2,100.0
Xin Zhao,Rakan,Sylas,15,8,53.33
Belveth,Gragas,Pantheon,5,5,100.0
Lee Sin,Milio,Hwei,15,11,73.33
Skarner,Taric,Syndra,7,0,0.0
Trundle,Thresh,Aurora,7,0,0.0
Pantheon,Lulu,Viktor,18,15,83.33
Briar,Pantheon,Orianna,7,0,0.0
Karthus,Poppy,Jayce,8,8,100.0
Elise,Bard,Varus,6,6,100.0
Zyra,Nautilus,Mel,8,2,25.0
Zed,Neeko,Sylas,15,10,66.67
Viego,Alistar,Renekton,3,3,100.0
Poppy,Zyra,Azir,6,6,100.0
Lee Sin,Nautilus,Viktor,14,3,21.43
Elise,Alistar,Corki,12,11,91.67
Poppy,Rell,Azir,32,22,68.75
Vi,Rell,Galio,22,18,81.82
Viego,Karma,Xerath,12,10,83.33
Lee Sin,Rell,Annie,33,15,45.45
Fiddlesticks,Senna,Lee Sin,6,6,100.0
Qiyana,Karma,Galio,12,5,41.67
Belveth,Renata,Twisted Fate,3,3,100.0
Wukong,Lulu,Sylas,22,14,63.64
Wukong,Rell,Fizz,6,0,0.0
Jarvan IV,Poppy,Azir,29,21,72.41
Zac,Neeko,Ambessa,8,5,62.5
Kayn,Rakan,Syndra,12,12,100.0
Naafiri,Bard,Annie,14,13,92.86
Jarvan IV,Taric,Hwei,5,2,40.0
Ambessa,Karma,Kayle,4,0,0.0
Xin Zhao,Poppy,Taliyah,17,15,88.24
Hecarim,Zilean,Ekko,14,2,14.29
Trundle,Elise,Naafiri,7,7,100.0
Lee Sin,Annie,Syndra,9,0,0.0
Pantheon,Bard,Azir,42,34,80.95
Trundle,Bard,Syndra,25,14,56.0
Taliyah,Nautilus,Yone,29,16,55.17
Wukong,Pyke,Syndra,18,5,27.78
Ambessa,Neeko,Syndra,12,9,75.0
Volibear,Leona,Gwen,6,0,0.0
Pantheon,Karma,Ahri,13,11,84.62
Wukong,Shen,Seraphine,5,0,0.0
Viego,Leona,Zac,5,5,100.0
Fiddlesticks,Shen,Varus,5,5,100.0
Lee Sin,Zilean,Lucian,5,0,0.0
Dr. Mundo,Leona,Annie,10,0,0.0
Shyvana,Braum,Azir,10,10,100.0
Ambessa,Nautilus,Galio,16,8,50.0
Hecarim,Braum,Ahri,11,8,72.73
Pantheon,Mel,Ziggs,7,0,0.0
Karthus,Trundle,Naafiri,7,7,100.0
Belveth,Zoe,Tristana,8,8,100.0
Volibear,Blitzcrank,Galio,8,0,0.0
Qiyana,Lulu,Corki,8,0,0.0
Pantheon,Leona,Ivern,8,8,100.0
Jarvan IV,Trundle,Ekko,3,0,0.0
Hecarim,Thresh,KSante,3,3,100.0
Udyr,Rell,Naafiri,7,7,100.0
Vi,Nautilus,Ryze,16,3,18.75
Trundle,Blitzcrank,Zoe,11,2,18.18
Trundle,Lulu,Viktor,16,16,100.0
Jarvan IV,Bard,Ahri,18,4,22.22
Pantheon,Rakan,Ahri,20,12,60.0
Wukong,Poppy,Aurora,14,4,28.57
Viego,Alistar,Zed,21,14,66.67
Kayn,Poppy,Katarina,6,1,16.67
Xin Zhao,Blitzcrank,Morgana,9,9,100.0
Vi,Rakan,Talon,18,9,50.0
Pantheon,Elise,Ryze,10,10,100.0
Diana,Braum,Naafiri,9,1,11.11
Pantheon,Bard,Irelia,11,7,63.64
Elise,Nautilus,Tristana,16,9,56.25
Poppy,Neeko,Katarina,6,4,66.67
Nunu & Willump,Nami,Viktor,5,0,0.0
Lee Sin,Leona,Tristana,7,7,100.0
Elise,Nautilus,Syndra,8,1,12.5
Xin Zhao,Sona,Orianna,15,8,53.33
Poppy,Yuumi,Hwei,8,8,100.0
Hecarim,Poppy,Kayn,2,0,0.0
Belveth,Bard,Sylas,8,7,87.5
Pantheon,Thresh,Aurora,31,20,64.52
Xin Zhao,Neeko,Ryze,12,2,16.67
Fiddlesticks,Thresh,Zed,12,0,0.0
Kindred,Milio,Ekko,7,6,85.71
Volibear,Sona,LeBlanc,6,1,16.67
Lee Sin,Elise,Ziggs,9,8,88.89
Poppy,Neeko,Taliyah,15,8,53.33
Zed,Leona,Kassadin,10,9,90.0
Vi,Sona,Lee Sin,9,0,0.0
Briar,Thresh,Katarina,7,3,42.86
Qiyana,Sona,Annie,4,4,100.0
Lee Sin,Blitzcrank,Orianna,14,8,57.14
