champion1,champion2,champion3,games,wins,win_rate
Udyr,Pyke,Azir,3,2,66.67
Talon,Braum,Anivia,2,0,0.0
Udyr,Soraka,LeBlanc,3,0,0.0
Gwen,Nautilus,Gragas,3,3,100.0
Ivern,Nunu & Willump,Vladimir,1,0,0.0
Rengar,Pyke,Gwen,1,1,100.0
Jax,Neeko,Yone,4,0,0.0
Jarvan IV,Lulu,Hwei,32,19,59.38
Jax,Alistar,Lissandra,4,0,0.0
Kayn,Poppy,Azir,15,4,26.67
Jax,Lulu,LeBlanc,6,6,100.0
Ekko,Nautilus,Yone,25,11,44.0
Jax,Taric,Taliyah,10,10,100.0
Jarvan IV,Elise,Syndra,7,1,14.29
Nunu & Willump,Maokai,Aurelion Sol,4,0,0.0
Corki,Nami,Zoe,3,3,100.0
Jarvan IV,Soraka,Vladimir,16,9,56.25
Gwen,Pyke,Viktor,6,6,100.0
Trundle,Leona,Zilean,3,0,0.0
Master Yi,Pantheon,Kayle,2,0,0.0
Gwen,Neeko,Yone,1,1,100.0
Nidalee,Rakan,Jayce,3,2,66.67
Corki,Nautilus,Vladimir,4,0,0.0
Gwen,Senna,Ryze,1,1,100.0
Diana,Rakan,Irelia,3,2,66.67
Gwen,Karma,Zac,1,1,100.0
Hecarim,Blitzcrank,Galio,1,0,0.0
Kindred,Camille,Ryze,1,0,0.0
Gwen,Alistar,Galio,3,2,66.67
Nunu & Willump,Xin Zhao,Zed,2,2,100.0
Corki,Sona,Yone,2,0,0.0
Zac,Rell,Qiyana,1,0,0.0
Gwen,Xin Zhao,Katarina,1,1,100.0
Gwen,Nami,Smolder,3,0,0.0
Gwen,Karma,Yasuo,5,5,100.0
Kaisa,Nami,Viktor,2,0,0.0
Gwen,Rell,Lissandra,6,6,100.0
Gwen,Pyke,Swain,1,1,100.0
KhaZix,Lulu,Katarina,4,2,50.0
Viego,Bard,Swain,5,0,0.0
Gwen,Sona,Zoe,5,4,80.0
Gwen,Rell,Katarina,5,2,40.0
Corki,Karma,Syndra,1,0,0.0
Taliyah,Nami,Ivern,1,1,100.0
Gwen,Nautilus,Viktor,4,4,100.0
Fiddlesticks,Rell,Orianna,12,8,66.67
Sylas,Karma,Corki,6,0,0.0
Jarvan IV,Braum,Mel,6,1,16.67
Gwen,Leona,Swain,3,3,100.0
Rengar,Nami,Xerath,3,1,33.33
Lee Sin,Elise,Twisted Fate,17,3,17.65
Gwen,Bard,Viktor,2,0,0.0
Naafiri,Karma,Sylas,13,4,30.77
Zyra,Nami,Katarina,3,0,0.0
Gwen,Sona,Syndra,3,3,100.0
Gwen,Alistar,Yasuo,10,5,50.0
Zyra,Morgana,Renekton,3,3,100.0
Nunu & Willump,Camille,Veigar,4,0,0.0
Gwen,Zilean,Azir,5,5,100.0
Gwen,Lulu,Naafiri,3,0,0.0
Nunu & Willump,Senna,Taliyah,4,4,100.0
Gwen,Yuumi,Kassadin,5,0,0.0
KhaZix,Pyke,Ivern,3,3,100.0
KhaZix,Sylas,Orianna,2,2,100.0
Gwen,Rell,Annie,2,0,0.0
Gwen,Rell,Qiyana,1,1,100.0
Talon,Rakan,Warwick,1,0,0.0
Draven,Thresh,Naafiri,2,2,100.0
Gwen,Janna,Zed,2,0,0.0
Rammus,Rakan,Gragas,3,0,0.0
Gwen,Lulu,Veigar,3,3,100.0
Pantheon,Maokai,Akali,8,1,12.5
Gwen,Janna,Naafiri,5,5,100.0
Gwen,Nami,Lee Sin,1,1,100.0
Poppy,Pyke,Talon,1,0,0.0
Gwen,Milio,Irelia,3,2,66.67
Corki,Bard,Vladimir,2,0,0.0
Ekko,Braum,Akali,5,2,40.0
Diana,Rakan,Corki,9,9,100.0
Talon,Janna,Garen,3,0,0.0
Rengar,Sona,LeBlanc,7,2,28.57
Gwen,Sett,Yasuo,1,0,0.0
Qiyana,Gragas,Ryze,2,2,100.0
Corki,Sett,Vladimir,2,0,0.0
Ekko,Sona,Katarina,13,12,92.31
Corki,Senna,Ryze,2,0,0.0
Gwen,Rakan,Aatrox,3,0,0.0
Taliyah,Zilean,Twisted Fate,3,3,100.0
Ekko,Karma,Kassadin,5,0,0.0
Gwen,Janna,Qiyana,4,4,100.0
Graves,Braum,Annie,4,4,100.0
Trundle,Bard,Akali,6,0,0.0
Lee Sin,Bard,Yone,12,5,41.67
Master Yi,Nami,Azir,14,10,71.43
Ivern,Pyke,Yone,8,7,87.5
Kayn,Nautilus,Irelia,4,0,0.0
Jarvan IV,Morgana,Annie,3,1,33.33
Zac,Braum,Galio,1,0,0.0
Shaco,Rell,Yone,4,3,75.0
Ekko,Janna,Syndra,6,2,33.33
Rammus,Rell,Yone,3,2,66.67
Lee Sin,Nami,Kayle,6,3,50.0
Talon,Poppy,Hwei,1,1,100.0
Ambessa,Braum,Aurora,4,0,0.0
Jarvan IV,Sona,Katarina,17,6,35.29
Talon,Rell,Akali,7,3,42.86
Wukong,Janna,Ambessa,1,0,0.0
Taliyah,Sona,Annie,1,1,100.0
Reksai,Soraka,Qiyana,8,5,62.5
Diana,Milio,Jayce,7,5,71.43
Lee Sin,Sona,Irelia,9,1,11.11
Zed,Nautilus,Aurora,26,13,50.0
Nocturne,Alistar,Akali,5,3,60.0
KhaZix,Leona,Hwei,3,0,0.0
Ambessa,Nautilus,Syndra,3,3,100.0
Gwen,Lulu,Ambessa,3,3,100.0
Urgot,Karma,Viktor,3,0,0.0
Hecarim,Ashe,Akali,1,0,0.0
Rengar,Rell,Aurora,5,1,20.0
Lee Sin,Soraka,Yone,5,3,60.0
Volibear,Nami,LeBlanc,4,0,0.0
Shaco,Zyra,Sylas,2,2,100.0
KhaZix,Sona,Yone,2,2,100.0
Heimerdinger,Nautilus,Azir,2,0,0.0
Rammus,Yuumi,Ambessa,3,0,0.0
Dr. Mundo,Nami,Sylas,17,9,52.94
Pantheon,Rell,Zoe,16,6,37.5
Trundle,Sona,Yone,1,1,100.0
Master Yi,Alistar,Aurora,11,11,100.0
Wukong,Leona,Ahri,19,11,57.89
Lee Sin,Pyke,Orianna,12,2,16.67
Shen,Neeko,Aphelios,2,0,0.0
Udyr,Yuumi,Corki,2,0,0.0
Brand,Lulu,Azir,1,0,0.0
Viego,Thresh,Diana,12,6,50.0
Viego,Lulu,Aurelion Sol,12,0,0.0
Xin Zhao,Soraka,Ahri,11,10,90.91
Talon,Alistar,Jayce,1,0,0.0
Jarvan IV,Alistar,Ambessa,1,0,0.0
Volibear,Sona,Jayce,2,1,50.0
Ivern,Rakan,Akali,1,1,100.0
Udyr,Karma,Taliyah,5,3,60.0
Gragas,Senna,Hwei,3,0,0.0
Hecarim,Zilean,Vladimir,12,6,50.0
Lee Sin,Nami,Yasuo,30,16,53.33
Volibear,Elise,Azir,1,1,100.0
Udyr,Karma,Ryze,4,3,75.0
Belveth,Elise,Azir,2,2,100.0
Xin Zhao,Rakan,Vex,3,0,0.0
Belveth,Janna,Veigar,3,0,0.0
Aatrox,Leona,Sylas,5,0,0.0
Belveth,Pyke,Cassiopeia,5,5,100.0
KhaZix,Rell,Orianna,14,3,21.43
Jarvan IV,Sona,Ekko,4,3,75.0
Zed,Milio,Veigar,3,0,0.0
Hecarim,Leona,Syndra,2,1,50.0
Viego,Nautilus,Fizz,3,1,33.33
Diana,Gragas,Corki,4,0,0.0
Vi,Senna,Aurelion Sol,4,4,100.0
Nidalee,Alistar,Hwei,4,4,100.0
Vi,Rell,Qiyana,4,0,0.0
KhaZix,Shen,Ekko,6,0,0.0
Jarvan IV,Soraka,Yone,5,5,100.0
Trundle,Karma,Akali,17,12,70.59
Trundle,Blitzcrank,Taliyah,13,12,92.31
Viego,Milio,Hwei,15,5,33.33
Hecarim,Rakan,Gragas,5,2,40.0
Shaco,Bard,Sylas,16,10,62.5
Kindred,Braum,Vladimir,4,2,50.0
Elise,Alistar,Ryze,2,1,50.0
Wukong,Nami,Naafiri,3,3,100.0
Viego,Nami,Zac,11,0,0.0
Belveth,Yuumi,Galio,4,4,100.0
Taliyah,Rell,Sylas,4,0,0.0
Poppy,Janna,Qiyana,6,6,100.0
Hecarim,Nautilus,Ziggs,5,0,0.0
Shen,Nautilus,Azir,8,0,0.0
Zac,Maokai,Viktor,7,7,100.0
Zac,Nautilus,Ekko,6,5,83.33
Zed,Milio,Orianna,14,10,71.43
Dr. Mundo,Bard,Nasus,1,0,0.0
Evelynn,Soraka,Tristana,2,0,0.0
Viego,Zilean,Hwei,10,6,60.0
Nunu & Willump,Alistar,Akshan,10,0,0.0
Qiyana,Neeko,Ziggs,3,3,100.0
Nidalee,Thresh,Lissandra,5,1,20.0
Viego,Lulu,Cassiopeia,6,5,83.33
Viego,Lulu,Mel,24,8,33.33
Udyr,Rakan,Ahri,12,0,0.0
Volibear,Braum,Hwei,2,1,50.0
Zac,Thresh,Azir,2,0,0.0
Nidalee,Poppy,Vayne,7,0,0.0
Zed,Taric,Cassiopeia,7,7,100.0
Briar,Lulu,Diana,3,3,100.0
Hecarim,Alistar,Orianna,10,1,10.0
Amumu,Taric,KSante,4,4,100.0
Ambessa,Poppy,Ryze,4,0,0.0
Belveth,Pyke,Viktor,3,1,33.33
Shaco,Nautilus,Lucian,3,0,0.0
Xin Zhao,Neeko,Seraphine,3,3,100.0
Jarvan IV,Sona,Twisted Fate,11,5,45.45
Hecarim,Sylas,Karma,3,3,100.0
Gwen,Nautilus,Katarina,2,0,0.0
Graves,Leona,Sylas,2,2,100.0
Gwen,Yuumi,Azir,3,0,0.0
Poppy,Rell,Ivern,2,2,100.0
Jarvan IV,Zyra,Zoe,3,1,33.33
Hecarim,Shaco,Ivern,2,2,100.0
Nidalee,Pyke,Ahri,3,2,66.67
Belveth,Thresh,Syndra,4,3,75.0
Briar,VelKoz,Orianna,2,0,0.0
Karthus,Seraphine,Caitlyn,2,2,100.0
Hecarim,Yuumi,Lissandra,9,5,55.56
Fizz,Bard,Orianna,1,1,100.0
Ambessa,Karma,Annie,1,0,0.0
Kindred,Lulu,Ekko,2,2,100.0
Wukong,Rakan,Taliyah,12,3,25.0
Kindred,Nautilus,Jayce,1,0,0.0
Graves,Alistar,Karma,2,2,100.0
Kindred,Nautilus,Kennen,2,0,0.0
Evelynn,Braum,Briar,1,1,100.0
Udyr,Yuumi,Zoe,3,2,66.67
Karthus,Sona,Qiyana,9,4,44.44
Xin Zhao,Sona,Ivern,1,0,0.0
Talon,Soraka,Chogath,1,1,100.0
Lee Sin,Taric,Galio,2,2,100.0
Singed,Neeko,Swain,1,1,100.0
Kayn,Rell,Orianna,4,2,50.0
Pantheon,Alistar,Twisted Fate,10,3,30.0
Rammus,Lulu,Irelia,3,3,100.0
Lee Sin,Alistar,Cassiopeia,2,2,100.0
Taliyah,Sylas,Vladimir,2,0,0.0
Trundle,Rell,Syndra,18,8,44.44
Jarvan IV,Maokai,Viktor,2,0,0.0
KhaZix,Braum,Syndra,10,1,10.0
Kayn,Shaco,Twisted Fate,3,1,33.33
Kindred,Lulu,Azir,6,3,50.0
Wukong,Kennen,Ivern,1,1,100.0
Wukong,Thresh,Azir,11,6,54.55
Pantheon,Rell,Aurora,30,9,30.0
Twitch,Milio,Sivir,2,0,0.0
Qiyana,Rakan,Annie,2,2,100.0
Nocturne,Braum,Akali,7,4,57.14
Naafiri,Rakan,Lissandra,10,3,30.0
Briar,Rakan,Twisted Fate,2,2,100.0
Trundle,Bard,Heimerdinger,4,3,75.0
Ivern,Braum,Gragas,5,3,60.0
Nidalee,Nami,Hwei,9,1,11.11
Talon,Annie,Kennen,1,1,100.0
Evelynn,Rakan,Yasuo,2,0,0.0
Viego,Sona,Veigar,2,1,50.0
Udyr,Rell,Akshan,5,2,40.0
Kayn,Pantheon,Aurora,1,1,100.0
Viego,Pyke,Mel,8,7,87.5
Nunu & Willump,Rakan,Ivern,1,1,100.0
Karthus,Sona,Tryndamere,4,0,0.0
Rammus,Alistar,Kassadin,6,5,83.33
Ivern,Seraphine,Kassadin,2,0,0.0
Pantheon,Alistar,Mel,16,10,62.5
Zyra,Nautilus,Hwei,2,0,0.0
Kindred,Rakan,Twisted Fate,7,7,100.0
Kindred,Alistar,Zed,7,2,28.57
Lillia,Nami,Yasuo,16,8,50.0
KhaZix,Alistar,Taliyah,8,5,62.5
Diana,Nautilus,Tristana,3,1,33.33
Zed,Janna,Azir,2,0,0.0
Viego,Lulu,Nidalee,7,0,0.0
Xin Zhao,Alistar,Jayce,2,2,100.0
Talon,Leona,Orianna,4,3,75.0
Qiyana,Braum,Syndra,1,0,0.0
Diana,Senna,Lucian,4,4,100.0
Nidalee,Bard,Kennen,4,0,0.0
Volibear,Rell,Tristana,3,1,33.33
Rammus,Soraka,Veigar,1,0,0.0
Fiddlesticks,Maokai,Irelia,1,0,0.0
Diana,Janna,Tristana,1,1,100.0
Lee Sin,Karma,Ekko,13,10,76.92
Kayn,Alistar,Aurora,13,3,23.08
Dr. Mundo,Pyke,Kassadin,3,0,0.0
Diana,Tahm Kench,Yasuo,10,7,70.0
Draven,Rakan,Yone,3,0,0.0
Qiyana,Neeko,Akali,2,2,100.0
Trundle,Nami,Mel,8,0,0.0
Belveth,Leona,Ambessa,3,2,66.67
Ekko,Blitzcrank,Lucian,2,0,0.0
Zed,Azir,Kindred,2,0,0.0
Fiddlesticks,Pyke,Sylas,4,1,25.0
Ekko,Alistar,Galio,16,4,25.0
Graves,Senna,Zilean,2,2,100.0
Gwen,Elise,Caitlyn,1,0,0.0
Kindred,Rakan,Viktor,3,2,66.67
Kindred,Rell,Ryze,5,5,100.0
Poppy,Alistar,Aurora,11,7,63.64
Ekko,Shen,Akshan,4,0,0.0
Zed,Karma,Zoe,15,1,6.67
Jarvan IV,Neeko,Viktor,11,9,81.82
Viego,Maokai,Lissandra,1,1,100.0
Poppy,Fiddlesticks,Viktor,1,0,0.0
Belveth,Alistar,Vladimir,5,1,20.0
Zyra,Lulu,Yasuo,2,2,100.0
Corki,Alistar,Annie,3,3,100.0
Viego,Milio,Sylas,17,5,29.41
Poppy,Nami,Viktor,3,3,100.0
Pantheon,Alistar,Ziggs,2,2,100.0
Trundle,Janna,Viktor,11,8,72.73
Naafiri,Thresh,Veigar,6,0,0.0
Zac,Rakan,Katarina,8,7,87.5
Zed,Rakan,Lissandra,5,0,0.0
Trundle,Milio,Katarina,6,4,66.67
Jarvan IV,Karma,Jayce,3,1,33.33
Lee Sin,Nautilus,Brand,2,0,0.0
Ambessa,Fiddlesticks,Pantheon,2,2,100.0
Zed,Alistar,Hwei,17,9,52.94
Graves,Lulu,Chogath,4,4,100.0
Jarvan IV,Janna,Viktor,12,11,91.67
Jarvan IV,Sona,LeBlanc,13,10,76.92
Kindred,Karma,Taliyah,9,2,22.22
Viego,Leona,Chogath,2,2,100.0
Xin Zhao,Nami,Vladimir,27,14,51.85
Jarvan IV,Seraphine,Chogath,3,3,100.0
Volibear,Lulu,Qiyana,7,2,28.57
Ekko,Nami,Chogath,8,2,25.0
Lee Sin,Thresh,Chogath,15,7,46.67
Jax,Morgana,Gragas,2,2,100.0
Karthus,Tahm Kench,Chogath,2,0,0.0
Master Yi,Poppy,Syndra,2,2,100.0
Xin Zhao,Rakan,Briar,2,2,100.0
KhaZix,Braum,Chogath,4,0,0.0
Rammus,Karma,Mel,2,2,100.0
Fiddlesticks,Yuumi,LeBlanc,1,1,100.0
Nocturne,Milio,Chogath,3,3,100.0
Ekko,Rell,Zed,18,14,77.78
Lee Sin,Rakan,Annie,12,12,100.0
Diana,Rakan,LeBlanc,2,2,100.0
Naafiri,Jax,Veigar,2,0,0.0
Pantheon,VelKoz,Taliyah,3,2,66.67
KhaZix,Nautilus,Garen,1,0,0.0
Lee Sin,Alistar,Kennen,1,1,100.0
Gragas,Yuumi,Yone,1,0,0.0
Hecarim,Sona,Chogath,3,3,100.0
Gragas,Alistar,Zed,4,1,25.0
KhaZix,Zilean,Neeko,2,0,0.0
Kindred,Braum,Sylas,23,15,65.22
Kayn,Leona,Karma,2,2,100.0
Pantheon,Nautilus,Chogath,3,1,33.33
Volibear,Ornn,Lulu,1,1,100.0
Viego,Nami,Zyra,3,3,100.0
Pantheon,Karma,Chogath,3,0,0.0
Dr. Mundo,Thresh,Chogath,2,1,50.0
Talon,Yuumi,Katarina,11,2,18.18
Nidalee,Gragas,Chogath,2,2,100.0
Nidalee,Bard,Akali,4,2,50.0
Nocturne,Yuumi,LeBlanc,1,1,100.0
Wukong,Janna,Taliyah,3,0,0.0
Kayn,Sona,Fizz,9,1,11.11
Nunu & Willump,Nautilus,Galio,5,4,80.0
Jarvan IV,Rell,Chogath,2,2,100.0
Poppy,Rakan,Yone,17,0,0.0
Gragas,Karma,Ahri,2,2,100.0
Xin Zhao,Leona,Nidalee,2,0,0.0
Xin Zhao,Karma,Orianna,17,11,64.71
Morgana,Braum,Swain,1,0,0.0
Shaco,Tahm Kench,Viktor,1,0,0.0
Fiddlesticks,Thresh,Vex,1,1,100.0
Viego,Yuumi,Anivia,2,0,0.0
Xin Zhao,Amumu,Ahri,2,2,100.0
Fiddlesticks,Seraphine,Kassadin,1,0,0.0
Viego,Nautilus,Anivia,10,10,100.0
Talon,Bard,Orianna,15,13,86.67
Kindred,Nautilus,Ahri,19,9,47.37
Zed,Elise,Twisted Fate,5,4,80.0
Karthus,Alistar,Chogath,1,0,0.0
Jarvan IV,Leona,Ahri,5,3,60.0
Graves,Blitzcrank,Kayle,2,0,0.0
Nocturne,Rell,Twisted Fate,5,3,60.0
Xin Zhao,Elise,LeBlanc,2,2,100.0
Ekko,Rakan,Vex,3,0,0.0
Skarner,Rell,Swain,1,1,100.0
Fiddlesticks,Neeko,Irelia,1,1,100.0
Nidalee,Braum,Chogath,1,0,0.0
Trundle,Nautilus,Taliyah,44,35,79.55
Karthus,Elise,Twisted Fate,4,0,0.0
Viego,Nautilus,Katarina,34,9,26.47
Xin Zhao,Braum,Ahri,14,9,64.29
Naafiri,Thresh,Ahri,8,7,87.5
Kindred,Rakan,Hwei,4,2,50.0
Nidalee,Janna,Jayce,2,0,0.0
Wukong,Karma,Katarina,6,5,83.33
Fiddlesticks,Nami,Ahri,7,5,71.43
Lee Sin,Pantheon,Nidalee,5,3,60.0
Volibear,Yuumi,LeBlanc,3,3,100.0
Pantheon,Lux,Chogath,2,2,100.0
Talon,Thresh,Taliyah,11,1,9.09
Shaco,Nautilus,Zoe,8,4,50.0
Kindred,Seraphine,Akali,3,1,33.33
Jarvan IV,Galio,Neeko,1,0,0.0
Nidalee,Camille,Akshan,2,1,50.0
Nunu & Willump,Nami,Vex,1,0,0.0
Nocturne,Karma,Xerath,2,1,50.0
Hecarim,Alistar,Neeko,2,1,50.0
Nunu & Willump,Alistar,Katarina,3,1,33.33
Jarvan IV,Elise,Chogath,2,2,100.0
Lee Sin,Karma,LeBlanc,22,17,77.27
Pantheon,Milio,Orianna,7,1,14.29
Volibear,Seraphine,LeBlanc,2,2,100.0
Diana,Sylas,Zac,1,0,0.0
KhaZix,Sona,Chogath,1,1,100.0
Talon,Elise,Ahri,2,2,100.0
Pantheon,Trundle,Chogath,2,2,100.0
Jarvan IV,Thresh,Morgana,2,0,0.0
Talon,VelKoz,Smolder,1,1,100.0
Poppy,Neeko,Tryndamere,1,1,100.0
Jarvan IV,Karma,Ahri,13,8,61.54
Udyr,Senna,Viktor,2,0,0.0
Gragas,Sona,Chogath,2,2,100.0
Hecarim,Sona,Zoe,6,3,50.0
Volibear,Senna,Ahri,3,0,0.0
Ekko,Milio,Chogath,1,1,100.0
Talon,Karma,Vladimir,5,1,20.0
Fiddlesticks,Soraka,Orianna,1,0,0.0
Amumu,Janna,Galio,2,1,50.0
Udyr,Karma,Qiyana,1,0,0.0
Darius,Pyke,Chogath,1,1,100.0
Viego,Gragas,Yone,8,8,100.0
Lee Sin,Rell,Viktor,18,3,16.67
Wukong,Yuumi,Akali,4,2,50.0
Belveth,Nautilus,Tristana,1,1,100.0
Nocturne,Yuumi,Aurora,1,0,0.0
Evelynn,Rakan,Chogath,1,1,100.0
Kayn,Yuumi,Katarina,2,2,100.0
Ambessa,Nautilus,Chogath,1,0,0.0
Lee Sin,Pyke,Gangplank,5,1,20.0
Elise,Renata,Corki,2,0,0.0
Trundle,Lulu,Syndra,2,2,100.0
Shen,Blitzcrank,Vayne,5,0,0.0
Xin Zhao,Braum,Katarina,16,13,81.25
Xin Zhao,Nami,Azir,14,13,92.86
Lee Sin,Sona,Shen,1,0,0.0
Evelynn,Milio,Akali,2,0,0.0
Talon,Karma,Galio,15,9,60.0
Poppy,Senna,Diana,1,0,0.0
Xin Zhao,Leona,LeBlanc,3,2,66.67
Graves,Yuumi,Ahri,1,0,0.0
Zac,Nidalee,Hwei,3,0,0.0
Rengar,Alistar,Orianna,9,3,33.33
Pantheon,Bard,Veigar,6,5,83.33
Talon,Milio,Fizz,9,3,33.33
Diana,Rell,Kassadin,4,0,0.0
Talon,Lulu,Galio,10,6,60.0
Pantheon,Karma,Kassadin,8,5,62.5
Nocturne,Karma,Orianna,16,12,75.0
Jarvan IV,Xerath,Hwei,4,1,25.0
Pantheon,Lulu,Vladimir,26,20,76.92
Viego,Nami,Akshan,12,5,41.67
Naafiri,Lulu,Azir,18,14,77.78
Talon,Zilean,Viktor,6,3,50.0
Vi,Rell,Syndra,6,3,50.0
Karthus,Lulu,Twisted Fate,4,3,75.0
Naafiri,Nautilus,Zac,3,3,100.0
Master Yi,Seraphine,Azir,7,0,0.0
Volibear,Braum,Lux,6,4,66.67
Yorick,Nautilus,Lux,2,2,100.0
Kayn,Nami,Syndra,13,5,38.46
Hecarim,Nautilus,Lux,3,2,66.67
Nocturne,Milio,Yasuo,2,1,50.0
Ekko,Zilean,Ambessa,3,2,66.67
Trundle,Sona,Azir,4,2,50.0
Graves,Milio,Kassadin,1,1,100.0
Pantheon,Veigar,Ryze,1,0,0.0
Volibear,Lulu,Jayce,5,0,0.0
Jarvan IV,Neeko,Veigar,2,2,100.0
Nunu & Willump,Milio,Xerath,3,0,0.0
Belveth,Seraphine,Syndra,4,3,75.0
Karthus,Lulu,Akshan,2,1,50.0
Ivern,Soraka,Qiyana,1,1,100.0
Belveth,Blitzcrank,Veigar,1,0,0.0
Zed,Nami,Kassadin,4,2,50.0
Viego,Rell,Qiyana,6,4,66.67
Briar,Nautilus,Ahri,1,1,100.0
Nidalee,Seraphine,Varus,1,0,0.0
KhaZix,Gragas,Veigar,1,1,100.0
Master Yi,Alistar,Smolder,2,0,0.0
Volibear,Sona,Udyr,1,1,100.0
KhaZix,Milio,Swain,1,0,0.0
Udyr,Braum,Hwei,5,1,20.0
Dr. Mundo,Nautilus,Yasuo,3,3,100.0
Xin Zhao,Sylas,Yone,2,2,100.0
Talon,Morgana,Chogath,2,0,0.0
Talon,Zyra,Riven,1,1,100.0
Zac,Poppy,Corki,1,0,0.0
Qiyana,Senna,Fizz,1,1,100.0
Shyvana,Neeko,Orianna,4,3,75.0
Gwen,Yuumi,Corki,3,0,0.0
Master Yi,Milio,Orianna,2,2,100.0
Vi,Lux,Ahri,2,0,0.0
Master Yi,Neeko,Pantheon,5,0,0.0
Wukong,Sona,Zac,5,5,100.0
Viego,Pyke,Twisted Fate,14,0,0.0
Karthus,Rell,Akali,7,5,71.43
Karthus,Nami,Talon,1,0,0.0
Poppy,Shaco,Brand,2,0,0.0
Sejuani,Lulu,Ekko,5,2,40.0
Trundle,Seraphine,Vex,4,4,100.0
Wukong,Alistar,Tristana,4,0,0.0
Lillia,Nautilus,Vladimir,2,2,100.0
Nidalee,Alistar,Gragas,2,0,0.0
KhaZix,Nami,Ivern,2,0,0.0
Rengar,Braum,Sylas,14,2,14.29
Xin Zhao,Karma,Corki,3,2,66.67
Zyra,Braum,Tristana,2,0,0.0
Nunu & Willump,Leona,Yone,5,3,60.0
Gwen,Nautilus,Talon,2,1,50.0
Nunu & Willump,Braum,Smolder,1,0,0.0
Taliyah,Thresh,Zed,5,2,40.0
Nunu & Willump,Janna,Nidalee,1,0,0.0
Rengar,Yuumi,Syndra,4,1,25.0
Taliyah,Nautilus,Caitlyn,1,0,0.0
Ekko,Lulu,Ambessa,7,0,0.0
Belveth,Janna,Katarina,3,0,0.0
Hecarim,Alistar,Yasuo,7,5,71.43
Volibear,Nami,Ekko,11,5,45.45
Taliyah,Sona,Yone,5,0,0.0
Viego,Soraka,Annie,10,9,90.0
Diana,Nami,Yasuo,48,27,56.25
Zed,Leona,Ryze,9,6,66.67
Ivern,VelKoz,Quinn,1,0,0.0
Lillia,Rell,Xerath,2,0,0.0
Volibear,Poppy,Taliyah,3,2,66.67
Hecarim,Nami,Malzahar,2,1,50.0
Graves,Yuumi,Twisted Fate,3,0,0.0
Volibear,Zac,Ahri,3,0,0.0
Kayn,Alistar,Caitlyn,3,2,66.67
KhaZix,Rell,Urgot,2,0,0.0
Zac,Galio,Zed,3,0,0.0
Viego,Amumu,Shen,2,2,100.0
Zeri,Lux,Urgot,2,0,0.0
Shaco,Nautilus,Vladimir,3,1,33.33
Evelynn,Zoe,Heimerdinger,2,2,100.0
KhaZix,Nami,Syndra,5,4,80.0
Lee Sin,Senna,Heimerdinger,1,0,0.0
Evelynn,Alistar,Malzahar,3,2,66.67
Nocturne,Gragas,Azir,2,0,0.0
Naafiri,Karma,Kennen,1,0,0.0
Sejuani,Nami,Chogath,1,1,100.0
Lillia,Alistar,Kassadin,2,2,100.0
Nocturne,Soraka,Katarina,13,3,23.08
Ekko,Bard,Smolder,1,1,100.0
Nidalee,Sylas,Galio,1,0,0.0
Zed,Milio,Ahri,6,0,0.0
Xin Zhao,Maokai,Neeko,4,4,100.0
Zac,Nami,Ezreal,4,4,100.0
Brand,Pyke,Akshan,4,0,0.0
Lee Sin,Sona,Vayne,5,5,100.0
Naafiri,Alistar,Yone,13,0,0.0
Zac,Rell,Lux,3,0,0.0
Jarvan IV,Janna,Swain,7,7,100.0
Viego,Nautilus,Kennen,3,2,66.67
Xin Zhao,Zoe,Jayce,2,0,0.0
Trundle,Seraphine,Viktor,2,0,0.0
Nidalee,Braum,Nasus,3,0,0.0
Hecarim,Rakan,Galio,11,8,72.73
Nocturne,Alistar,Veigar,2,0,0.0
Vi,Seraphine,Vladimir,6,3,50.0
Ivern,Shaco,Akshan,6,6,100.0
Pantheon,Nautilus,Neeko,6,5,83.33
Hecarim,Karma,Viktor,21,12,57.14
Poppy,Alistar,Yasuo,5,0,0.0
Zac,Neeko,Lissandra,4,0,0.0
Master Yi,Braum,Taliyah,12,12,100.0
Trundle,Alistar,LeBlanc,18,0,0.0
Hecarim,Lulu,Katarina,9,6,66.67
Dr. Mundo,Nautilus,Yone,2,1,50.0
Zyra,Lulu,KSante,1,1,100.0
Rengar,Pyke,Syndra,1,1,100.0
Rumble,Lulu,Zed,12,9,75.0
Vi,Nami,Anivia,15,6,40.0
Elise,Nami,Graves,2,0,0.0
Zed,Janna,Sylas,14,11,78.57
Zed,Galio,Aurora,1,0,0.0
Graves,Alistar,Briar,1,1,100.0
Ambessa,Alistar,Graves,2,2,100.0
Viego,Seraphine,Cassiopeia,4,2,50.0
Graves,Pantheon,Aurelion Sol,2,2,100.0
Pantheon,Neeko,LeBlanc,5,4,80.0
Volibear,VelKoz,Katarina,1,0,0.0
Vi,Taric,Taliyah,5,4,80.0
Lee Sin,Rakan,Twisted Fate,28,8,28.57
Dr. Mundo,Tahm Kench,Mel,1,0,0.0
KhaZix,Alistar,Orianna,12,8,66.67
Graves,Alistar,Ekko,6,6,100.0
Nocturne,Nautilus,Akali,1,0,0.0
Zed,Lulu,Irelia,1,1,100.0
Lee Sin,Taric,Naafiri,1,0,0.0
Talon,Braum,Mel,3,2,66.67
Zed,Lulu,Mel,9,6,66.67
Pantheon,Lux,Hwei,1,0,0.0
Zac,Janna,Heimerdinger,2,2,100.0
