champion1,champion2,games,wins,win_rate
Vi,Kaisa,620,281,45.32
Wukong,Vayne,69,31,44.93
Viego,Corki,595,311,52.27
Jarvan IV,Sivir,377,190,50.4
Ambessa,Yunara,105,42,40.0
Jax,Vayne,36,15,41.67
Gwen,Kaisa,192,88,45.83
Tryndamere,Yunara,11,1,9.09
Ambessa,Kaisa,117,66,56.41
Skarner,Lucian,119,51,42.86
Pantheon,Jhin,708,339,47.88
Trundle,Varus,269,174,64.68
Zyra,Tristana,66,39,59.09
Lee Sin,Varus,556,242,43.53
Gwen,Ezreal,179,96,53.63
Lee Sin,Brand,21,5,23.81
Volibear,Twitch,103,51,49.51
Jarvan IV,Kaisa,705,360,51.06
Poppy,Caitlyn,55,23,41.82
Udyr,Samira,43,21,48.84
Pantheon,Twitch,245,144,58.78
Jarvan IV,Smolder,340,143,42.06
Zed,Yunara,535,275,51.4
Ekko,Smolder,227,122,53.74
Xin Zhao,Yunara,468,205,43.8
Jax,Draven,27,15,55.56
Lee Sin,Lucian,919,444,48.31
Jarvan IV,Ezreal,686,382,55.69
Jarvan IV,Tristana,432,220,50.93
Hecarim,Mel,71,30,42.25
Reksai,Senna,55,26,47.27
Zed,Ziggs,127,61,48.03
Belveth,Ezreal,221,121,54.75
Ekko,Zyra,17,12,70.59
Master Yi,Vayne,73,39,53.42
Viego,Senna,638,345,54.08
Wukong,Yunara,379,212,55.94
Pantheon,Riven,24,5,20.83
Vi,Zyra,14,14,100.0
Mordekaiser,Xayah,15,3,20.0
Mordekaiser,Vayne,11,11,100.0
Pantheon,Aphelios,534,298,55.81
Hecarim,Draven,132,64,48.48
Xin Zhao,Corki,250,140,56.0
Jarvan IV,Mel,187,95,50.8
Vi,Lucian,459,251,54.68
Ambessa,Ezreal,54,31,57.41
Pantheon,Aurora,29,10,34.48
Talon,Kaisa,443,227,51.24
Nocturne,Yunara,276,143,51.81
Lee Sin,Mel,234,113,48.29
Pantheon,Lucian,940,482,51.28
Viego,Heimerdinger,26,6,23.08
Ekko,Sivir,266,137,51.5
Vi,Draven,147,82,55.78
Shyvana,Jhin,57,29,50.88
Belveth,Ashe,79,47,59.49
Viego,Xayah,361,147,40.72
Viego,Karthus,204,116,56.86
Belveth,Lux,56,25,44.64
Nocturne,Aphelios,185,84,45.41
Jarvan IV,Zeri,357,161,45.1
Viego,Miss Fortune,353,165,46.74
Kindred,Ezreal,334,193,57.78
Trundle,Twitch,120,66,55.0
Shaco,Ezreal,193,72,37.31
Ekko,Yunara,302,135,44.7
Diana,Kaisa,265,135,50.94
Wukong,Lucian,534,252,47.19
Elise,Draven,57,16,28.07
