champion1,champion2,games,wins,win_rate
Vi,Syndra,142,50,35.21
Wukong,Annie,238,127,53.36
Viego,Orianna,591,300,50.76
Jarvan IV,Galio,317,142,44.79
Ambessa,Taliyah,51,38,74.51
Jax,Azir,66,37,56.06
Gwen,Corki,103,50,48.54
Tryndamere,Annie,13,1,7.69
Ambessa,Renekton,10,10,100.0
Skarner,Viktor,51,16,31.37
Pantheon,Lux,200,84,42.0
Trundle,Ryze,232,128,55.17
Zyra,Riven,4,1,25.0
Lee Sin,Taliyah,373,219,58.71
Gwen,Caitlyn,17,13,76.47
Lee Sin,Viktor,351,162,46.15
Volibear,Riven,9,3,33.33
Jarvan IV,Twisted Fate,321,179,55.76
Poppy,Ambessa,8,1,12.5
Udyr,Riven,18,18,100.0
Pantheon,Annie,318,154,48.43
Jarvan IV,Orianna,598,307,51.34
Zed,Aurora,336,180,53.57
Ekko,Yone,540,242,44.81
Xin Zhao,Corki,62,31,50.0
Jax,Ziggs,8,8,100.0
Lee Sin,Sylas,676,376,55.62
Hecarim,Corki,56,6,10.71
Reksai,Sylas,92,37,40.22
Zed,Cassiopeia,80,31,38.75
Belveth,Ryze,124,73,58.87
Ekko,Riven,25,20,80.0
Master Yi,Morgana,13,3,23.08
Viego,Aurora,611,308,50.41
Wukong,Aurora,307,162,52.77
Vi,Lux,94,49,52.13
Mordekaiser,Morgana,10,0,0.0
Mordekaiser,Yasuo,26,18,69.23
Ambessa,Lux,19,9,47.37
Pantheon,Taliyah,992,555,55.95
Hecarim,Orianna,221,86,38.91
Xin Zhao,Azir,422,184,43.6
Jarvan IV,Sylas,632,363,57.44
Vi,Yone,145,51,35.17
Ambessa,Azir,50,33,66.0
Jarvan IV,Annie,237,109,45.99
Pantheon,Akali,368,166,45.11
Talon,Sylas,349,179,51.29
Nocturne,Orianna,558,293,52.51
Lee Sin,Ambessa,32,16,50.0
Pantheon,Sylas,728,381,52.34
Ekko,Yunara,36,13,36.11
Vi,Orianna,259,143,55.21
Shyvana,Sion,8,0,0.0
Belveth,Viktor,105,55,52.38
Belveth,Annie,70,45,64.29
Viego,Mel,311,148,47.59
Viego,Annie,435,263,60.46
Belveth,Yone,56,28,50.0
Nocturne,Aurora,224,114,50.89
Jarvan IV,Azir,447,267,59.73
Kindred,Viktor,167,90,53.89
Trundle,Yone,112,44,39.29
Shaco,Smolder,31,11,35.48
Pantheon,Diana,106,45,42.45
Ekko,Zoe,104,52,50.0
Diana,Kassadin,34,13,38.24
Wukong,Viktor,219,113,51.6
Elise,Neeko,10,7,70.0
Pantheon,Riven,21,14,66.67
Kindred,Orianna,86,43,50.0
Pantheon,Ryze,393,196,49.87
Pantheon,Aurora,533,236,44.28
Belveth,Diana,51,37,72.55
Trundle,Orianna,210,92,43.81
Sejuani,Naafiri,9,1,11.11
Shaco,Corki,75,35,46.67
Jarvan IV,Ryze,374,175,46.79
Viego,Gragas,103,57,55.34
Pantheon,Fizz,113,38,33.63
Viego,Riven,31,21,67.74
Zed,Azir,356,165,46.35
Xin Zhao,Vladimir,205,79,38.54
Ivern,Azir,150,75,50.0
Xin Zhao,Viktor,259,134,51.74
Talon,Xerath,75,34,45.33
Graves,Syndra,72,22,30.56
Wukong,Galio,96,38,39.58
Lee Sin,Lissandra,156,83,53.21
Pantheon,Ambessa,36,25,69.44
Jarvan IV,Ziggs,70,36,51.43
Qiyana,Orianna,89,49,55.06
Wukong,Zac,25,10,40.0
Vi,Taliyah,557,315,56.55
Elise,Chogath,8,8,100.0
Viego,Ryze,548,237,43.25
Xin Zhao,Yone,156,70,44.87
Zyra,Zed,70,35,50.0
Ekko,Viktor,142,49,34.51
Lee Sin,Twisted Fate,589,286,48.56
Lee Sin,Kayle,154,83,53.9
Udyr,Orianna,149,96,64.43
Volibear,Ahri,163,93,57.06
Kayn,Sylas,283,129,45.58
Ivern,Caitlyn,8,8,100.0
Dr. Mundo,Kayle,85,50,58.82
Viego,Nidalee,47,18,38.3
