champion1,champion2,champion3,games,wins,win_rate
Vi,Kaisa,Pantheon,21,6,28.57
Wukong,Vayne,Milio,5,5,100.0
Viego,Corki,Neeko,25,23,92.0
Jarvan IV,Sivir,Thresh,17,0,0.0
Ambessa,Yunara,Shen,9,0,0.0
Jax,Vayne,Neeko,9,9,100.0
Gwen,Kaisa,Rell,36,29,80.56
Tryndamere,Yunara,Poppy,10,0,0.0
Ambessa,Kaisa,Nautilus,29,24,82.76
Skarner,Lucian,Braum,30,11,36.67
Pantheon,Jhin,Bard,82,43,52.44
Trundle,Varus,Alistar,34,17,50.0
Zyra,Tristana,Nunu & Willump,1,1,100.0
Lee Sin,Varus,Nami,6,2,33.33
Gwen,Ezreal,Braum,2,1,50.0
Lee Sin,Brand,Rakan,1,0,0.0
Volibear,Twitch,Nunu & Willump,3,0,0.0
Jarvan IV,Kaisa,Trundle,3,3,100.0
Poppy,Caitlyn,Cassiopeia,2,0,0.0
Udyr,Samira,Seraphine,2,2,100.0
Pantheon,Twitch,Zilean,8,1,12.5
Jarvan IV,Smolder,Janna,29,19,65.52
Zed,Yunara,Leona,29,20,68.97
Ekko,Smolder,Alistar,15,1,6.67
Xin Zhao,Yunara,Sona,43,12,27.91
Jax,Draven,Zyra,7,7,100.0
Lee Sin,Lucian,Braum,112,42,37.5
Jarvan IV,Ezreal,Alistar,32,23,71.88
Jarvan IV,Tristana,Janna,29,22,75.86
Hecarim,Mel,Alistar,13,3,23.08
Reksai,Senna,Alistar,10,10,100.0
Zed,Ziggs,Bard,17,0,0.0
Belveth,Ezreal,Rakan,16,1,6.25
Ekko,Zyra,Poppy,5,5,100.0
Master Yi,Vayne,Camille,5,0,0.0
Viego,Senna,Karma,38,17,44.74
Wukong,Yunara,Alistar,40,30,75.0
Pantheon,Riven,Nami,9,0,0.0
Vi,Zyra,Bard,10,10,100.0
Mordekaiser,Xayah,Leona,10,0,0.0
Mordekaiser,Vayne,Rell,10,10,100.0
Ambessa,Yunara,Braum,17,0,0.0
Pantheon,Aphelios,Thresh,94,62,65.96
Hecarim,Draven,Bard,8,1,12.5
Xin Zhao,Corki,Bard,21,20,95.24
Jarvan IV,Mel,Rakan,21,8,38.1
Vi,Lucian,Rell,21,9,42.86
Ambessa,Ezreal,Braum,9,9,100.0
Jarvan IV,Smolder,Nautilus,21,15,71.43
Pantheon,Aurora,Senna,9,1,11.11
Talon,Kaisa,Alistar,54,19,35.19
Nocturne,Yunara,Rumble,6,6,100.0
Lee Sin,Mel,Alistar,21,11,52.38
Pantheon,Lucian,Yuumi,18,5,27.78
Viego,Heimerdinger,Rell,13,4,30.77
Ekko,Sivir,Gragas,9,9,100.0
Vi,Draven,Riven,8,8,100.0
Shyvana,Jhin,Neeko,16,8,50.0
Belveth,Ashe,Rell,13,4,30.77
Pantheon,Lucian,Nami,410,213,51.95
Belveth,Ezreal,Braum,19,11,57.89
Viego,Xayah,Nautilus,27,4,14.81
Viego,Karthus,Lulu,8,8,100.0
Belveth,Lux,Karma,9,1,11.11
Nocturne,Aphelios,Braum,13,9,69.23
Jarvan IV,Zeri,Elise,15,0,0.0
Viego,Miss Fortune,Bard,15,10,66.67
Kindred,Ezreal,Alistar,38,17,44.74
Trundle,Twitch,Nautilus,19,18,94.74
Shaco,Ezreal,Alistar,22,10,45.45
Ekko,Yunara,Nautilus,18,10,55.56
Diana,Kaisa,Pantheon,10,9,90.0
Wukong,Lucian,Camille,3,0,0.0
Elise,Draven,Janna,7,6,85.71
Pantheon,Corki,Lulu,9,2,22.22
Kindred,Yunara,Pyke,9,1,11.11
Pantheon,Twitch,Bard,19,13,68.42
Pantheon,Seraphine,Senna,22,9,40.91
Jarvan IV,Kaisa,Sona,23,11,47.83
Belveth,Lucian,Seraphine,9,8,88.89
Trundle,Miss Fortune,Rell,44,23,52.27
Viego,Yunara,Seraphine,25,10,40.0
Sejuani,Twitch,Lulu,6,0,0.0
Shaco,Twitch,Poppy,10,0,0.0
