champion1,champion2,games,wins,win_rate
Lee Sin,KhaZix,18,12,66.67
Galio,Nunu & Willump,1,1,100.0
Chogath,Diana,46,16,34.78
Orianna,Shaco,10,3,30.0
Heimerdinger,Nidalee,3,1,33.33
Volibear,Zeri,3,3,100.0
Azir,Naafiri,16,7,43.75
Lissandra,Vi,5,0,0.0
Sylas,Zyra,7,6,85.71
Poppy,Shaco,19,9,47.37
Akali,KhaZix,51,29,56.86
Nidalee,Gwen,3,1,33.33
Darius,Kayn,98,32,32.65
KSante,Belveth,61,23,37.7
Yorick,Fiddlesticks,35,16,45.71
Chogath,Wukong,85,44,51.76
Anivia,Volibear,10,6,60.0
LeBlanc,Jax,1,1,100.0
Chogath,Kindred,80,45,56.25
Shen,Zed,187,84,44.92
Aatrox,Graves,90,52,57.78
Yone,Evelynn,27,11,40.74
Gangplank,Xin Zhao,184,91,49.46
Anivia,Xin Zhao,21,4,19.05
KSante,Lillia,80,43,53.75
Kled,KhaZix,25,16,64.0
Aurora,Evelynn,7,2,28.57
Lee Sin,Ivern,10,3,30.0
Dr. Mundo,Wukong,83,39,46.99
Kayle,KhaZix,47,30,63.83
Chogath,Ivern,15,11,73.33
Sylas,Xin Zhao,35,24,68.57
Teemo,Nidalee,35,18,51.43
Jax,Dr. Mundo,183,79,43.17
Jax,Ivern,164,99,60.37
Urgot,Diana,68,35,51.47
Rumble,Wukong,144,90,62.5
Gangplank,Zyra,30,19,63.33
Vladimir,Hecarim,99,53,53.54
Gwen,Kindred,140,99,70.71
Jax,Zac,138,84,60.87
Vladimir,Belveth,47,25,53.19
Gnar,Ambessa,4,2,50.0
Yorick,Nocturne,90,60,66.67
Dr. Mundo,KhaZix,100,58,58.0
Yorick,Diana,40,12,30.0
Zilean,Xin Zhao,13,5,38.46
Kindred,Trundle,7,5,71.43
Azir,Viego,79,31,39.24
Urgot,Belveth,50,32,64.0
Camille,Shaco,65,35,53.85
Fiora,Nidalee,120,48,40.0
Rumble,Jax,50,18,36.0
Singed,Jarvan IV,198,92,46.46
Fiora,Lee Sin,328,166,50.61
Jax,Belveth,130,71,54.62
Urgot,Volibear,106,64,60.38
Renekton,Qiyana,94,50,53.19
Renekton,Graves,74,28,37.84
Darius,Belveth,43,20,46.51
Nocturne,Belveth,2,1,50.0
Riven,Qiyana,110,67,60.91
Tahm Kench,Qiyana,6,4,66.67
Warwick,Pantheon,87,47,54.02
Gangplank,Graves,54,22,40.74
Riven,Rammus,75,36,48.0
Mordekaiser,Ivern,47,21,44.68
Wukong,Belveth,17,12,70.59
Viego,Skarner,4,1,25.0
Rengar,Belveth,6,3,50.0
Fiora,Ekko,197,121,61.42
Teemo,Wukong,135,67,49.63
Darius,Hecarim,95,55,57.89
Jax,Graves,94,46,48.94
Akali,Qiyana,32,12,37.5
Sett,Belveth,40,19,47.5
Quinn,KhaZix,46,13,28.26
Volibear,Pantheon,101,38,37.62
Sion,Qiyana,51,28,54.9
Aatrox,Gwen,106,51,48.11
Aurora,Rengar,65,31,47.69
Fiora,Gwen,59,32,54.24
KSante,Qiyana,60,45,75.0
Viego,Pantheon,12,1,8.33
Teemo,Belveth,47,23,48.94
Rengar,Qiyana,9,6,66.67
Gangplank,Belveth,53,19,35.85
Ahri,Qiyana,5,5,100.0
Teemo,Jax,23,7,30.43
Yasuo,Belveth,56,29,51.79
Sion,Kindred,133,90,67.67
Ryze,Belveth,34,25,73.53
Ornn,Belveth,70,39,55.71
Irelia,Belveth,41,25,60.98
Ahri,Hecarim,8,4,50.0
Gnar,Qiyana,17,14,82.35
