champion1,champion2,champion3,games,wins,win_rate
Vi,Rumble,Syndra,23,3,13.04
Wukong,Ornn,Annie,5,5,100.0
Viego,Riven,Orianna,32,26,81.25
Jarvan IV,Aurora,Galio,9,0,0.0
Ambessa,Gwen,Taliyah,13,4,30.77
Jax,Kayle,Azir,9,9,100.0
Gwen,Malphite,Corki,10,10,100.0
Tryndamere,Aatrox,Annie,10,0,0.0
Ambessa,Rumble,Renekton,10,10,100.0
Skarner,Yasuo,Viktor,10,0,0.0
Pantheon,Ambessa,Lux,14,0,0.0
Trundle,Tryndamere,Ryze,10,10,100.0
Zyra,Fiora,Riven,1,1,100.0
Lee Sin,Chogath,Taliyah,2,0,0.0
Gwen,Riven,Caitlyn,5,5,100.0
Lee Sin,Jayce,Viktor,20,13,65.0
Volibear,Gangplank,Riven,3,0,0.0
Jarvan IV,Pantheon,Twisted Fate,8,3,37.5
Poppy,Gragas,Ambessa,2,0,0.0
Udyr,Jax,Riven,2,2,100.0
Pantheon,Vayne,Annie,5,0,0.0
Jarvan IV,Ambessa,Orianna,48,27,56.25
Zed,Rumble,Aurora,17,9,52.94
Ekko,Nidalee,Yone,8,0,0.0
Xin Zhao,Rumble,Corki,11,0,0.0
Jax,Riven,Ziggs,7,7,100.0
Lee Sin,Gwen,Sylas,42,14,33.33
Jarvan IV,Jayce,Galio,26,20,76.92
Jarvan IV,Ambessa,Galio,17,14,82.35
Hecarim,Riven,Corki,10,0,0.0
Reksai,Ambessa,Sylas,20,15,75.0
Zed,Nidalee,Cassiopeia,8,0,0.0
Belveth,Jayce,Ryze,13,5,38.46
Ekko,Ambessa,Riven,6,6,100.0
Master Yi,Gwen,Morgana,5,0,0.0
Viego,Riven,Aurora,27,16,59.26
Wukong,Volibear,Aurora,19,19,100.0
Pantheon,Jax,Lux,15,3,20.0
Vi,Vayne,Lux,10,10,100.0
Mordekaiser,Camille,Morgana,10,0,0.0
Mordekaiser,Riven,Yasuo,10,10,100.0
Ambessa,Sion,Lux,16,6,37.5
Pantheon,Nidalee,Taliyah,13,12,92.31
Hecarim,Neeko,Orianna,7,0,0.0
Xin Zhao,Volibear,Azir,10,10,100.0
Jarvan IV,Riven,Sylas,22,12,54.55
Vi,Rumble,Yone,11,0,0.0
Ambessa,Riven,Azir,9,9,100.0
Jarvan IV,Riven,Annie,8,8,100.0
Pantheon,Vayne,Akali,9,1,11.11
Talon,Nidalee,Sylas,6,0,0.0
Nocturne,Renekton,Orianna,21,15,71.43
Lee Sin,Jax,Ambessa,7,7,100.0
Pantheon,Riven,Sylas,37,29,78.38
Viego,Jax,Aurora,44,20,45.45
Ekko,Nidalee,Yunara,9,9,100.0
Vi,Aurora,Orianna,16,15,93.75
Shyvana,Teemo,Sion,8,0,0.0
Belveth,Gwen,Viktor,9,0,0.0
Pantheon,Akali,Annie,12,9,75.0
