blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Lulu,Nautilus,Senna,Jinx,12.1,Danny,Stixxay,,,,
Rakan,Gwen,Gragas,Leona,12.1,Vulcan,Chime,,,,
,,,,,,,Evil Geniuses,Golden Guardians,blue_side,red_side
Renekton,Caitlyn,Camille,Gwen,12.1,Tony Top,Impact,,,,
Olaf,Corki,Diana,Xin Zhao,12.1,Iconic,Inspired,,,,
Twisted Fate,Thresh,Galio,Lucian,12.1,Ryoma,jojopyun,,,,
LeBlanc,Jayce,Ezreal,Jinx,12.1,Stixxay,Danny,,,,
Tryndamere,Yasuo,Karma,Lulu,12.1,Chime,Vulcan,,,,
,,,,,,,Golden Guardians,Evil Geniuses,red_side,blue_side
Renekton,Twisted Fate,Akali,Sion,12.1,Bradley,Kumo,,,,
LeBlanc,Caitlyn,Xin Zhao,Lee Sin,12.1,Santorin,Josedeodo,,,,
Ziggs,Diana,Corki,Orianna,12.1,Bjergsen,Toucouille,,,,
Leona,Aphelios,Kalista,Jinx,12.1,Hans Sama,Johnsun,,,,
Gwen,Varus,Thresh,Rakan,12.1,CoreJJ,Aphromoo,,,,
,,,,,,,Team Liquid,FlyQuest,blue_side,red_side
Twisted Fate,Renekton,Gwen,Graves,12.1,Kumo,Bwipo,,,,
Caitlyn,Corki,Diana,Xin Zhao,12.1,Josedeodo,Santorin,,,,
Thresh,Jarvan IV,Yasuo,LeBlanc,12.1,Toucouille,Bjergsen,,,,
Jayce,Nautilus,Jhin,Jinx,12.1,Johnsun,Hans Sama,,,,
Akali,Leona,Bard,Rakan,12.1,Aphromoo,Eyla,,,,
,,,,,,,FlyQuest,Team Liquid,red_side,blue_side
Xin Zhao,Diana,Gwen,Gragas,12.1,ssumday,FakeGod,,,,
LeBlanc,Twisted Fate,Viego,Jarvan IV,12.1,Closer,River,,,,
Akali,Corki,Orianna,Viktor,12.1,Abbedagge,Blue,,,,
Jayce,Lux,Caitlyn,Ezreal,12.1,FBI,Neo,,,,
Kennen,Thresh,Lulu,Karma,12.1,Huhi,Biofrost,,,,
,,,,,,,100 Thieves,Dignitas,red_side,blue_side
Diana,Xin Zhao,Renekton,Gnar,12.1,FakeGod,ssumday,,,,
Gwen,Corki,Jarvan IV,Viego,12.1,River,Closer,,,,
Twisted Fate,LeBlanc,Zoe,Syndra,12.1,Blue,Abbedagge,,,,
Viktor,Orianna,Aphelios,Caitlyn,12.1,Neo,FBI,,,,
Jayce,Gragas,Thresh,Karma,12.1,Biofrost,Huhi,,,,
,,,,,,,Dignitas,100 Thieves,blue_side,red_side
Karma,Twisted Fate,Renekton,Gwen,12.1,Impact,FakeGod,,,,
Thresh,Caitlyn,Diana,Lee Sin,12.1,Inspired,River,,,,
Xin Zhao,Corki,Tryndamere,LeBlanc,12.1,jojopyun,Blue,,,,
Lulu,Yasuo,Senna,Jinx,12.1,Danny,Neo,,,,
Gragas,Nautilus,Leona,Rakan,12.1,Vulcan,Biofrost,,,,
,,,,,,,Evil Geniuses,Dignitas,blue_side,red_side
Lee Sin,Caitlyn,Gwen,Graves,12.1,Tony Top,V1PER,,,,
Diana,Lulu,Xin Zhao,Viego,12.1,Iconic,Hyper,,,,
Tryndamere,Karma,Corki,Viktor,12.1,Ryoma,Takeover,,,,
Akali,Yuumi,Jinx,Aphelios,12.1,Stixxay,Instinct,,,,
Jayce,Rell,Thresh,Leona,12.1,Chime,Yursan,,,,
,,,,,,,Golden Guardians,TSM,blue_side,red_side
LeBlanc,Viktor,Akali,Rengar,12.1,Revenge,Bwipo,,,,
Lulu,Corki,Hecarim,Xin Zhao,12.1,Xerxe,Santorin,,,,
Twisted Fate,Diana,Orianna,Zilean,12.1,PowerOfEvil,Bjergsen,,,,
Renekton,Jarvan IV,Jinx,Caitlyn,12.1,WildTurtle,Yeon,,,,
Gangplank,Viego,Thresh,Lux,12.1,Destiny,CoreJJ,,,,
,,,,,,,Immortals,Team Liquid,red_side,blue_side
Xin Zhao,Caitlyn,Gwen,Graves,12.1,ssumday,Darshan,,,,
Diana,Twisted Fate,Jarvan IV,Lee Sin,12.1,Closer,Blaber,,,,
Akali,Karma,Corki,Viktor,12.1,Abbedagge,Fudge,,,,
Jayce,Jinx,Aphelios,Jhin,12.1,FBI,Zven,,,,
Tryndamere,Thresh,Leona,Rakan,12.1,Huhi,Isles,,,,
,,,,,,,100 Thieves,Cloud9,blue_side,red_side
LeBlanc,Akali,Gragas,Gwen,12.1,FakeGod,Jenkins,,,,
Lee Sin,Jarvan IV,Viego,Xin Zhao,12.1,River,Contractz,,,,
Diana,Caitlyn,Corki,Twisted Fate,12.1,Blue,Palafox,,,,
Lulu,Olaf,Aphelios,Jinx,12.1,Neo,Luger,,,,
Camille,Renekton,Thresh,Rakan,12.1,Biofrost,Poome,,,,
,,,,,,,Dignitas,CLG,red_side,blue_side
LeBlanc,Diana,Camille,Gragas,12.1,Tony Top,Kumo,,,,
Lee Sin,Twisted Fate,Trundle,Xin Zhao,12.1,Iconic,Josedeodo,,,,
Corki,Caitlyn,Zoe,Syndra,12.1,Ryoma,Toucouille,,,,
Thresh,Jarvan IV,Ezreal,Jinx,12.1,Stixxay,Johnsun,,,,
Gwen,Renekton,Karma,Bard,12.1,Chime,Aphromoo,,,,
,,,,,,,Golden Guardians,FlyQuest,red_side,blue_side
Karma,Renekton,Graves,Sion,12.1,Impact,Revenge,,,,
Thresh,Xin Zhao,Lee Sin,Jarvan IV,12.1,Inspired,Xerxe,,,,
Corki,Caitlyn,Twisted Fate,Viktor,12.1,jojopyun,PowerOfEvil,,,,
Jayce,Lulu,Jinx,Aphelios,12.1,Danny,WildTurtle,,,,
Leona,Nautilus,Bard,Rakan,12.1,Vulcan,Destiny,,,,
,,,,,,,Evil Geniuses,Immortals,blue_side,red_side
Lulu,Twisted Fate,Tryndamere,Gragas,12.1,V1PER,Darshan,,,,
Karma,Lee Sin,Viego,Xin Zhao,12.1,Hyper,Blaber,,,,
Caitlyn,Thresh,Akali,Viktor,12.1,Takeover,Fudge,,,,
Yuumi,Corki,Aphelios,Jhin,12.1,Instinct,Zven,,,,
Nautilus,LeBlanc,Rell,Leona,12.1,Yursan,Isles,,,,
,,,,,,,TSM,Cloud9,red_side,blue_side
Akali,Twisted Fate,Graves,Gwen,12.1,Bwipo,Jenkins,,,,
Lulu,Caitlyn,Viego,Hecarim,12.1,Santorin,Contractz,,,,
Lee Sin,Xin Zhao,Corki,Viktor,12.1,Bjergsen,Palafox,,,,
Olaf,Urgot,Jinx,Ezreal,12.1,Hans Sama,Luger,,,,
Talon,Dr. Mundo,Thresh,Yuumi,12.1,Eyla,Poome,,,,
,,,,,,,Team Liquid,CLG,blue_side,red_side
Diana,Lee Sin,Gwen,Kennen,12.1,Kumo,Tenacity,,,,
Caitlyn,Thresh,Xin Zhao,Viego,12.1,Josedeodo,Closer,,,,
Twisted Fate,Jarvan IV,Corki,Syndra,12.1,Toucouille,Abbedagge,,,,
Akshan,Lulu,Jinx,Aphelios,12.1,Johnsun,FBI,,,,
Viktor,Braum,Leona,Nautilus,12.1,Aphromoo,Huhi,,,,
,,,,,,,FlyQuest,100 Thieves,blue_side,red_side
Viego,Caitlyn,Camille,Gwen,12.1,Jenkins,Impact,,,,
Renekton,Twisted Fate,Lee Sin,Jarvan IV,12.1,Contractz,Inspired,,,,
Xin Zhao,Thresh,Akali,Viktor,12.1,Palafox,jojopyun,,,,
Sett,Gangplank,KogMaw,Jinx,12.1,Luger,Danny,,,,
Shen,LeBlanc,Lulu,Nautilus,12.1,Poome,Vulcan,,,,
,,,,,,,CLG,Evil Geniuses,red_side,blue_side
Renekton,Hecarim,Jayce,Malphite,12.1,Revenge,FakeGod,,,,
LeBlanc,Orianna,Viego,Lee Sin,12.1,Xerxe,eXyu,,,,
Thresh,Xin Zhao,Twisted Fate,Zoe,12.1,PowerOfEvil,Blue,,,,
Sylas,Karma,Jhin,Caitlyn,12.1,WildTurtle,Neo,,,,
Viktor,Nautilus,Leona,Lux,12.1,Destiny,Biofrost,,,,
,,,,,,,Immortals,Dignitas,red_side,blue_side
Renekton,Caitlyn,Sion,Gnar,12.1,Bwipo,Impact,,,,
Senna,Twisted Fate,Trundle,Xin Zhao,12.1,Santorin,Inspired,,,,
Viego,Orianna,Viktor,Corki,12.1,Bjergsen,jojopyun,,,,
LeBlanc,Syndra,Aphelios,Jinx,12.1,Yeon,Danny,,,,
Gwen,Gangplank,Thresh,Rakan,12.1,CoreJJ,Vulcan,,,,
,,,,,,,Team Liquid,Evil Geniuses,red_side,blue_side
Hecarim,Diana,Gangplank,Gwen,12.1,Jenkins,Revenge,,,,
Jarvan IV,Twisted Fate,Lee Sin,Viego,12.1,Contractz,Xerxe,,,,
Xin Zhao,Caitlyn,Vex,Azir,12.1,Palafox,PowerOfEvil,,,,
Renekton,LeBlanc,Jinx,Jhin,12.1,Luger,WildTurtle,,,,
Viktor,Akali,Lulu,Yuumi,12.1,Poome,Destiny,,,,
,,,,,,,CLG,Immortals,blue_side,red_side
Twisted Fate,Renekton,Gragas,Gwen,12.1,FakeGod,Bwipo,,,,
LeBlanc,Diana,Xin Zhao,Trundle,12.1,eXyu,Santorin,,,,
Karma,Caitlyn,Syndra,Orianna,12.1,Blue,Bjergsen,,,,
Viktor,Corki,Aphelios,Jinx,12.1,Neo,Hans Sama,,,,
Gangplank,Akali,Lulu,Thresh,12.1,Biofrost,Eyla,,,,
,,,,,,,Dignitas,Team Liquid,red_side,blue_side
Twisted Fate,Lulu,Akshan,Ornn,12.1,Darshan,Kumo,,,,
Syndra,Diana,Lee Sin,Viego,12.1,Blaber,Josedeodo,,,,
Jinx,Caitlyn,Jayce,Corki,12.1,Fudge,Toucouille,,,,
Malphite,Viktor,Ziggs,Aphelios,12.1,Zven,Johnsun,,,,
Thresh,Irelia,Nautilus,Rakan,12.1,Isles,Aphromoo,,,,
,,,,,,,Cloud9,FlyQuest,blue_side,red_side
Twisted Fate,Xin Zhao,Gnar,Renekton,12.1,ssumday,Tony Top,,,,
Camille,Gwen,Jarvan IV,Viego,12.1,Closer,Iconic,,,,
Karma,Lee Sin,Syndra,Vex,12.1,Abbedagge,Ryoma,,,,
LeBlanc,Corki,Caitlyn,Jinx,12.1,FBI,Stixxay,,,,
Jax,Viktor,Lux,Thresh,12.1,Huhi,Chime,,,,
,,,,,,,100 Thieves,Golden Guardians,blue_side,red_side
Diana,Caitlyn,Gragas,Corki,12.1,Kumo,V1PER,,,,
Twisted Fate,Lulu,Xin Zhao,Lee Sin,12.1,Josedeodo,Hyper,,,,
Nautilus,Karma,Syndra,LeBlanc,12.1,Toucouille,Takeover,,,,
Viktor,Vex,Jinx,Aphelios,12.1,Johnsun,Instinct,,,,
Vayne,Renekton,Thresh,Leona,12.1,Aphromoo,Yursan,,,,
,,,,,,,FlyQuest,TSM,red_side,blue_side
Thresh,Karma,Sion,Camille,12.1,Darshan,Tony Top,,,,
Twisted Fate,Lee Sin,Jarvan IV,Xin Zhao,12.1,Blaber,Iconic,,,,
Caitlyn,Olaf,Viktor,Corki,12.1,Fudge,Ryoma,,,,
Syndra,LeBlanc,Jinx,Aphelios,12.1,Zven,Stixxay,,,,
Gwen,Vex,Lulu,Nautilus,12.1,Isles,Chime,,,,
,,,,,,,Cloud9,Golden Guardians,blue_side,red_side
Lulu,Twisted Fate,Vayne,Renekton,12.1,V1PER,ssumday,,,,
Karma,Lee Sin,Xin Zhao,Viego,12.1,Hyper,Closer,,,,
Caitlyn,Jarvan IV,LeBlanc,Corki,12.1,Takeover,Abbedagge,,,,
Syndra,Kennen,Aphelios,Jinx,12.1,Instinct,FBI,,,,
Vex,Jayce,Nautilus,Thresh,12.1,Yursan,Huhi,,,,
,,,,,,,TSM,100 Thieves,red_side,blue_side
