blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Fiora,Nidalee,Gwen,Akali,12.14,Zika,fearness,,,,
Kalista,Jax,Xin Zhao,Vi,12.14,XUN,Kui,,,,
Zeri,Wukong,Sylas,Ahri,12.14,Mole,Haichao,,,,
Braum,Vex,Draven,Aphelios,12.14,Ahn,Assum,,,,
Alistar,Taliyah,Nautilus,Leona,12.14,Wink,jinjiao,,,,
,,,,,,,Invictus Gaming,LGD Gaming,blue_side,red_side
Lucian,Sylas,Sejuani,Ornn,12.14,Hoya,Zoom,,,,
Sivir,Azir,Poppy,Trundle,12.14,Beichuan,H4cker,,,,
Zeri,Kalista,Taliyah,Lissandra,12.14,Ucal,Cryin,,,,
Kennen,Gwen,Jinx,Aphelios,12.14,Kepler,Elk,,,,
Yuumi,Lulu,Nautilus,Renata Glasc,12.14,yaoyao,Miaoniu,,,,
,,,,,,,TT,Ultra Prime,blue_side,red_side
Lucian,Azir,Sejuani,Mordekaiser,12.14,Hoya,Zoom,,,,
Sivir,Poppy,Vi,Wukong,12.14,Beichuan,H4cker,,,,
Zeri,Kalista,Taliyah,Lissandra,12.14,Ucal,Cryin,,,,
Kennen,Gwen,Jinx,Aphelios,12.14,Kepler,Elk,,,,
Lulu,Tahm Kench,Leona,Renata Glasc,12.14,yaoyao,Miaoniu,,,,
,,,,,,,TT,Ultra Prime,blue_side,red_side
Lucian,Sylas,Gwen,Kennen,12.14,Demon,Summit,,,,
Yuumi,Zeri,Trundle,Poppy,12.14,View,Clid,,,,
Taliyah,Kalista,Ryze,Ahri,12.14,Shanks,Care,,,,
Ashe,LeBlanc,Aphelios,Sivir,12.14,Xing,Lwx,,,,
Gnar,Azir,Lulu,Pyke,12.14,Kedaya,Hang,,,,
,,,,,,,Team WE,Funplus Phoenix,red_side,blue_side
Sylas,Lucian,Gnar,Jax,12.14,Summit,Demon,,,,
Aphelios,Kalista,Wukong,Vi,12.14,Clid,View,,,,
LeBlanc,Ahri,Swain,Lissandra,12.14,Care,Shanks,,,,
Fiora,Zoe,Zeri,Sivir,12.14,Lwx,Xing,,,,
Azir,Galio,Lulu,Yuumi,12.14,Hang,Kedaya,,,,
,,,,,,,Funplus Phoenix,Team WE,blue_side,red_side
Poppy,Nidalee,Jax,Sejuani,12.14,Zika,shanji,,,,
Sylas,Kalista,Wukong,Xin Zhao,12.14,XUN,AKi,,,,
Zeri,Draven,Ahri,Akali,12.14,Mole,Creme,,,,
LeBlanc,Aphelios,Samira,Sivir,12.14,Ahn,Able,,,,
Vex,Alistar,Nautilus,Yuumi,12.14,Wink,cold,,,,
,,,,,,,Invictus Gaming,OMG,blue_side,red_side
Nidalee,Poppy,Rumble,Jax,12.14,shanji,Zika,,,,
