blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Jinx,Caitlyn,Gnar,Akshan,12.4,Odoamne,Brokenblade,,,,
Jayce,Ryze,Hecarim,Xin Zhao,12.4,Malrang,Jankos,,,,
Aphelios,Yuumi,Viktor,Twisted Fate,12.4,Larssen,Caps,,,,
Gwen,Renata Glasc,Zeri,Tristana,12.4,Comp,Flakked,,,,
Tryndamere,Rakan,Galio,Alistar,12.4,Trymbi,Targamas,,,,
,,,,,,,Rogue,G2 Esports,blue_side,red_side
Gwen,Zeri,Aatrox,Darius,12.4,Armut,Adam,,,,
Hecarim,Ryze,Viego,Diana,12.4,Elyoya,Cinkrof,,,,
Orianna,Xin Zhao,Twisted Fate,Yasuo,12.4,RKR,nuc,,,,
Olaf,Poppy,Aphelios,Jinx,12.4,UNF0RGIVEN,xmatty,,,,
Thresh,Alistar,Nautilus,Braum,12.4,Kaiser,Limit,,,,
,,,,,,,MAD Lions,Team BDS,blue_side,red_side
Hecarim,Ryze,Jayce,Camille,12.4,Wunder,Finn,,,,
Jarvan IV,Twisted Fate,Viego,Xin Zhao,12.4,Razork,Markoon,,,,
Aphelios,Thresh,LeBlanc,Lissandra,12.4,Humanoid,Nukeduck,,,,
Malzahar,Leona,Zeri,Jinx,12.4,Upset,Patrik,,,,
Irelia,Rakan,Renata Glasc,Nautilus,12.4,Hylissang,Mikyx,,,,
,,,,,,,Fnatic,Excel Esports,blue_side,red_side
Trundle,Thresh,Gnar,Graves,12.4,Alphari,Whiteknight,,,,
Leona,Jayce,Xin Zhao,Jarvan IV,12.4,Selfmade,Zanzarah,,,,
Hecarim,Zeri,Ryze,Vex,12.4,Perkz,Dajor,,,,
Galio,Gangplank,Jinx,Aphelios,12.4,Carzzy,Kobbe,,,,
Rakan,Camille,Tahm Kench,Alistar,12.4,Labrov,Promisq,,,,
,,,,,,,Team Vitality,Astralis,blue_side,red_side
Lee Sin,Zeri,Tryndamere,Gnar,12.4,JNX,HiRit,,,,
Jayce,Hecarim,Jarvan IV,Xin Zhao,12.4,Gilius,Shlatan,,,,
Aphelios,Jinx,Ryze,LeBlanc,12.4,Sertuss,Vetheo,,,,
Akali,Volibear,Kalista,Jhin,12.4,Jezu,Neon,,,,
Irelia,Gwen,Nautilus,Alistar,12.4,Treatz,Mersa,,,,
,,,,,,,SK Gaming,Misfits Gaming,blue_side,red_side
Ryze,Zeri,Gangplank,Tryndamere,12.4,Alphari,Brokenblade,,,,
Twisted Fate,Jayce,Hecarim,Xin Zhao,12.4,Selfmade,Jankos,,,,
Jhin,Jinx,Syndra,Corki,12.4,Perkz,Caps,,,,
Graves,Zilean,Caitlyn,Ezreal,12.4,Carzzy,Flakked,,,,
Akshan,Orianna,Tahm Kench,Karma,12.4,Labrov,Targamas,,,,
,,,,,,,Team Vitality,G2 Esports,red_side,blue_side
Jinx,Zeri,Gnar,Gwen,12.4,Odoamne,Adam,,,,
Jayce,Xin Zhao,Poppy,Jarvan IV,12.4,Malrang,Cinkrof,,,,
Hecarim,Thresh,Ryze,LeBlanc,12.4,Larssen,nuc,,,,
Nautilus,Volibear,Caitlyn,Aphelios,12.4,Comp,xmatty,,,,
Blitzcrank,Lee Sin,Lux,Leona,12.4,Trymbi,Limit,,,,
,,,,,,,Rogue,Team BDS,blue_side,red_side
Twisted Fate,Zeri,Camille,Jayce,12.4,HiRit,Wunder,,,,
Ryze,Jarvan IV,Lee Sin,Hecarim,12.4,Shlatan,Razork,,,,
Caitlyn,Xin Zhao,Viktor,Akali,12.4,Vetheo,Humanoid,,,,
Orianna,Irelia,Jinx,Aphelios,12.4,Neon,Upset,,,,
LeBlanc,Volibear,Tahm Kench,Thresh,12.4,Mersa,Hylissang,,,,
,,,,,,,Misfits Gaming,Fnatic,blue_side,red_side
Jayce,Zeri,Lee Sin,Gnar,12.4,Whiteknight,Armut,,,,
Thresh,Trundle,Hecarim,Xin Zhao,12.4,Zanzarah,Elyoya,,,,
Diana,Jarvan IV,Ryze,Twisted Fate,12.4,Dajor,RKR,,,,
Aatrox,Graves,Aphelios,Jinx,12.4,Kobbe,UNF0RGIVEN,,,,
Gwen,Tryndamere,Leona,Alistar,12.4,Promisq,Kaiser,,,,
,,,,,,,Astralis,MAD Lions,red_side,blue_side
Leona,Xin Zhao,Gnar,Graves,12.4,Finn,JNX,,,,
Gwen,Zeri,Viego,Lee Sin,12.4,Markoon,Gilius,,,,
Hecarim,Jayce,Ryze,Orianna,12.4,Nukeduck,Sertuss,,,,
Rakan,Yuumi,Jinx,Aphelios,12.4,Patrik,Jezu,,,,
Irelia,Nautilus,Thresh,Renata Glasc,12.4,Mikyx,Treatz,,,,
,,,,,,,Excel Esports,SK Gaming,blue_side,red_side
Thresh,Zeri,Aatrox,Graves,12.4,Adam,Wunder,,,,
Twisted Fate,Jarvan IV,Xin Zhao,Hecarim,12.4,Cinkrof,Razork,,,,
Jayce,Jinx,Ahri,Ryze,12.4,nuc,Humanoid,,,,
Pyke,Tryndamere,Aphelios,Caitlyn,12.4,xmatty,Upset,,,,
Rakan,Irelia,Tahm Kench,Renata Glasc,12.4,Limit,Hylissang,,,,
,,,,,,,Team BDS,Fnatic,red_side,blue_side
Gwen,Zeri,Renekton,Gnar,12.4,Alphari,Armut,,,,
LeBlanc,Hecarim,Diana,Poppy,12.4,Selfmade,Elyoya,,,,
Viktor,Camille,Yasuo,Twisted Fate,12.4,Perkz,RKR,,,,
Tahm Kench,Rakan,Xayah,Jinx,12.4,Carzzy,UNF0RGIVEN,,,,
Xin Zhao,Ezreal,Nautilus,Alistar,12.4,Labrov,Kaiser,,,,
,,,,,,,Team Vitality,MAD Lions,red_side,blue_side
Caitlyn,Jinx,Akshan,Gwen,12.4,Brokenblade,Finn,,,,
Aphelios,Zeri,Diana,Jarvan IV,12.4,Jankos,Markoon,,,,
Hecarim,Xin Zhao,Azir,Ryze,12.4,Caps,Nukeduck,,,,
Ezreal,Tryndamere,Jhin,Varus,12.4,Flakked,Patrik,,,,
Rakan,Jayce,Tahm Kench,Yuumi,12.4,Targamas,Mikyx,,,,
,,,,,,,G2 Esports,Excel Esports,blue_side,red_side
Jayce,Twisted Fate,Graves,Gnar,12.4,Whiteknight,HiRit,,,,
Thresh,Zeri,Trundle,Hecarim,12.4,Zanzarah,Shlatan,,,,
Lee Sin,Jarvan IV,Vex,Syndra,12.4,Dajor,Vetheo,,,,
Akali,Sylas,Jinx,Aphelios,12.4,Kobbe,Neon,,,,
LeBlanc,Ryze,Leona,Rakan,12.4,Promisq,Mersa,,,,
,,,,,,,Astralis,Misfits Gaming,red_side,blue_side
Viktor,Hecarim,Gwen,Graves,12.4,JNX,Odoamne,,,,
Twisted Fate,Zeri,Lee Sin,Xin Zhao,12.4,Gilius,Malrang,,,,
Caitlyn,Jayce,Ryze,Orianna,12.4,Sertuss,Larssen,,,,
Gnar,Jarvan IV,Jinx,Aphelios,12.4,Jezu,Comp,,,,
Tahm Kench,Volibear,Leona,Rakan,12.4,Treatz,Trymbi,,,,
,,,,,,,SK Gaming,Rogue,blue_side,red_side
Diana,Twisted Fate,Gwen,Aatrox,12.4,Wunder,Armut,,,,
Jayce,Zeri,Viego,Hecarim,12.4,Razork,Elyoya,,,,
Jarvan IV,Thresh,Viktor,Ryze,12.4,Humanoid,RKR,,,,
Nautilus,Tahm Kench,Jinx,Aphelios,12.4,Upset,UNF0RGIVEN,,,,
Gnar,Camille,Pyke,Rakan,12.4,Hylissang,Kaiser,,,,
,,,,,,,Fnatic,MAD Lions,blue_side,red_side
Aphelios,Ryze,Akshan,Sion,12.4,Brokenblade,Adam,,,,
Zeri,Twisted Fate,Xin Zhao,Hecarim,12.4,Jankos,Cinkrof,,,,
Jayce,Ahri,Sylas,KogMaw,12.4,Caps,nuc,,,,
Orianna,LeBlanc,Jinx,Varus,12.4,Flakked,xmatty,,,,
Tryndamere,Zoe,Tahm Kench,Zilean,12.4,Targamas,Limit,,,,
,,,,,,,G2 Esports,Team BDS,blue_side,red_side
Hecarim,Zeri,Gwen,Graves,12.4,Finn,Odoamne,,,,
Jayce,Lulu,Lee Sin,Viego,12.4,Markoon,Malrang,,,,
Caitlyn,Xin Zhao,Corki,Viktor,12.4,Nukeduck,Larssen,,,,
Blitzcrank,Orianna,Jinx,Aphelios,12.4,Patrik,Comp,,,,
Gnar,Jarvan IV,Tahm Kench,Rakan,12.4,Mikyx,Trymbi,,,,
,,,,,,,Excel Esports,Rogue,red_side,blue_side
Jarvan IV,Zeri,Gnar,Graves,12.4,JNX,Whiteknight,,,,
Jayce,Thresh,Volibear,Trundle,12.4,Gilius,Zanzarah,,,,
Ryze,Hecarim,LeBlanc,Twisted Fate,12.4,Sertuss,Dajor,,,,
Gwen,Orianna,Jinx,Aphelios,12.4,Jezu,Kobbe,,,,
Corki,Viktor,Tahm Kench,Leona,12.4,Treatz,Promisq,,,,
,,,,,,,SK Gaming,Astralis,red_side,blue_side
Ryze,Zeri,Aatrox,Gnar,12.4,HiRit,Alphari,,,,
Hecarim,Graves,Lee Sin,Xin Zhao,12.4,Shlatan,Selfmade,,,,
Diana,Gwen,Syndra,Twisted Fate,12.4,Vetheo,Perkz,,,,
Gangplank,Jayce,Jinx,Aphelios,12.4,Neon,Carzzy,,,,
Camille,Akali,Thresh,Tahm Kench,12.4,Mersa,Labrov,,,,
,,,,,,,Misfits Gaming,Team Vitality,red_side,blue_side
Lee Sin,Twisted Fate,Tryndamere,Gwen,12.4,Brokenblade,HiRit,,,,
Jayce,Ryze,Viego,Xin Zhao,12.4,Jankos,Shlatan,,,,
Aphelios,Hecarim,Ahri,Akali,12.4,Caps,Vetheo,,,,
Viktor,Nautilus,Jinx,Zeri,12.4,Flakked,Neon,,,,
Sylas,Graves,Pyke,Yuumi,12.4,Targamas,Mersa,,,,
,,,,,,,G2 Esports,Misfits Gaming,red_side,blue_side
Jarvan IV,Zeri,Jayce,Graves,12.4,Wunder,Odoamne,,,,
Hecarim,Ryze,Diana,Xin Zhao,12.4,Razork,Malrang,,,,
Viktor,Thresh,Twisted Fate,Orianna,12.4,Humanoid,Larssen,,,,
Malphite,Viego,Aphelios,Jinx,12.4,Upset,Comp,,,,
Ornn,Pyke,Nautilus,Tahm Kench,12.4,Hylissang,Trymbi,,,,
,,,,,,,Fnatic,Rogue,blue_side,red_side
Ryze,Leona,Aatrox,Gangplank,12.4,JNX,Alphari,,,,
Jayce,Zeri,Hecarim,Xin Zhao,12.4,Gilius,Selfmade,,,,
