blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Renekton,Yuumi,Akali,Sylas,12.15,Scout,Doinb,,,,
Gnar,Azir,Lucian,Zeri,12.15,Viper,Light,,,,
Lissandra,Kennen,Nami,Lulu,12.15,meiko,LvMao,,,,
,,,,,,,Edward Gaming,LNG Esports,red_side,blue_side
Fiora,Vi,Gnar,Jax,12.15,Flandre,Ale,,,,
Nocturne,Kalista,Wukong,Sejuani,12.15,Jiejie,Tarzan,,,,
Trundle,Lucian,Lissandra,Akali,12.15,Scout,Doinb,,,,
Sylas,Azir,Sivir,Zeri,12.15,Viper,Light,,,,
Renekton,Kennen,Yuumi,Lulu,12.15,meiko,LvMao,,,,
,,,,,,,Edward Gaming,LNG Esports,blue_side,red_side
Fiora,Vi,Gragas,Gwen,12.15,Flandre,Ale,,,,
Nocturne,Kalista,Poppy,Wukong,12.15,Jiejie,Tarzan,,,,
Sejuani,Yuumi,Taliyah,Renekton,12.15,Scout,Doinb,,,,
Sylas,Azir,Lucian,Zeri,12.15,Viper,Light,,,,
Kennen,Gnar,Nami,Lulu,12.15,meiko,LvMao,,,,
,,,,,,,Edward Gaming,LNG Esports,blue_side,red_side
Fiora,Vi,Sejuani,Gnar,12.15,369,Ale,,,,
Wukong,Kalista,Belveth,Poppy,12.15,Kanavi,Tarzan,,,,
Renekton,Ahri,Azir,Taliyah,12.15,Yagao,Doinb,,,,
Nocturne,Trundle,Zeri,Sivir,12.15,Hope,Light,,,,
Akali,Xin Zhao,Lulu,Yuumi,12.15,Missing,LvMao,,,,
,,,,,,,JD Gaming,LNG Esports,blue_side,red_side
Vi,Fiora,Gnar,Renekton,12.15,Ale,369,,,,
Kalista,Wukong,Poppy,Morgana,12.15,Tarzan,Kanavi,,,,
Ahri,Yuumi,Taliyah,Sylas,12.15,Doinb,Yagao,,,,
Nidalee,Nocturne,Zeri,Lucian,12.15,Light,Hope,,,,
LeBlanc,Akali,Lulu,Nami,12.15,LvMao,Missing,,,,
,,,,,,,LNG Esports,JD Gaming,red_side,blue_side
Vi,Fiora,Gnar,Aatrox,12.15,Ale,369,,,,
Kalista,Wukong,Zac,Sejuani,12.15,Tarzan,Kanavi,,,,
Poppy,Yuumi,Renekton,Taliyah,12.15,Doinb,Yagao,,,,
Azir,Gwen,KogMaw,Lucian,12.15,Light,Hope,,,,
Ahri,Kennen,Lulu,Nami,12.15,LvMao,Missing,,,,
,,,,,,,LNG Esports,JD Gaming,red_side,blue_side
Nautilus,Poppy,Gnar,Kennen,12.15,Wayward,Flandre,,,,
Zeri,Vi,Xin Zhao,Wukong,12.15,Tian,Jiejie,,,,
Renata Glasc,Trundle,Ahri,Lissandra,12.15,Knight,Scout,,,,
Azir,Ornn,Lucian,Sivir,12.15,JackeyLove,Viper,,,,
Renekton,Sylas,Nami,Yuumi,12.15,Mark,meiko,,,,
,,,,,,,Top Esports,Edward Gaming,red_side,blue_side
Azir,Poppy,Renekton,Jax,12.15,Wayward,Flandre,,,,
