blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
LeBlanc,Rell,Amumu,Nocturne,13.13,Spica,Bugi,,,,
Poppy,Azir,Jayce,Neeko,13.13,Vicla,Insanity,,,,
Rakan,Alistar,Kaisa,Tristana,13.13,Prince,WildTurtle,,,,
Braum,Sejuani,Nautilus,Maokai,13.13,Vulcan,Chime,,,,
,,,,,,,FlyQuest,TSM,blue_side,red_side
Ziggs,LeBlanc,Jax,Rumble,13.13,Licorice,Summit,,,,
Poppy,Jayce,Viego,Vi,13.13,River,Pyosik,,,,
Kaisa,Tristana,Azir,Viktor,13.13,Gori,APA,,,,
Lee Sin,Milio,Ashe,Aphelios,13.13,Stixxay,Yeon,,,,
Kindred,Renekton,Rell,Thresh,13.13,Huhi,CoreJJ,,,,
,,,,,,,Golden Guardians,Team Liquid,blue_side,red_side
Jayce,Neeko,KSante,Gwen,13.13,solo,Revenge,,,,
LeBlanc,Ivern,Nocturne,Poppy,13.13,Kenvi,Sheiden,,,,
Tristana,Kindred,Veigar,Ahri,13.13,Bolulu,jojopyun,,,,
Sylas,Twisted Fate,Kaisa,Xayah,13.13,Tactical,UNF0RGIVEN,,,,
Renekton,Rumble,Alistar,Rell,13.13,Treatz,Eyla,,,,
,,,,,,,Immortals,Evil Geniuses,red_side,blue_side
Neeko,LeBlanc,Illaoi,KSante,13.13,Rich,solo,,,,
Kindred,Jayce,Vi,Poppy,13.13,Santorin,Kenvi,,,,
Xayah,Tristana,Ahri,Veigar,13.13,Jensen,Bolulu,,,,
Azir,Jax,Kaisa,Aphelios,13.13,Tomo,Tactical,,,,
Annie,Renekton,Nautilus,Rell,13.13,Poome,Treatz,,,,
,,,,,,,Dignitas,Immortals,red_side,blue_side
Ivern,Rumble,Jax,Gangplank,13.13,Licorice,Dhokla,,,,
Sejuani,LeBlanc,Nautilus,Poppy,13.13,River,Contractz,,,,
Rell,Jayce,Yone,Azir,13.13,Gori,Palafox,,,,
Rakan,Nocturne,Kaisa,Xayah,13.13,Stixxay,FBI,,,,
Renekton,Viego,Leona,Alistar,13.13,Huhi,IgNar,,,,
,,,,,,,Golden Guardians,NRG,red_side,blue_side
Jayce,Ziggs,Gnar,Rumble,13.13,Summit,Impact,,,,
Azir,Kennen,Lee Sin,Rell,13.13,Pyosik,Spica,,,,
Poppy,Tristana,Neeko,Yone,13.13,APA,Vicla,,,,
Aphelios,LeBlanc,Kaisa,Ashe,13.13,Yeon,Prince,,,,
Xayah,Cassiopeia,Rakan,Alistar,13.13,CoreJJ,Vulcan,,,,
,,,,,,,Team Liquid,FlyQuest,blue_side,red_side
Blitzcrank,Milio,Renekton,Jax,13.13,Fudge,Revenge,,,,
Ivern,Kaisa,Maokai,Sejuani,13.13,Blaber,Armao,,,,
Rumble,LeBlanc,Tristana,Jayce,13.13,EMENES,jojopyun,,,,
Sylas,Heimerdinger,KogMaw,Aphelios,13.13,Berserker,UNF0RGIVEN,,,,
Yone,Xayah,Braum,Rell,13.13,Zven,Eyla,,,,
,,,,,,,Cloud9,Evil Geniuses,blue_side,red_side
Rakan,Rumble,KSante,Gwen,13.13,ssumday,Hauntzer,,,,
Renekton,Tristana,Maokai,Viego,13.13,Closer,Bugi,,,,
LeBlanc,Kaisa,Jayce,Sejuani,13.13,Quid,Insanity,,,,
Malphite,Braum,Xayah,Jinx,13.13,Doublelift,WildTurtle,,,,
Ornn,Alistar,Renata Glasc,Rell,13.13,Busio,Chime,,,,
,,,,,,,100 Thieves,TSM,blue_side,red_side
Rumble,LeBlanc,Renekton,Quinn,13.13,Dhokla,Rich,,,,
Poppy,Tristana,Rell,Sejuani,13.13,Contractz,Santorin,,,,
Ivern,Xayah,Yone,Azir,13.13,Palafox,Jensen,,,,
Milio,Vi,Kaisa,Ashe,13.13,FBI,Tomo,,,,
Jax,Nocturne,Rakan,Braum,13.13,IgNar,Poome,,,,
,,,,,,,NRG,Dignitas,blue_side,red_side
Maokai,Rumble,LeBlanc,Ornn,13.13,Summit,Hauntzer,,,,
Renekton,Tristana,Poppy,Nocturne,13.13,Pyosik,Bugi,,,,
Nautilus,Ziggs,Cassiopeia,Kaisa,13.13,APA,Insanity,,,,
Malphite,Renata Glasc,Aphelios,Ashe,13.13,Yeon,WildTurtle,,,,
Jinx,Thresh,Rell,Rakan,13.13,CoreJJ,Chime,,,,
,,,,,,,Team Liquid,TSM,red_side,blue_side
Azir,Tristana,Rumble,Kennen,13.13,Fudge,ssumday,,,,
Viego,LeBlanc,Maokai,Lee Sin,13.13,Blaber,Closer,,,,
Blitzcrank,Milio,Jayce,Ahri,13.13,EMENES,Quid,,,,
Vi,Renekton,Kaisa,Varus,13.13,Berserker,Doublelift,,,,
Braum,Rakan,Nautilus,Rell,13.13,Zven,Busio,,,,
,,,,,,,Cloud9,100 Thieves,blue_side,red_side
Renekton,LeBlanc,KSante,Rumble,13.13,Revenge,Impact,,,,
Rakan,Ivern,Maokai,Rell,13.13,Armao,Spica,,,,
Sejuani,Poppy,Tristana,Jayce,13.13,jojopyun,Vicla,,,,
Gwen,Milio,Xayah,Kaisa,13.13,UNF0RGIVEN,Prince,,,,
Jax,Braum,Nautilus,Alistar,13.13,Eyla,Vulcan,,,,
,,,,,,,Evil Geniuses,FlyQuest,red_side,blue_side
Jayce,Neeko,Poppy,Jax,13.13,solo,Licorice,,,,
LeBlanc,Kindred,Nautilus,Maokai,13.13,Kenvi,River,,,,
Tristana,Kaisa,Ziggs,Azir,13.13,Bolulu,Gori,,,,
Yone,Renekton,Jinx,Aphelios,13.13,Tactical,Stixxay,,,,
Alistar,Milio,Rell,Renata Glasc,13.13,Treatz,Huhi,,,,
,,,,,,,Immortals,Golden Guardians,red_side,blue_side
Xayah,Ivern,Gangplank,Renekton,13.13,Rich,Hauntzer,,,,
Maokai,Sejuani,Poppy,Nautilus,13.13,Santorin,Bugi,,,,
Tristana,Rumble,LeBlanc,Kaisa,13.13,Jensen,Insanity,,,,
Jinx,Quinn,Aphelios,Ashe,13.13,Tomo,WildTurtle,,,,
Varus,Illaoi,Rell,Rakan,13.13,Poome,Chime,,,,
,,,,,,,Dignitas,TSM,red_side,blue_side
Yone,Azir,Renekton,Ornn,13.13,Impact,Dhokla,,,,
LeBlanc,Rumble,Ivern,Sejuani,13.13,Spica,Contractz,,,,
Poppy,Xayah,Jayce,Tristana,13.13,Spirax,Palafox,,,,
Rakan,Alistar,Varus,Kaisa,13.13,Prince,FBI,,,,
Quinn,Braum,Nautilus,Rell,13.13,Vulcan,IgNar,,,,
,,,,,,,FlyQuest,NRG,red_side,blue_side
Rumble,Tristana,Renekton,Kennen,13.13,Fudge,Summit,,,,
Blitzcrank,Jayce,Kindred,Wukong,13.13,Blaber,Pyosik,,,,
Sejuani,LeBlanc,Lissandra,Ziggs,13.13,EMENES,APA,,,,
Rell,Syndra,Ashe,Aphelios,13.13,Berserker,Yeon,,,,
Nautilus,Annie,Milio,Rakan,13.13,Zven,CoreJJ,,,,
,,,,,,,Cloud9,Team Liquid,red_side,blue_side
Ivern,Rumble,KSante,Renekton,13.13,Licorice,Revenge,,,,
Sejuani,Poppy,Vi,Rell,13.13,River,Armao,,,,
Tristana,Aphelios,LeBlanc,Kaisa,13.13,Gori,jojopyun,,,,
Ahri,Jax,Xayah,Draven,13.13,Stixxay,UNF0RGIVEN,,,,
Jayce,Kennen,Rakan,Milio,13.13,Huhi,Eyla,,,,
,,,,,,,Golden Guardians,Evil Geniuses,blue_side,red_side
Kindred,Tristana,Jax,Ornn,13.13,ssumday,solo,,,,
Poppy,LeBlanc,Viego,Nocturne,13.13,Closer,Kenvi,,,,
Milio,Jayce,Azir,Neeko,13.13,Quid,Bolulu,,,,
Malphite,Ahri,Kaisa,Xayah,13.13,Doublelift,Tactical,,,,
Jinx,Renekton,Rakan,Rell,13.13,Busio,Treatz,,,,
,,,,,,,100 Thieves,Immortals,red_side,blue_side
Kindred,Rakan,Renekton,KSante,13.13,Hauntzer,Licorice,,,,
Aphelios,Sejuani,Maokai,Poppy,13.13,Bugi,River,,,,
Rumble,LeBlanc,Tristana,Sylas,13.13,Insanity,Gori,,,,
Milio,Kaisa,Jinx,Ashe,13.13,WildTurtle,Stixxay,,,,
Rell,Karma,Braum,Zac,13.13,Chime,Huhi,,,,
,,,,,,,TSM,Golden Guardians,blue_side,red_side
Jayce,Kindred,Malphite,Renekton,13.13,solo,Fudge,,,,
Milio,Tristana,Viego,Sejuani,13.13,Kenvi,Blaber,,,,
LeBlanc,VelKoz,Neeko,Orianna,13.13,Bolulu,EMENES,,,,
Xayah,Rell,Kaisa,Aphelios,13.13,Tactical,Berserker,,,,
Heimerdinger,Rumble,Nautilus,Braum,13.13,Treatz,Zven,,,,
,,,,,,,Immortals,Cloud9,red_side,blue_side
Jayce,Milio,Rumble,Renekton,13.13,Summit,ssumday,,,,
LeBlanc,Kennen,Wukong,Sejuani,13.13,Pyosik,Closer,,,,
Poppy,Tristana,Ziggs,Akali,13.13,APA,Quid,,,,
Xayah,Aphelios,Draven,Kaisa,13.13,Yeon,Doublelift,,,,
Varus,Ashe,Thresh,Nautilus,13.13,CoreJJ,Busio,,,,
,,,,,,,Team Liquid,100 Thieves,blue_side,red_side
Ahri,Kaisa,Renekton,KSante,13.13,Dhokla,Revenge,,,,
Jayce,Milio,Sejuani,Poppy,13.13,Contractz,Armao,,,,
Ivern,Tristana,LeBlanc,Azir,13.13,Palafox,jojopyun,,,,
Rakan,Aphelios,Jinx,Xayah,13.13,FBI,UNF0RGIVEN,,,,
Ornn,Varus,Rell,Nautilus,13.13,IgNar,Eyla,,,,
,,,,,,,NRG,Evil Geniuses,blue_side,red_side
Milio,Azir,Rumble,Renekton,13.13,Rich,Impact,,,,
Xayah,LeBlanc,Ivern,Viego,13.13,Santorin,Spica,,,,
Tristana,Orianna,Jayce,Annie,13.13,Jensen,Vicla,,,,
Rakan,Rell,Ashe,Kaisa,13.13,Tomo,Prince,,,,
Aphelios,Varus,Braum,Blitzcrank,13.13,Diamond,Vulcan,,,,
,,,,,,,Dignitas,FlyQuest,blue_side,red_side
Poppy,Kennen,Rumble,Renekton,13.13,Summit,solo,,,,
Kindred,Sejuani,Nautilus,Maokai,13.13,Pyosik,Kenvi,,,,
