blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Evelynn,Caitlyn,Shen,Camille,10.16,Wunder,Bwipo,,,,
Nautilus,Kalista,Sett,Hecarim,10.16,Jankos,Selfmade,,,,
Thresh,Yuumi,LeBlanc,Kassadin,10.16,Caps,Nemesis,,,,
Renekton,Tahm Kench,Ashe,Senna,10.16,Perkz,Rekkles,,,,
Gangplank,Morgana,Taric,Leona,10.16,Mikyx,Hylissang,,,,
,,,,,,,G2 Esports,Fnatic,blue_side,red_side
Evelynn,Caitlyn,Ornn,Gangplank,10.16,Wunder,Bwipo,,,,
Nautilus,Kalista,Sett,Gragas,10.16,Jankos,Selfmade,,,,
Hecarim,Yuumi,LeBlanc,Lucian,10.16,Caps,Nemesis,,,,
Lillia,Blitzcrank,Ashe,Senna,10.16,Perkz,Rekkles,,,,
Karthus,Morgana,Braum,Thresh,10.16,Mikyx,Hylissang,,,,
,,,,,,,G2 Esports,Fnatic,red_side,blue_side
Senna,Caitlyn,Ornn,Renekton,10.16,Orome,Odoamne,,,,
Hecarim,Thresh,Sett,Sejuani,10.16,Shad0w,Gilius,,,,
Shen,Lux,Akali,Orianna,10.16,Humanoid,Abbedagge,,,,
Camille,Gangplank,Jhin,Ashe,10.16,Carzzy,Neon,,,,
Lillia,Graves,Nautilus,Tahm Kench,10.16,Kaiser,Dreams,,,,
,,,,,,,MAD Lions,FC Schalke 04,red_side,blue_side
Hecarim,Caitlyn,Mordekaiser,Camille,10.16,Orome,Odoamne,,,,
Shen,Thresh,Lee Sin,Skarner,10.16,Shad0w,Gilius,,,,
Tahm Kench,Lux,Akali,Orianna,10.16,Humanoid,Abbedagge,,,,
Sejuani,Graves,Ashe,Senna,10.16,Carzzy,Neon,,,,
Renekton,Gangplank,Nautilus,Braum,10.16,Kaiser,Dreams,,,,
,,,,,,,MAD Lions,FC Schalke 04,blue_side,red_side
Thresh,Shen,Ornn,Gangplank,10.16,Odoamne,Orome,,,,
Lux,Hecarim,Lee Sin,Lillia,10.16,Gilius,Shad0w,,,,
Akali,Caitlyn,Azir,Orianna,10.16,Abbedagge,Humanoid,,,,
Lucian,KhaZix,Senna,Ashe,10.16,Neon,Carzzy,,,,
Galio,Sejuani,Nautilus,Leona,10.16,Dreams,Kaiser,,,,
,,,,,,,FC Schalke 04,MAD Lions,red_side,blue_side
Thresh,Shen,Kennen,Camille,10.16,Odoamne,Orome,,,,
Lux,Hecarim,Lee Sin,Lillia,10.16,Gilius,Shad0w,,,,
Leona,Caitlyn,Orianna,Akali,10.16,Abbedagge,Humanoid,,,,
Gangplank,Sejuani,Ashe,Senna,10.16,Neon,Carzzy,,,,
Renekton,Ornn,Tahm Kench,Nautilus,10.16,Dreams,Kaiser,,,,
,,,,,,,FC Schalke 04,MAD Lions,red_side,blue_side
Ezreal,Caitlyn,Renekton,Urgot,10.16,Finn,Bwipo,,,,
Shen,Aphelios,Sejuani,Evelynn,10.16,Inspired,Selfmade,,,,
Gangplank,Orianna,Azir,Lucian,10.16,Larssen,Nemesis,,,,
Ornn,Tahm Kench,Senna,Ashe,10.16,Hans Sama,Rekkles,,,,
Camille,Lillia,Nautilus,Thresh,10.16,VandeR,Hylissang,,,,
,,,,,,,Rogue,Fnatic,red_side,blue_side
Ezreal,Caitlyn,Gangplank,Ornn,10.16,Finn,Bwipo,,,,
Hecarim,Aphelios,Sett,Karthus,10.16,Inspired,Selfmade,,,,
Evelynn,Orianna,Azir,Lucian,10.16,Larssen,Nemesis,,,,
KhaZix,Trundle,Kalista,Senna,10.16,Hans Sama,Rekkles,,,,
Lee Sin,Lillia,Blitzcrank,Thresh,10.16,VandeR,Hylissang,,,,
,,,,,,,Rogue,Fnatic,red_side,blue_side
Shen,Caitlyn,Gangplank,Sion,10.16,Finn,Bwipo,,,,
Thresh,Aphelios,Sett,Evelynn,10.16,Inspired,Selfmade,,,,
Lucian,Yuumi,Azir,KogMaw,10.16,Larssen,Nemesis,,,,
Ornn,Bard,Ezreal,Senna,10.16,Hans Sama,Rekkles,,,,
Chogath,Leona,Braum,Nautilus,10.16,VandeR,Hylissang,,,,
,,,,,,,Rogue,Fnatic,red_side,blue_side
Lux,Caitlyn,Gangplank,Shen,10.16,Wunder,Orome,,,,
Ezreal,Thresh,Sett,Hecarim,10.16,Jankos,Shad0w,,,,
Lee Sin,Lillia,LeBlanc,Azir,10.16,Caps,Humanoid,,,,
Leona,Mordekaiser,Kalista,Senna,10.16,Perkz,Carzzy,,,,
Akali,Camille,Nautilus,Taric,10.16,Mikyx,Kaiser,,,,
,,,,,,,G2 Esports,MAD Lions,blue_side,red_side
Sett,Lux,Camille,Neeko,10.16,Orome,Wunder,,,,
Twisted Fate,Caitlyn,Lillia,Sejuani,10.16,Shad0w,Jankos,,,,
Ashe,Kalista,Galio,Irelia,10.16,Humanoid,Caps,,,,
