blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Poppy,LeBlanc,Jax,Renekton,13.11,Irrelevant,Oscarinin,,,,
KSante,Sejuani,Nautilus,Maokai,13.11,Markoon,Razork,,,,
Vi,Lucian,Azir,Xerath,13.11,Sertuss,Humanoid,,,,
Tristana,Wukong,Jinx,Aphelios,13.11,3XA,Noah,,,,
Syndra,Neeko,Milio,Yuumi,13.11,Doss,Trymbi,,,,
,,,,,,,SK Gaming,Fnatic,blue_side,red_side
Draven,Vi,Renekton,KSante,13.11,Evi,Brokenblade,,,,
KogMaw,LeBlanc,Maokai,Trundle,13.11,Jankos,Yike,,,,
Neeko,Lucian,Kaisa,Cassiopeia,13.11,Vetheo,Caps,,,,
Azir,Jayce,Zeri,Aphelios,13.11,Flakked,Hans Sama,,,,
Syndra,Tristana,Yuumi,Milio,13.11,Mersa,Mikyx,,,,
,,,,,,,Team Heretics,G2 Esports,red_side,blue_side
Xayah,LeBlanc,Renekton,KSante,13.11,Szygenda,Finn,,,,
Sejuani,Yuumi,Vi,Viego,13.11,Malrang,113,,,,
Maokai,Milio,Neeko,Azir,13.11,Larssen,Lider,,,,
Rumble,Braum,Sivir,Aphelios,13.11,Comp,Kobbe,,,,
Gragas,Rakan,Lulu,Nautilus,13.11,Advienne,Execute,,,,
,,,,,,,KOI,Astralis,blue_side,red_side
Draven,LeBlanc,Gwen,Kennen,13.11,Photon,Odoamne,,,,
Azir,Maokai,Viego,Sejuani,13.11,Daglas,Peach,,,,
Xayah,Lucian,Ahri,KSante,13.11,Perkz,Abbedagge,,,,
Jax,Neeko,Aphelios,Tristana,13.11,Upset,Patrik,,,,
Cassiopeia,Syndra,Yuumi,Milio,13.11,Kaiser,Limit,,,,
,,,,,,,Team Vitality,Excel Esports,red_side,blue_side
Xayah,Zeri,Renekton,Kennen,13.11,Adam,Chasy,,,,
Yuumi,Olaf,Maokai,Vi,13.11,Sheo,Elyoya,,,,
Milio,Darius,Azir,Gragas,13.11,nuc,Nisqy,,,,
Kaisa,Lulu,Aphelios,Ezreal,13.11,Crownie,Carzzy,,,,
Neeko,Renata Glasc,Tahm Kench,Rakan,13.11,Labrov,Hylissang,,,,
,,,,,,,Team BDS,MAD Lions,blue_side,red_side
Yuumi,LeBlanc,Gragas,Gnar,13.11,Irrelevant,Chasy,,,,
Xayah,Jax,Poppy,Sejuani,13.11,Markoon,Elyoya,,,,
Vi,Maokai,Sylas,Azir,13.11,Sertuss,Nisqy,,,,
Jinx,Akali,Aphelios,Draven,13.11,3XA,Carzzy,,,,
Renekton,KSante,Milio,Blitzcrank,13.11,Doss,Hylissang,,,,
,,,,,,,SK Gaming,MAD Lions,blue_side,red_side
LeBlanc,Vi,Sett,Renekton,13.11,Adam,Photon,,,,
Milio,Zeri,Sejuani,Maokai,13.11,Sheo,Daglas,,,,
Yuumi,Olaf,Azir,Tristana,13.11,nuc,Perkz,,,,
Lulu,Jax,Varus,Aphelios,13.11,Crownie,Upset,,,,
KSante,Darius,Rakan,Nautilus,13.11,Labrov,Kaiser,,,,
,,,,,,,Team BDS,Team Vitality,blue_side,red_side
Xayah,Draven,KSante,Olaf,13.11,Evi,Oscarinin,,,,
Neeko,Azir,Vi,Poppy,13.11,Jankos,Razork,,,,
Yuumi,Milio,LeBlanc,Ryze,13.11,Vetheo,Humanoid,,,,
Maokai,Nautilus,Varus,Aphelios,13.11,Flakked,Noah,,,,
Viego,Lucian,Blitzcrank,Lulu,13.11,Mersa,Trymbi,,,,
,,,,,,,Team Heretics,Fnatic,red_side,blue_side
Yuumi,Milio,KSante,Gwen,13.11,Brokenblade,Szygenda,,,,
LeBlanc,Maokai,KhaZix,Jarvan IV,13.11,Yike,Malrang,,,,
Vi,Draven,Neeko,Azir,13.11,Caps,Larssen,,,,
Rakan,Nocturne,KogMaw,Aphelios,13.11,Hans Sama,Comp,,,,
Lulu,Renekton,Braum,Janna,13.11,Mikyx,Advienne,,,,
,,,,,,,G2 Esports,KOI,blue_side,red_side
Vi,LeBlanc,Sion,Renekton,13.11,Odoamne,Finn,,,,
Sejuani,Yuumi,Amumu,Maokai,13.11,Peach,113,,,,
Blitzcrank,Azir,Tristana,Sylas,13.11,Abbedagge,Lider,,,,
Nautilus,Draven,Aphelios,Xayah,13.11,Patrik,Kobbe,,,,
Rakan,Lucian,Milio,Pyke,13.11,Limit,Execute,,,,
,,,,,,,Excel Esports,Astralis,blue_side,red_side
Maokai,Vi,Gragas,Poppy,13.11,Chasy,Evi,,,,
Draven,Rakan,RekSai,Wukong,13.11,Elyoya,Jankos,,,,
Azir,Lucian,Annie,LeBlanc,13.11,Nisqy,Vetheo,,,,
Sion,KSante,Xayah,Aphelios,13.11,Carzzy,Flakked,,,,
Sejuani,Renekton,Milio,Yuumi,13.11,Hylissang,Mersa,,,,
,,,,,,,MAD Lions,Team Heretics,red_side,blue_side
Sejuani,LeBlanc,Gragas,Olaf,13.11,Oscarinin,Adam,,,,
Maokai,Vi,Viego,Poppy,13.11,Razork,Sheo,,,,
Zeri,Milio,Syndra,Azir,13.11,Humanoid,nuc,,,,
Darius,KSante,Xayah,Aphelios,13.11,Noah,Crownie,,,,
Wukong,Sion,Yuumi,Blitzcrank,13.11,Trymbi,Labrov,,,,
,,,,,,,Fnatic,Team BDS,blue_side,red_side
Vi,Milio,KSante,Olaf,13.11,Odoamne,Brokenblade,,,,
Poppy,Tristana,Nocturne,Trundle,13.11,Peach,Yike,,,,
Maokai,Yuumi,Neeko,LeBlanc,13.11,Abbedagge,Caps,,,,
Sejuani,Rakan,Xayah,Draven,13.11,Patrik,Hans Sama,,,,
Viego,Kaisa,Nautilus,Braum,13.11,Limit,Mikyx,,,,
,,,,,,,Excel Esports,G2 Esports,red_side,blue_side
Vi,Milio,Renekton,Gnar,13.11,Photon,Szygenda,,,,
Sejuani,Yuumi,Maokai,Trundle,13.11,Daglas,Malrang,,,,
Kennen,Xayah,Azir,LeBlanc,13.11,Perkz,Larssen,,,,
Poppy,Nami,Zeri,Aphelios,13.11,Upset,Comp,,,,
Jarvan IV,Nautilus,Soraka,Lulu,13.11,Kaiser,Advienne,,,,
