blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Olaf,Seraphine,Renekton,Sion,11.5,Revenge,Fudge,,,,
Lucian,Hecarim,Nocturne,Lillia,11.5,Xerxe,Blaber,,,,
Nautilus,Udyr,Syndra,Orianna,11.5,Insanity,Perkz,,,,
Gnar,Nidalee,Draven,Tristana,11.5,Raes,Zven,,,,
Gragas,Kayn,Thresh,Rell,11.5,Destiny,Vulcan,,,,
,,,,,,,Immortals,Cloud9,red_side,blue_side
Tristana,Kaisa,Gnar,Irelia,11.5,Impact,Finn,,,,
Lucian,Orianna,Hecarim,Nidalee,11.5,Svenskeren,Broxah,,,,
Olaf,Lillia,Ryze,Renekton,11.5,Jiizuke,Pobelter,,,,
Kalista,Xayah,Jhin,Samira,11.5,Deftly,WildTurtle,,,,
Syndra,Azir,Rell,Nautilus,11.5,IgNar,Smoothie,,,,
,,,,,,,Evil Geniuses,CLG,blue_side,red_side
Seraphine,Kaisa,Gnar,Gangplank,11.5,ssumday,Alphari,,,,
Rell,Renekton,Olaf,Udyr,11.5,Closer,Santorin,,,,
Thresh,Senna,Syndra,Azir,11.5,Ryoma,Jensen,,,,
Camille,Gragas,Tristana,Xayah,11.5,FBI,Tactical,,,,
Orianna,Twisted Fate,Leona,Alistar,11.5,Huhi,CoreJJ,,,,
,,,,,,,100 Thieves,Team Liquid,red_side,blue_side
Rell,Seraphine,Camille,Gragas,11.5,Niles,Huni,,,,
Renekton,Lucian,Udyr,Olaf,11.5,Iconic,Spica,,,,
Hecarim,Twisted Fate,Orianna,Azir,11.5,Ablazeolive,PowerOfEvil,,,,
Gnar,Gangplank,Xayah,Tristana,11.5,Stixxay,Lost,,,,
Alistar,Rakan,Thresh,Nautilus,11.5,Newbie,SwordArt,,,,
,,,,,,,Golden Guardians,TSM,red_side,blue_side
Kalista,Seraphine,Shen,Mordekaiser,11.5,Licorice,FakeGod,,,,
Gnar,Udyr,Hecarim,Graves,11.5,Josedeodo,Dardoch,,,,
Renekton,Lillia,Twisted Fate,Syndra,11.5,Palafox,Soligo,,,,
Kaisa,Orianna,Tristana,Xayah,11.5,Johnsun,Neo,,,,
