blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Sejuani,Rumble,KSante,Mordekaiser,14.16,Kiin,Doran,,,,
Maokai,Nidalee,Skarner,Zyra,14.16,Canyon,Peanut,,,,
Vi,Ziggs,Smolder,Tristana,14.16,Chovy,Zeka,,,,
Braum,Nasus,Ezreal,Ashe,14.16,Peyz,Viper,,,,
Nautilus,Alistar,Rell,Leona,14.16,Lehends,Delight,,,,
,,,,,,,Gen.G eSports,Hanwha Life eSports,red_side,blue_side
Sejuani,Rumble,Ornn,Renekton,14.16,Kiin,Doran,,,,
Maokai,Nidalee,Zyra,Ivern,14.16,Canyon,Peanut,,,,
Smolder,Ziggs,Corki,Azir,14.16,Chovy,Zeka,,,,
Leona,Renata Glasc,Ashe,Jhin,14.16,Peyz,Viper,,,,
Nautilus,KSante,Blitzcrank,Alistar,14.16,Lehends,Delight,,,,
,,,,,,,Gen.G eSports,Hanwha Life eSports,blue_side,red_side
Nidalee,Rumble,Camille,Jax,14.16,Doran,Kiin,,,,
Tristana,Smolder,Maokai,Skarner,14.16,Peanut,Canyon,,,,
Blitzcrank,Sejuani,Yone,Corki,14.16,Zeka,Chovy,,,,
Leona,Poppy,Jhin,Ziggs,14.16,Viper,Peyz,,,,
KSante,Bard,Rakan,Alistar,14.16,Delight,Lehends,,,,
,,,,,,,Hanwha Life eSports,Gen.G eSports,red_side,blue_side
Nidalee,Rumble,Jax,Udyr,14.16,Doran,Kiin,,,,
Skarner,Smolder,Maokai,Zyra,14.16,Peanut,Canyon,,,,
Ziggs,Ashe,Tristana,Corki,14.16,Zeka,Chovy,,,,
Nautilus,Bard,Ezreal,Miss Fortune,14.16,Viper,Peyz,,,,
KSante,Rell,Blitzcrank,Alistar,14.16,Delight,Lehends,,,,
,,,,,,,Hanwha Life eSports,Gen.G eSports,blue_side,red_side
Tristana,Rumble,KSante,Jax,14.16,Kiin,Doran,,,,
Sejuani,Nidalee,Skarner,Vi,14.16,Canyon,Peanut,,,,
Maokai,Smolder,Corki,Yone,14.16,Chovy,Zeka,,,,
Alistar,Poppy,Kaisa,Ziggs,14.16,Peyz,Viper,,,,
Rakan,Blitzcrank,Nautilus,Rell,14.16,Lehends,Delight,,,,
,,,,,,,Gen.G eSports,Hanwha Life eSports,red_side,blue_side
Azir,Rumble,Jax,Gnar,14.16,Doran,Zeus,,,,
Lillia,Maokai,Poppy,Sejuani,14.16,Peanut,Oner,,,,
Tristana,Vi,Smolder,Caitlyn,14.16,Zeka,Faker,,,,
Camille,Rell,Jhin,Ziggs,14.16,Viper,Gumayusi,,,,
Corki,Alistar,Bard,Leona,14.16,Delight,Keria,,,,
,,,,,,,Hanwha Life eSports,T1,blue_side,red_side
Maokai,Azir,Camille,KSante,14.16,Zeus,Doran,,,,
Vi,Rumble,Nidalee,Sejuani,14.16,Oner,Peanut,,,,
Jax,Lillia,Tristana,Yone,14.16,Faker,Zeka,,,,
Jhin,Poppy,Ziggs,Smolder,14.16,Gumayusi,Viper,,,,
Taliyah,Leona,Alistar,Rell,14.16,Keria,Delight,,,,
,,,,,,,T1,Hanwha Life eSports,blue_side,red_side
Azir,Rumble,Renekton,Zeri,14.16,Doran,Zeus,,,,
Lillia,Maokai,Poppy,Sejuani,14.16,Peanut,Oner,,,,
Tristana,Vi,Smolder,Corki,14.16,Zeka,Faker,,,,
Camille,Jax,Jhin,Ziggs,14.16,Viper,Gumayusi,,,,
Leona,Bard,Rakan,Alistar,14.16,Delight,Keria,,,,
,,,,,,,Hanwha Life eSports,T1,blue_side,red_side
Maokai,Azir,Corki,Nasus,14.16,Zeus,Doran,,,,
Vi,Lillia,Nidalee,Sejuani,14.16,Oner,Peanut,,,,
Jax,Rumble,Tristana,Smolder,14.16,Faker,Zeka,,,,
Renekton,Camille,Ziggs,Jhin,14.16,Gumayusi,Viper,,,,
KSante,Alistar,Leona,Poppy,14.16,Keria,Delight,,,,
,,,,,,,T1,Hanwha Life eSports,red_side,blue_side
Azir,Rumble,Gnar,KSante,14.16,kingen,Zeus,,,,
Nasus,LeBlanc,Vi,Maokai,14.16,Lucid,Oner,,,,
Lillia,Smolder,Taliyah,Corki,14.16,ShowMaker,Faker,,,,
Jhin,Gangplank,Ziggs,Nilah,14.16,Aiming,Gumayusi,,,,
Miss Fortune,Zeri,Leona,Zilean,14.16,Moham,Keria,,,,
,,,,,,,Dplus KIA,T1,blue_side,red_side
LeBlanc,Rumble,Camille,Gangplank,14.16,Zeus,kingen,,,,
Smolder,Lillia,Sejuani,Maokai,14.16,Oner,Lucid,,,,
Vi,Jhin,Corki,Nasus,14.16,Faker,ShowMaker,,,,
