blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Lucian,Thresh,Ornn,Camille,10.16,solo,Brokenblade,,,,
Nidalee,Lillia,Graves,Sett,10.16,Santorin,Spica,,,,
Twisted Fate,Shen,Viktor,Zilean,10.16,PowerOfEvil,Bjergsen,,,,
Hecarim,LeBlanc,Caitlyn,Ashe,10.16,WildTurtle,Doublelift,,,,
Leona,Syndra,Lux,Karma,10.16,IgNar,Biofrost,,,,
,,,,,,,FlyQuest,TSM,red_side,blue_side
Lucian,Thresh,Ornn,Jax,10.16,solo,Brokenblade,,,,
Nidalee,Lillia,Graves,Sett,10.16,Santorin,Spica,,,,
Zilean,Shen,Azir,Twisted Fate,10.16,PowerOfEvil,Bjergsen,,,,
Camille,Orianna,Caitlyn,Ashe,10.16,WildTurtle,Doublelift,,,,
Volibear,Syndra,Pantheon,Bard,10.16,IgNar,Biofrost,,,,
,,,,,,,FlyQuest,TSM,red_side,blue_side
Thresh,Nidalee,Jayce,Gangplank,10.16,Brokenblade,solo,,,,
Shen,Caitlyn,Sett,Hecarim,10.16,Spica,Santorin,,,,
Lillia,Zilean,Twisted Fate,Orianna,10.16,Bjergsen,PowerOfEvil,,,,
Rakan,Jax,Ashe,Senna,10.16,Doublelift,WildTurtle,,,,
Mordekaiser,Lucian,Bard,Nautilus,10.16,Biofrost,IgNar,,,,
,,,,,,,TSM,FlyQuest,red_side,blue_side
Lucian,Thresh,Ornn,Jayce,10.16,solo,Brokenblade,,,,
Nidalee,Lillia,Volibear,Sett,10.16,Santorin,Spica,,,,
Zilean,Shen,Azir,Syndra,10.16,PowerOfEvil,Bjergsen,,,,
Evelynn,Gangplank,Caitlyn,Ashe,10.16,WildTurtle,Doublelift,,,,
Bard,Mordekaiser,Pantheon,Morgana,10.16,IgNar,Biofrost,,,,
,,,,,,,FlyQuest,TSM,blue_side,red_side
Thresh,Nidalee,Camille,Gangplank,10.16,Brokenblade,solo,,,,
Lillia,Caitlyn,Graves,Sett,10.16,Spica,Santorin,,,,
Shen,Zilean,Twisted Fate,Orianna,10.16,Bjergsen,PowerOfEvil,,,,
Pantheon,Bard,Senna,Ashe,10.16,Doublelift,WildTurtle,,,,
Mordekaiser,Tahm Kench,Rakan,Leona,10.16,Biofrost,IgNar,,,,
,,,,,,,TSM,FlyQuest,blue_side,red_side
Shen,Lucian,Renekton,Ornn,10.16,Brokenblade,Impact,,,,
Kalista,Caitlyn,Nidalee,Lee Sin,10.16,Spica,Broxah,,,,
Graves,Twisted Fate,Syndra,Azir,10.16,Bjergsen,Jensen,,,,
Thresh,Rakan,Senna,Ashe,10.16,Doublelift,Tactical,,,,
Morgana,LeBlanc,Leona,Braum,10.16,Biofrost,CoreJJ,,,,
,,,,,,,TSM,Team Liquid,blue_side,red_side
Lucian,Graves,Ornn,Sett,10.16,Impact,Brokenblade,,,,
Nidalee,Kalista,Hecarim,Olaf,10.16,Broxah,Spica,,,,
Shen,Caitlyn,Twisted Fate,Azir,10.16,Jensen,Bjergsen,,,,
Orianna,Lee Sin,Ashe,Senna,10.16,Tactical,Doublelift,,,,
Jayce,Mordekaiser,Thresh,Tahm Kench,10.16,CoreJJ,Biofrost,,,,
,,,,,,,Team Liquid,TSM,blue_side,red_side
Kalista,Lucian,Volibear,Sett,10.16,Brokenblade,Impact,,,,
Shen,Nidalee,Olaf,Trundle,10.16,Spica,Broxah,,,,
Graves,Renekton,Sylas,Twisted Fate,10.16,Bjergsen,Jensen,,,,
Lee Sin,Zilean,Caitlyn,Ashe,10.16,Doublelift,Tactical,,,,
Hecarim,Orianna,Lux,Thresh,10.16,Biofrost,CoreJJ,,,,
,,,,,,,TSM,Team Liquid,red_side,blue_side
