blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Alistar,Thresh,Irelia,Jayce,11.6,Nuguri,xiaohu,,,,
Lucian,Tahm Kench,Hecarim,Udyr,11.6,Tian,Wei,,,,
Kaisa,Rell,Orianna,Viktor,11.6,Doinb,Cryin,,,,
Twisted Fate,Rakan,Xayah,Tristana,11.6,Lwx,GALA,,,,
Azir,Leona,Galio,Nautilus,11.6,Crisp,Ming,,,,
,,,,,,,Funplus Phoenix,Royal Never Give Up,blue_side,red_side
Tahm Kench,Thresh,Jayce,Irelia,11.6,xiaohu,Nuguri,,,,
Twisted Fate,Alistar,Hecarim,Udyr,11.6,Wei,Tian,,,,
Rell,Lucian,Ryze,Viktor,11.6,Cryin,Doinb,,,,
Orianna,Rakan,Xayah,Kaisa,11.6,GALA,Lwx,,,,
Sylas,Gragas,Nautilus,Leona,11.6,Ming,Crisp,,,,
,,,,,,,Royal Never Give Up,Funplus Phoenix,blue_side,red_side
Alistar,Thresh,Jayce,Gragas,11.6,Nuguri,xiaohu,,,,
Lucian,Tahm Kench,Volibear,Olaf,11.6,Tian,Wei,,,,
Udyr,Hecarim,Akali,Orianna,11.6,Doinb,Cryin,,,,
Rakan,Lillia,Tristana,Kaisa,11.6,Lwx,GALA,,,,
Nautilus,Twisted Fate,Rell,Leona,11.6,Crisp,Ming,,,,
,,,,,,,Funplus Phoenix,Royal Never Give Up,red_side,blue_side
Lucian,Thresh,Jayce,Gragas,11.6,Nuguri,xiaohu,,,,
Alistar,Tahm Kench,Hecarim,Udyr,11.6,Tian,Wei,,,,
Kaisa,Rell,Ryze,Orianna,11.6,Doinb,Cryin,,,,
Leona,Rakan,Xayah,Tristana,11.6,Lwx,GALA,,,,
Nautilus,Twisted Fate,Galio,Sett,11.6,Crisp,Ming,,,,
,,,,,,,Funplus Phoenix,Royal Never Give Up,red_side,blue_side
Lucian,Thresh,Nocturne,Gragas,11.6,Flandre,xiaohu,,,,
Renekton,Udyr,Lillia,Olaf,11.6,Jiejie,Wei,,,,
Akali,Hecarim,Azir,Viktor,11.6,Scout,Cryin,,,,
Gnar,Rell,Tristana,Kaisa,11.6,Viper,GALA,,,,
Corki,Rakan,Galio,Alistar,11.6,meiko,Ming,,,,
,,,,,,,Edward Gaming,Royal Never Give Up,red_side,blue_side
Twisted Fate,Lucian,Renekton,Gnar,11.6,xiaohu,Flandre,,,,
Sylas,Thresh,Udyr,Hecarim,11.6,Wei,Jiejie,,,,
Zoe,Tahm Kench,Orianna,Viktor,11.6,Cryin,Scout,,,,
Azir,Rell,Kaisa,Tristana,11.6,GALA,Viper,,,,
Jayce,Gragas,Nautilus,Alistar,11.6,Ming,meiko,,,,
,,,,,,,Royal Never Give Up,Edward Gaming,blue_side,red_side
Lucian,Thresh,Gnar,Jayce,11.6,Flandre,xiaohu,,,,
Renekton,Hecarim,Udyr,Olaf,11.6,Jiejie,Wei,,,,
Alistar,Zoe,Viktor,Twisted Fate,11.6,Scout,Cryin,,,,
Gragas,Orianna,Tahm Kench,Kaisa,11.6,meiko,GALA,,,,
Malphite,Nocturne,Senna,Rell,11.6,Viper,Ming,,,,
,,,,,,,Edward Gaming,Royal Never Give Up,blue_side,red_side
Twisted Fate,Lucian,Gnar,Jayce,11.6,xiaohu,Flandre,,,,
Sylas,Thresh,Udyr,Hecarim,11.6,Wei,Jiejie,,,,
Tahm Kench,Alistar,Orianna,Syndra,11.6,Cryin,Scout,,,,
Azir,Nautilus,Kaisa,Tristana,11.6,GALA,Viper,,,,
Viktor,Renekton,Rakan,Rell,11.6,Ming,meiko,,,,
,,,,,,,Royal Never Give Up,Edward Gaming,red_side,blue_side
Twisted Fate,Lucian,Gnar,Jayce,11.6,xiaohu,Flandre,,,,
Tahm Kench,Thresh,Udyr,Hecarim,11.6,Wei,Jiejie,,,,
Rell,Sylas,Corki,Syndra,11.6,Cryin,Scout,,,,
Nocturne,Azir,Xayah,Kaisa,11.6,GALA,Viper,,,,
Viktor,Orianna,Alistar,Rakan,11.6,Ming,meiko,,,,
,,,,,,,Royal Never Give Up,Edward Gaming,blue_side,red_side
Lillia,Hecarim,Gragas,Sett,11.6,Flandre,Nuguri,,,,
Renekton,Alistar,Udyr,Volibear,11.6,Jiejie,Tian,,,,
Orianna,Thresh,Qiyana,Viktor,11.6,Scout,Doinb,,,,
Gnar,Nocturne,Tristana,Kaisa,11.6,Viper,Lwx,,,,
Corki,Twisted Fate,Rakan,Rell,11.6,meiko,Crisp,,,,
,,,,,,,Edward Gaming,Funplus Phoenix,blue_side,red_side
Nocturne,Thresh,Sett,Gragas,11.6,Nuguri,Flandre,,,,
Alistar,Jayce,Hecarim,Volibear,11.6,Tian,Jiejie,,,,
Udyr,Viktor,Akali,Orianna,11.6,Doinb,Scout,,,,
Azir,Corki,Tahm Kench,Tristana,11.6,Crisp,Viper,,,,
Renekton,Gnar,Senna,Rell,11.6,Lwx,meiko,,,,
,,,,,,,Funplus Phoenix,Edward Gaming,blue_side,red_side
Lillia,Thresh,Jayce,Gnar,11.6,Flandre,Nuguri,,,,
Renekton,Tahm Kench,Hecarim,Udyr,11.6,Jiejie,Tian,,,,
Orianna,Rell,Sylas,Lulu,11.6,Scout,Doinb,,,,
Ryze,Nocturne,Kaisa,Tristana,11.6,Viper,Lwx,,,,
Leona,Alistar,Gragas,Rakan,11.6,meiko,Crisp,,,,
,,,,,,,Edward Gaming,Funplus Phoenix,blue_side,red_side
