blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Poppy,Renekton,Swain,Ornn,12.14,Rascal,Burdol,,,,
Yuumi,Ahri,Wukong,Viego,12.14,Cuzz,Canyon,,,,
Draven,Kalista,Sylas,Taliyah,12.14,Vicla,ShowMaker,,,,
Vi,Azir,Lucian,Aphelios,12.14,Aiming,deokdam,,,,
Sejuani,Gwen,Nami,Lulu,12.14,Life,Kellin,,,,
,,,,,,,KT Rolster,DWG KIA,blue_side,red_side
Renata Glasc,Sivir,Gwen,Ornn,12.14,Burdol,Rascal,,,,
Renekton,Kalista,Vi,Wukong,12.14,Canyon,Cuzz,,,,
Lucian,Zeri,Ahri,Sylas,12.14,ShowMaker,Vicla,,,,
Skarner,Trundle,Nilah,Aphelios,12.14,deokdam,Aiming,,,,
Akali,Poppy,Yuumi,Lulu,12.14,Kellin,Life,,,,
,,,,,,,DWG KIA,KT Rolster,red_side,blue_side
Sylas,Sivir,Camille,Gragas,12.14,Burdol,Rascal,,,,
Renekton,Kalista,Wukong,Trundle,12.14,Canyon,Cuzz,,,,
Ahri,Lucian,Corki,Taliyah,12.14,ShowMaker,Vicla,,,,
Ornn,Gwen,Aphelios,Zeri,12.14,deokdam,Aiming,,,,
Sejuani,Yone,Renata Glasc,Yuumi,12.14,Kellin,Life,,,,
,,,,,,,DWG KIA,KT Rolster,blue_side,red_side
Sylas,Renata Glasc,Ornn,Aatrox,12.14,Dove,kingen,,,,
Renekton,Kalista,Trundle,Poppy,12.14,Croco,Pyosik,,,,
Azir,Vi,Ahri,LeBlanc,12.14,Clozer,Zeka,,,,
Gwen,Skarner,Sivir,Lucian,12.14,Prince,Deft,,,,
Gnar,Wukong,Yuumi,Nami,12.14,Kael,BeryL,,,,
,,,,,,,Liiv SANDBOX,DRX,blue_side,red_side
Renata Glasc,Kalista,Gwen,Ornn,12.14,kingen,Dove,,,,
Yuumi,Sylas,Poppy,Vi,12.14,Pyosik,Croco,,,,
Azir,Sivir,Swain,Ahri,12.14,Zeka,Clozer,,,,
Lucian,LeBlanc,Zeri,Aphelios,12.14,Deft,Prince,,,,
Nilah,Lissandra,Leona,Tahm Kench,12.14,BeryL,Kael,,,,
,,,,,,,DRX,Liiv SANDBOX,red_side,blue_side
Renata Glasc,Kalista,Jax,Gwen,12.14,kingen,Dove,,,,
Yuumi,Sivir,Poppy,Skarner,12.14,Pyosik,Croco,,,,
Vi,Ornn,Azir,Ahri,12.14,Zeka,Clozer,,,,
Trundle,Aphelios,Nilah,Zeri,12.14,Deft,Prince,,,,
Wukong,Lucian,Nautilus,Lulu,12.14,BeryL,Kael,,,,
,,,,,,,DRX,Liiv SANDBOX,blue_side,red_side
Sylas,Sivir,Ornn,Renekton,12.14,Dove,kingen,,,,
Azir,Yuumi,Poppy,Morgana,12.14,Croco,Pyosik,,,,
Kalista,Renata Glasc,Ahri,Lissandra,12.14,Clozer,Zeka,,,,
Trundle,Lulu,Aphelios,Lucian,12.14,Prince,Deft,,,,
LeBlanc,Nautilus,Tahm Kench,Nami,12.14,Kael,BeryL,,,,
,,,,,,,Liiv SANDBOX,DRX,blue_side,red_side
