blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Jinx,Volibear,Ahri,Ryze,12.4,xiye,Forge,,,,
LeBlanc,Thresh,Aphelios,Xayah,12.4,Xing,Betty,,,,
Akali,Tahm Kench,Galio,Leona,12.4,Kedaya,Qiuqiu,,,,
,,,,,,,Team WE,Anyone s Legend,blue_side,red_side
Renekton,Gwen,Jayce,Tryndamere,12.4,Breathe,fearness,,,,
Ryze,Zeri,Volibear,Viego,12.4,WeiWei,Kui,,,,
Vex,Jinx,LeBlanc,Galio,12.4,FoFo,Jay,,,,
Camille,Renata Glasc,Aphelios,Ziggs,12.4,Doggo,Eric,,,,
Zoe,Nautilus,Tahm Kench,Leona,12.4,Crisp,jinjiao,,,,
,,,,,,,Bilibili Gaming,LGD Gaming,blue_side,red_side
Renata Glasc,Renekton,Gwen,Gnar,12.4,Garvey,Breathe,,,,
Jayce,Zeri,Volibear,Viego,12.4,Kui,WeiWei,,,,
Akali,Tahm Kench,LeBlanc,Azir,12.4,YeG,FoFo,,,,
Ryze,Rakan,Aphelios,Jinx,12.4,Eric,Doggo,,,,
Vex,Thresh,Nautilus,Leona,12.4,jinjiao,Crisp,,,,
,,,,,,,LGD Gaming,Bilibili Gaming,red_side,blue_side
Tryndamere,Zeri,Graves,Gwen,12.4,Rich,Xiaolaohu,,,,
Thresh,Hecarim,Volibear,Viego,12.4,Karsa,Clid,,,,
Xin Zhao,Lee Sin,Ahri,Sylas,12.4,RooKie,Care,,,,
Vex,Jayce,Miss Fortune,Jinx,12.4,Photic,Lwx,,,,
Tahm Kench,Gnar,Leona,Nautilus,12.4,Ppgod,Hang,,,,
,,,,,,,Victory Five,Funplus Phoenix,blue_side,red_side
Hecarim,Thresh,Gwen,Gnar,12.4,Xiaolaohu,Rich,,,,
Orianna,Xin Zhao,RekSai,Lee Sin,12.4,Clid,Karsa,,,,
Vex,Viego,Twisted Fate,Ahri,12.4,Care,RooKie,,,,
Jinx,Renata Glasc,Zeri,Kaisa,12.4,Lwx,Photic,,,,
Tristana,Alistar,Sett,Nautilus,12.4,Hang,Ppgod,,,,
,,,,,,,Funplus Phoenix,Victory Five,red_side,blue_side
Ryze,Zeri,Graves,Jax,12.4,Flandre,Cube,,,,
Tryndamere,Twisted Fate,Volibear,RekSai,12.4,Jiejie,Leyan,,,,
Hecarim,Tahm Kench,Vex,Viktor,12.4,Scout,Strive,,,,
Xin Zhao,Alistar,Jinx,Kaisa,12.4,Viper,iBOY,,,,
Ahri,Leona,Sett,Nautilus,12.4,meiko,yuyanjia,,,,
,,,,,,,Edward Gaming,Rare Atom,blue_side,red_side
Twisted Fate,Zeri,Renekton,Gnar,12.4,Cube,Flandre,,,,
Ryze,Hecarim,Nidalee,Volibear,12.4,Leyan,Jiejie,,,,
Gwen,Jinx,Corki,LeBlanc,12.4,Strive,Scout,,,,
Rakan,Ahri,Aphelios,Xayah,12.4,iBOY,Viper,,,,
Gragas,Thresh,Tahm Kench,Leona,12.4,yuyanjia,meiko,,,,
,,,,,,,Rare Atom,Edward Gaming,red_side,blue_side
Ahri,Lee Sin,Kennen,Camille,12.4,Aliez,Bin,,,,
Volibear,LeBlanc,Xin Zhao,RekSai,12.4,H4cker,Wei,,,,
Jayce,Gwen,Ryze,Galio,12.4,Cryin,xiaohu,,,,
Hecarim,Thresh,Jinx,Zeri,12.4,Elk,GALA,,,,
Jarvan IV,Tahm Kench,Alistar,Gragas,12.4,ShiauC,Ming,,,,
,,,,,,,Ultra Prime,Royal Never Give Up,red_side,blue_side
Jayce,Lee Sin,Kennen,Gnar,12.4,Aliez,Bin,,,,
Galio,Gwen,Jarvan IV,Volibear,12.4,H4cker,Wei,,,,
Ahri,LeBlanc,Ryze,Orianna,12.4,Cryin,xiaohu,,,,
Renata Glasc,Hecarim,Jinx,Zeri,12.4,Elk,GALA,,,,
Rakan,Xin Zhao,Tahm Kench,Nautilus,12.4,ShiauC,Ming,,,,
,,,,,,,Ultra Prime,Royal Never Give Up,red_side,blue_side
Gwen,Nidalee,Jayce,Sion,12.4,Zika,TheShy,,,,
Lee Sin,Zeri,Kindred,Viego,12.4,XUN,SofM,,,,
Xin Zhao,Hecarim,Ryze,Orianna,12.4,Yuekai,Angel,,,,
Gragas,Nautilus,Jinx,Aphelios,12.4,Wink,huanfeng,,,,
Rakan,Tryndamere,Leona,Thresh,12.4,Ke,ON,,,,
,,,,,,,Invictus Gaming,Weibo Gaming,red_side,blue_side
Gwen,Nidalee,Jayce,Malphite,12.4,Zika,TheShy,,,,
Lee Sin,Zeri,Volibear,Viego,12.4,XUN,SofM,,,,
Xin Zhao,Hecarim,Ahri,Twisted Fate,12.4,Yuekai,Angel,,,,
Tahm Kench,Nautilus,Aphelios,Jinx,12.4,Wink,huanfeng,,,,
Graves,Tryndamere,Yuumi,Renata Glasc,12.4,Ke,ON,,,,
,,,,,,,Invictus Gaming,Weibo Gaming,red_side,blue_side
Renekton,Gwen,Graves,Gnar,12.4,Wayward,Garvey,,,,
Ziggs,Zeri,Lee Sin,Viego,12.4,Tian,Shad0w,,,,
Akali,Jinx,Ahri,Ryze,12.4,Knight,Jay,,,,
Rakan,Jayce,Aphelios,Xayah,12.4,JackeyLove,Eric,,,,
Nautilus,Tryndamere,Sett,Leona,12.4,Mark,jinjiao,,,,
,,,,,,,Top Esports,LGD Gaming,blue_side,red_side
Jayce,Renekton,Gnar,Lucian,12.4,Garvey,Wayward,,,,
Gwen,Ziggs,Lee Sin,Hecarim,12.4,Shad0w,Tian,,,,
Ahri,Zeri,Galio,Ryze,12.4,Jay,Knight,,,,
Graves,Camille,Jinx,Aphelios,12.4,Eric,JackeyLove,,,,
Akali,Viego,Tahm Kench,Renata Glasc,12.4,jinjiao,Mark,,,,
,,,,,,,LGD Gaming,Top Esports,red_side,blue_side
Ryze,Volibear,Gwen,Gnar,12.4,Biubiu,New,,,,
Jayce,Rakan,Xin Zhao,Lee Sin,12.4,beishang,Chieftain,,,,
Jinx,Zeri,Orianna,Akali,12.4,xiye,Ucal,,,,
LeBlanc,Vex,Xayah,Aphelios,12.4,Xing,Puff,,,,
Ahri,Syndra,Leona,Tahm Kench,12.4,Kedaya,Southwind,,,,
,,,,,,,Team WE,TT,blue_side,red_side
Rakan,Gwen,Camille,Renekton,12.4,New,Biubiu,,,,
Volibear,Zeri,Hecarim,Viego,12.4,Moyan,beishang,,,,
Ryze,Xin Zhao,Ahri,LeBlanc,12.4,Ucal,xiye,,,,
Tryndamere,Vex,Jinx,Aphelios,12.4,Puff,Xing,,,,
Graves,Lissandra,Tahm Kench,Thresh,12.4,Southwind,Kedaya,,,,
,,,,,,,TT,Team WE,blue_side,red_side
Jayce,Volibear,Gwen,Gnar,12.4,Biubiu,New,,,,
Hecarim,Rakan,Xin Zhao,Viego,12.4,beishang,Moyan,,,,
Tahm Kench,Zeri,Ahri,Ryze,12.4,xiye,Ucal,,,,
Thresh,Orianna,Aphelios,Jinx,12.4,Xing,Puff,,,,
Camille,Nautilus,Leona,Lulu,12.4,Kedaya,Southwind,,,,
