blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Renata Glasc,Pyke,Jinx,Aphelios,12.5,Upset,Comp,,,,
Lee Sin,Gangplank,Thresh,Rakan,12.5,Hylissang,Trymbi,,,,
,,,,,,,Fnatic,Rogue,red_side,blue_side
Olaf,Hecarim,Gnar,Camille,12.5,Brokenblade,Alphari,,,,
Twisted Fate,Jinx,Viego,Xin Zhao,12.5,Jankos,Selfmade,,,,
Volibear,Renata Glasc,Lissandra,LeBlanc,12.5,Caps,Perkz,,,,
Lee Sin,Braum,Zeri,Aphelios,12.5,Flakked,Carzzy,,,,
Jayce,Yuumi,Rakan,Nautilus,12.5,Targamas,Labrov,,,,
,,,,,,,G2 Esports,Team Vitality,blue_side,red_side
Lucian,Zeri,Camille,Jax,12.5,Alphari,Brokenblade,,,,
LeBlanc,Twisted Fate,Hecarim,Volibear,12.5,Selfmade,Jankos,,,,
Karma,Gnar,Ahri,Sylas,12.5,Perkz,Caps,,,,
Jayce,Thresh,Aphelios,Jinx,12.5,Carzzy,Flakked,,,,
Tahm Kench,Renata Glasc,Zilean,Rakan,12.5,Labrov,Targamas,,,,
,,,,,,,Team Vitality,G2 Esports,red_side,blue_side
Lucian,Twisted Fate,Jayce,Irelia,12.5,Alphari,Brokenblade,,,,
LeBlanc,Zeri,Volibear,Viego,12.5,Selfmade,Jankos,,,,
Hecarim,Olaf,Akali,Ahri,12.5,Perkz,Caps,,,,
Jarvan IV,Thresh,Aphelios,Jinx,12.5,Carzzy,Flakked,,,,
Trundle,Sylas,Renata Glasc,Lulu,12.5,Labrov,Targamas,,,,
,,,,,,,Team Vitality,G2 Esports,red_side,blue_side
Diana,Zeri,Irelia,Gangplank,12.5,Finn,Alphari,,,,
Twisted Fate,Hecarim,Viego,Lee Sin,12.5,Markoon,Selfmade,,,,
Jayce,Corki,Lissandra,LeBlanc,12.5,Nukeduck,Perkz,,,,
Ezreal,Tryndamere,Jinx,Xayah,12.5,Patrik,Carzzy,,,,
Renata Glasc,Sion,Lulu,Nautilus,12.5,Mikyx,Labrov,,,,
,,,,,,,Excel Esports,Team Vitality,blue_side,red_side
Caitlyn,Twisted Fate,Gnar,Tryndamere,12.5,Alphari,Finn,,,,
Irelia,Hecarim,Olaf,Volibear,12.5,Selfmade,Markoon,,,,
LeBlanc,Nautilus,Viktor,Ryze,12.5,Perkz,Nukeduck,,,,
Corki,Camille,Zeri,Jinx,12.5,Carzzy,Patrik,,,,
Jayce,Malphite,Renata Glasc,Zilean,12.5,Labrov,Mikyx,,,,
,,,,,,,Team Vitality,Excel Esports,blue_side,red_side
Twisted Fate,Hecarim,Camille,Jax,12.5,Finn,Alphari,,,,
Diana,Zeri,Trundle,Volibear,12.5,Markoon,Selfmade,,,,
Renata Glasc,LeBlanc,Corki,Orianna,12.5,Nukeduck,Perkz,,,,
Rakan,Zilean,Jinx,Aphelios,12.5,Patrik,Carzzy,,,,
Jayce,Tahm Kench,Nautilus,Thresh,12.5,Mikyx,Labrov,,,,
,,,,,,,Excel Esports,Team Vitality,blue_side,red_side
Caitlyn,Hecarim,Gnar,Gangplank,12.5,Alphari,Finn,,,,
Irelia,Zeri,Volibear,Viego,12.5,Selfmade,Markoon,,,,
LeBlanc,Twisted Fate,Corki,Kaisa,12.5,Perkz,Nukeduck,,,,
Jayce,Rakan,Aphelios,Jinx,12.5,Carzzy,Patrik,,,,
Lulu,Renata Glasc,Tahm Kench,Nautilus,12.5,Labrov,Mikyx,,,,
,,,,,,,Team Vitality,Excel Esports,blue_side,red_side
Twisted Fate,Hecarim,Mordekaiser,Camille,12.5,Finn,Alphari,,,,
Volibear,Zeri,Xin Zhao,Olaf,12.5,Markoon,Selfmade,,,,
Kaisa,LeBlanc,Corki,Orianna,12.5,Nukeduck,Perkz,,,,
Gnar,Irelia,Caitlyn,Aphelios,12.5,Patrik,Carzzy,,,,
Jax,Tryndamere,Lux,Nautilus,12.5,Mikyx,Labrov,,,,
,,,,,,,Excel Esports,Team Vitality,red_side,blue_side
Lucian,Twisted Fate,Jayce,Yone,12.5,Wunder,Brokenblade,,,,
Irelia,Caitlyn,Viego,Lee Sin,12.5,Razork,Jankos,,,,
Hecarim,Jinx,LeBlanc,Lissandra,12.5,Humanoid,Caps,,,,
Vex,Gnar,Zeri,Aphelios,12.5,Upset,Flakked,,,,
Camille,Yuumi,Renata Glasc,Nautilus,12.5,Hylissang,Targamas,,,,
,,,,,,,Fnatic,G2 Esports,blue_side,red_side
Caitlyn,Lucian,Gnar,Ornn,12.5,Brokenblade,Wunder,,,,
Twisted Fate,Volibear,Hecarim,Viego,12.5,Jankos,Razork,,,,
Zeri,Jinx,Karma,LeBlanc,12.5,Caps,Humanoid,,,,
Renata Glasc,Vex,Aphelios,Xayah,12.5,Flakked,Upset,,,,
Jayce,Lissandra,Braum,Nautilus,12.5,Targamas,Hylissang,,,,
,,,,,,,G2 Esports,Fnatic,blue_side,red_side
Lucian,Twisted Fate,Camille,Gnar,12.5,Wunder,Brokenblade,,,,
Irelia,Caitlyn,Volibear,Lee Sin,12.5,Razork,Jankos,,,,
Hecarim,Jinx,LeBlanc,Ahri,12.5,Humanoid,Caps,,,,
Lissandra,Jayce,Zeri,Aphelios,12.5,Upset,Flakked,,,,
Trundle,Renata Glasc,Braum,Nautilus,12.5,Hylissang,Targamas,,,,
,,,,,,,Fnatic,G2 Esports,blue_side,red_side
Twisted Fate,Lucian,Camille,Gnar,12.5,Brokenblade,Wunder,,,,
Caitlyn,Hecarim,Trundle,Volibear,12.5,Jankos,Razork,,,,
Zeri,Jinx,Orianna,LeBlanc,12.5,Caps,Humanoid,,,,
Jayce,Irelia,Aphelios,Xayah,12.5,Flakked,Upset,,,,
Renata Glasc,Aatrox,Rakan,Zilean,12.5,Targamas,Hylissang,,,,
,,,,,,,G2 Esports,Fnatic,red_side,blue_side
Nautilus,Twisted Fate,Rumble,Gnar,12.5,Odoamne,HiRit,,,,
Jinx,Viktor,Jarvan IV,Xin Zhao,12.5,Malrang,Shlatan,,,,
Lee Sin,Hecarim,Lucian,Zoe,12.5,Larssen,Vetheo,,,,
LeBlanc,Ryze,Caitlyn,Zeri,12.5,Comp,Neon,,,,
Syndra,Kennen,Lux,Leona,12.5,Trymbi,Mersa,,,,
,,,,,,,Rogue,Misfits Gaming,blue_side,red_side
Twisted Fate,Jinx,Camille,Jayce,12.5,HiRit,Odoamne,,,,
Viktor,Zeri,Lee Sin,Volibear,12.5,Shlatan,Malrang,,,,
Caitlyn,Hecarim,Syndra,Azir,12.5,Vetheo,Larssen,,,,
LeBlanc,Lucian,Xayah,Aphelios,12.5,Neon,Comp,,,,
Tahm Kench,Gnar,Nautilus,Rakan,12.5,Mersa,Trymbi,,,,
,,,,,,,Misfits Gaming,Rogue,red_side,blue_side
Twisted Fate,Jinx,Camille,Jayce,12.5,HiRit,Odoamne,,,,
Viktor,Zeri,Lee Sin,Jarvan IV,12.5,Shlatan,Malrang,,,,
Caitlyn,Hecarim,LeBlanc,Kaisa,12.5,Vetheo,Larssen,,,,
Ryze,Leona,Xayah,Aphelios,12.5,Neon,Comp,,,,
Poppy,Lucian,Rakan,Nautilus,12.5,Mersa,Trymbi,,,,
,,,,,,,Misfits Gaming,Rogue,blue_side,red_side
Jinx,Viktor,Gnar,Kennen,12.5,Odoamne,HiRit,,,,
Nautilus,Caitlyn,Jarvan IV,Hecarim,12.5,Malrang,Shlatan,,,,
LeBlanc,Twisted Fate,Orianna,Akali,12.5,Larssen,Vetheo,,,,
Camille,Leona,Zeri,Xayah,12.5,Comp,Neon,,,,
Jayce,Azir,Yuumi,Rakan,12.5,Trymbi,Mersa,,,,
,,,,,,,Rogue,Misfits Gaming,blue_side,red_side
