blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Fiora,Ornn,Yuumi,Renata Glasc,12.15,Huhi,Zven,,,,
,,,,,,,100 Thieves,Cloud9,red_side,blue_side
Sejuani,Senna,Gwen,Ornn,12.15,ssumday,Fudge,,,,
LeBlanc,Azir,Poppy,Wukong,12.15,Closer,Blaber,,,,
Lulu,Vi,Taliyah,Anivia,12.15,Abbedagge,Jensen,,,,
Kennen,Renekton,Kalista,Aphelios,12.15,FBI,Berserker,,,,
Zilean,Aatrox,Amumu,Renata Glasc,12.15,Huhi,Zven,,,,
,,,,,,,100 Thieves,Cloud9,blue_side,red_side
Senna,Sejuani,Gnar,Aatrox,12.15,Fudge,ssumday,,,,
Vi,Yuumi,Poppy,Wukong,12.15,Blaber,Closer,,,,
Azir,Kalista,LeBlanc,Ahri,12.15,Jensen,Abbedagge,,,,
Renekton,Kennen,Zeri,Lucian,12.15,Berserker,FBI,,,,
Taliyah,Anivia,Lulu,Nami,12.15,Zven,Huhi,,,,
,,,,,,,Cloud9,100 Thieves,blue_side,red_side
Sejuani,Senna,Aatrox,Camille,12.15,ssumday,Fudge,,,,
LeBlanc,Kalista,Wukong,Trundle,12.15,Closer,Blaber,,,,
Kennen,Sivir,Seraphine,Azir,12.15,Abbedagge,Jensen,,,,
Poppy,Taliyah,Zeri,Nilah,12.15,FBI,Berserker,,,,
Fiora,Renekton,Lulu,Yuumi,12.15,Huhi,Zven,,,,
,,,,,,,100 Thieves,Cloud9,red_side,blue_side
Kalista,Zeri,Aatrox,Ornn,12.15,Impact,solo,,,,
Sivir,Sylas,Trundle,Wukong,12.15,Inspired,Spica,,,,
Vi,Seraphine,Ahri,Azir,12.15,jojopyun,Maple,,,,
Yuumi,Tahm Kench,Ezreal,Xayah,12.15,Danny,Tactical,,,,
Lucian,Lulu,Rakan,Janna,12.15,Vulcan,Chime,,,,
,,,,,,,Evil Geniuses,TSM,red_side,blue_side
Kalista,Zeri,Aatrox,Sion,12.15,Impact,solo,,,,
Vi,Sylas,Sejuani,Wukong,12.15,Inspired,Spica,,,,
Ahri,Azir,Renekton,Swain,12.15,jojopyun,Maple,,,,
Ornn,Senna,Seraphine,Sivir,12.15,Danny,Tactical,,,,
Gnar,Yone,Alistar,Yuumi,12.15,Vulcan,Chime,,,,
,,,,,,,Evil Geniuses,TSM,blue_side,red_side
Zeri,Kalista,Aatrox,Renekton,12.15,solo,Impact,,,,
Sylas,Seraphine,Vi,Lee Sin,12.15,Spica,Inspired,,,,
Wukong,Azir,Ahri,Lissandra,12.15,Maple,jojopyun,,,,
Trundle,Yuumi,Sivir,Tahm Kench,12.15,Tactical,Vulcan,,,,
Nocturne,Ornn,Rakan,Senna,12.15,Chime,Danny,,,,
,,,,,,,TSM,Evil Geniuses,red_side,blue_side
Kalista,Zeri,Jax,Ornn,12.15,Impact,solo,,,,
Wukong,Sylas,Sejuani,Xin Zhao,12.15,Inspired,Spica,,,,
Ahri,Renekton,Yone,Azir,12.15,jojopyun,Maple,,,,
Yuumi,Aatrox,Seraphine,Sivir,12.15,Danny,Tactical,,,,
Lulu,Senna,Nautilus,Renata Glasc,12.15,Vulcan,Chime,,,,
,,,,,,,Evil Geniuses,TSM,red_side,blue_side
Kalista,Zeri,Aatrox,Ornn,12.15,Impact,solo,,,,
Wukong,Sylas,Trundle,Xin Zhao,12.15,Inspired,Spica,,,,
Azir,Renekton,Swain,Ahri,12.15,jojopyun,Maple,,,,
Yuumi,Senna,Seraphine,Sivir,12.15,Danny,Tactical,,,,
Lulu,LeBlanc,Tahm Kench,Renata Glasc,12.15,Vulcan,Chime,,,,
,,,,,,,Evil Geniuses,TSM,blue_side,red_side
Yone,Trundle,Jax,Aatrox,12.15,Bwipo,Dhokla,,,,
Poppy,Kalista,Vi,Wukong,12.15,Santorin,Contractz,,,,
Sivir,Draven,Sylas,Galio,12.15,Bjergsen,Palafox,,,,
Fiora,Olaf,Seraphine,Zeri,12.15,Hans Sama,Luger,,,,
Renekton,Xin Zhao,Nautilus,Yuumi,12.15,CoreJJ,Poome,,,,
,,,,,,,Team Liquid,CLG,red_side,blue_side
