champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Nunu & Willump,130,91,665,535,1601,70.0,4.24,5.12,4.12,12.32,2025-05-09 16:08:30
Volibear,159,101,941,751,1467,63.52,3.21,5.92,4.72,9.23,2025-05-09 16:08:30
Sejuani,80,33,301,381,813,41.25,2.92,3.76,4.76,10.16,2025-05-09 16:08:30
Naafiri,365,181,2760,1648,2740,49.59,3.34,7.56,4.52,7.51,2025-05-09 16:08:30
Nidalee,498,228,2425,2481,4334,45.78,2.72,4.87,4.98,8.7,2025-05-09 16:08:30
Hecarim,123,50,771,679,915,40.65,2.48,6.27,5.52,7.44,2025-05-09 16:08:30
Jarvan Iv,77,28,362,390,808,36.36,3.0,4.7,5.06,10.49,2025-05-09 16:08:30
Vi,268,145,1595,1274,2413,54.1,3.15,5.95,4.75,9.0,2025-05-09 16:08:30
Viktor,225,105,921,1107,1362,46.67,2.06,4.09,4.92,6.05,2025-05-09 16:08:30
Ekko,114,54,881,578,725,47.37,2.78,7.73,5.07,6.36,2025-05-09 16:08:30
Aurora,184,94,1249,941,1230,51.09,2.63,6.79,5.11,6.68,2025-05-09 16:08:30
Sylas,399,197,2513,2274,2582,49.37,2.24,6.3,5.7,6.47,2025-05-09 16:08:30
Ryze,195,101,1042,865,1132,51.79,2.51,5.34,4.44,5.81,2025-05-09 16:08:30
Irelia,186,99,1099,1162,821,53.23,1.65,5.91,6.25,4.41,2025-05-09 16:08:30
Aurelion Sol,82,38,564,400,610,46.34,2.94,6.88,4.88,7.44,2025-05-09 16:08:30
Yone,328,159,1658,1881,1797,48.48,1.84,5.05,5.73,5.48,2025-05-09 16:08:30
Syndra,139,77,776,627,863,55.4,2.61,5.58,4.51,6.21,2025-05-09 16:08:30
Azir,221,102,1101,1160,1238,46.15,2.02,4.98,5.25,5.6,2025-05-09 16:08:30
Vex,24,12,116,158,138,50.0,1.61,4.83,6.58,5.75,2025-05-09 16:08:30
Zed,382,183,2989,2022,2153,47.91,2.54,7.82,5.29,5.64,2025-05-09 16:08:30
Katarina,78,37,632,475,402,47.44,2.18,8.1,6.09,5.15,2025-05-09 16:08:30
Ambessa,365,182,2101,1806,2061,49.86,2.3,5.76,4.95,5.65,2025-05-09 16:08:30
Orianna,110,53,534,549,936,48.18,2.68,4.85,4.99,8.51,2025-05-09 16:08:30
Akali,157,76,1088,673,691,48.41,2.64,6.93,4.29,4.4,2025-05-09 16:08:30
Ezreal,423,218,2746,2248,2916,51.54,2.52,6.49,5.31,6.89,2025-05-09 16:08:30
Miss Fortune,252,130,1586,1377,1786,51.59,2.45,6.29,5.46,7.09,2025-05-09 16:08:30
Taliyah,224,119,1250,1213,1852,53.12,2.56,5.58,5.42,8.27,2025-05-09 16:08:30
Ahri,205,112,1114,886,1564,54.63,3.02,5.43,4.32,7.63,2025-05-09 16:08:30
Zeri,108,44,739,617,595,40.74,2.16,6.84,5.71,5.51,2025-05-09 16:08:30
Jinx,160,99,1192,829,1101,61.88,2.77,7.45,5.18,6.88,2025-05-09 16:08:30
Mordekaiser,30,17,178,160,149,56.67,2.04,5.93,5.33,4.97,2025-05-09 16:08:30
Yorick,144,78,584,666,601,54.17,1.78,4.06,4.62,4.17,2025-05-09 16:08:30
Ashe,392,211,2094,2225,3315,53.83,2.43,5.34,5.68,8.46,2025-05-09 16:08:30
Corki,337,155,2119,1821,2192,45.99,2.37,6.29,5.4,6.5,2025-05-09 16:08:30
Lucian,460,224,3442,2619,2910,48.7,2.43,7.48,5.69,6.33,2025-05-09 16:08:30
Kaisa,378,184,2724,2162,2305,48.68,2.33,7.21,5.72,6.1,2025-05-09 16:08:30
Annie,211,101,1158,1212,1658,47.87,2.32,5.49,5.74,7.86,2025-05-09 16:08:30
Xin Zhao,279,145,1693,1490,2476,51.97,2.8,6.07,5.34,8.87,2025-05-09 16:08:30
Rengar,89,43,595,477,481,48.31,2.26,6.69,5.36,5.4,2025-05-09 16:08:30
Smolder,136,69,799,747,796,50.74,2.14,5.88,5.49,5.85,2025-05-09 16:08:30
Tristana,294,136,1839,1475,1348,46.26,2.16,6.26,5.02,4.59,2025-05-09 16:08:30
Jhin,491,247,3268,2282,3913,50.31,3.15,6.66,4.65,7.97,2025-05-09 16:08:30
Varus,459,248,3061,2515,3171,54.03,2.48,6.67,5.48,6.91,2025-05-09 16:08:30
Sivir,106,54,614,582,864,50.94,2.54,5.79,5.49,8.15,2025-05-09 16:08:30
Caitlyn,162,69,917,785,821,42.59,2.21,5.66,4.85,5.07,2025-05-09 16:08:30
Jax,174,83,869,917,854,47.7,1.88,4.99,5.27,4.91,2025-05-09 16:08:30
Riven,338,193,2217,1886,1707,57.1,2.08,6.56,5.58,5.05,2025-05-09 16:08:30
Draven,105,61,815,692,619,58.1,2.07,7.76,6.59,5.9,2025-05-09 16:08:30
KogMaw,61,30,421,379,379,49.18,2.11,6.9,6.21,6.21,2025-05-09 16:08:30
Mel,341,179,2743,1665,2006,52.49,2.85,8.04,4.88,5.88,2025-05-09 16:08:30
Fiora,140,70,726,767,472,50.0,1.56,5.19,5.48,3.37,2025-05-09 16:08:30
Shen,261,136,1064,1145,2382,52.11,3.01,4.08,4.39,9.13,2025-05-09 16:08:30
