champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Nunu & Willump,47,22,254,265,552,46.81,3.04,5.4,5.64,11.74,2025-05-09 16:08:30
Qiyana,160,82,1206,850,926,51.25,2.51,7.54,5.31,5.79,2025-05-09 16:08:30
Udyr,48,25,245,212,360,52.08,2.85,5.1,4.42,7.5,2025-05-09 16:08:30
Vi,172,89,1015,828,1419,51.74,2.94,5.9,4.81,8.25,2025-05-09 16:08:30
KhaZix,76,35,576,366,412,46.05,2.7,7.58,4.82,5.42,2025-05-09 16:08:30
Zed,274,135,2028,1484,1575,49.27,2.43,7.4,5.42,5.75,2025-05-09 16:08:30
Ezreal,238,111,1334,1184,1543,46.64,2.43,5.61,4.97,6.48,2025-05-09 16:08:30
Vladimir,158,82,862,713,772,51.9,2.29,5.46,4.51,4.89,2025-05-09 16:08:30
Jayce,244,126,1371,1297,1466,51.64,2.19,5.62,5.32,6.01,2025-05-09 16:08:30
Gwen,232,126,1616,1352,1142,54.31,2.04,6.97,5.83,4.92,2025-05-09 16:08:30
Ambessa,280,149,1492,1278,1439,53.21,2.29,5.33,4.56,5.14,2025-05-09 16:08:30
Fiora,96,40,446,580,365,41.67,1.4,4.65,6.04,3.8,2025-05-09 16:08:30
Irelia,122,64,699,752,587,52.46,1.71,5.73,6.16,4.81,2025-05-09 16:08:30
Gangplank,99,44,575,566,491,44.44,1.88,5.81,5.72,4.96,2025-05-09 16:08:30
Azir,178,92,912,972,1040,51.69,2.01,5.12,5.46,5.84,2025-05-09 16:08:30
Aatrox,131,53,641,722,676,40.46,1.82,4.89,5.51,5.16,2025-05-09 16:08:30
KSante,88,49,322,367,530,55.68,2.32,3.66,4.17,6.02,2025-05-09 16:08:30
Naafiri,236,122,1837,1138,1687,51.69,3.1,7.78,4.82,7.15,2025-05-09 16:08:30
Urgot,118,57,675,641,548,48.31,1.91,5.72,5.43,4.64,2025-05-09 16:08:30
Gnar,76,36,365,399,389,47.37,1.89,4.8,5.25,5.12,2025-05-09 16:08:30
Kayle,90,47,540,460,498,52.22,2.26,6.0,5.11,5.53,2025-05-09 16:08:30
Aurora,249,140,1672,1132,1571,56.22,2.86,6.71,4.55,6.31,2025-05-09 16:08:30
Jax,122,64,628,571,575,52.46,2.11,5.15,4.68,4.71,2025-05-09 16:08:30
Warwick,37,17,275,262,255,45.95,2.02,7.43,7.08,6.89,2025-05-09 16:08:30
Yone,183,89,860,1026,881,48.63,1.7,4.7,5.61,4.81,2025-05-09 16:08:30
Riven,147,72,851,859,689,48.98,1.79,5.79,5.84,4.69,2025-05-09 16:08:30
Anivia,51,29,192,209,396,56.86,2.81,3.76,4.1,7.76,2025-05-09 16:08:30
Yasuo,158,71,801,975,785,44.94,1.63,5.07,6.17,4.97,2025-05-09 16:08:30
Pantheon,217,110,1304,1285,1835,50.69,2.44,6.01,5.92,8.46,2025-05-09 16:08:30
Fiddlesticks,49,24,235,280,521,48.98,2.7,4.8,5.71,10.63,2025-05-09 16:08:30
Zyra,80,38,342,405,825,47.5,2.88,4.28,5.06,10.31,2025-05-09 16:08:30
Volibear,116,63,678,674,857,54.31,2.28,5.84,5.81,7.39,2025-05-09 16:08:30
Xin Zhao,96,51,650,522,912,53.12,2.99,6.77,5.44,9.5,2025-05-09 16:08:30
Karthus,58,31,413,356,465,53.45,2.47,7.12,6.14,8.02,2025-05-09 16:08:30
Taliyah,141,76,857,757,1180,53.9,2.69,6.08,5.37,8.37,2025-05-09 16:08:30
Diana,56,15,289,328,267,26.79,1.7,5.16,5.86,4.77,2025-05-09 16:08:30
Lee Sin,185,91,1312,936,1526,49.19,3.03,7.09,5.06,8.25,2025-05-09 16:08:30
Rakan,132,55,168,702,1818,41.67,2.83,1.27,5.32,13.77,2025-05-09 16:08:30
Nautilus,227,109,449,1417,2887,48.02,2.35,1.98,6.24,12.72,2025-05-09 16:08:30
Lucian,203,103,1400,1004,1248,50.74,2.64,6.9,4.95,6.15,2025-05-09 16:08:30
Swain,52,22,243,287,482,42.31,2.53,4.67,5.52,9.27,2025-05-09 16:08:30
Sona,115,58,246,547,1499,50.43,3.19,2.14,4.76,13.03,2025-05-09 16:08:30
Tristana,230,107,1634,1204,1179,46.52,2.34,7.1,5.23,5.13,2025-05-09 16:08:30
Miss Fortune,76,43,535,371,568,56.58,2.97,7.04,4.88,7.47,2025-05-09 16:08:30
Draven,52,31,371,328,310,59.62,2.08,7.13,6.31,5.96,2025-05-09 16:08:30
Kaisa,231,111,1694,1205,1479,48.05,2.63,7.33,5.22,6.4,2025-05-09 16:08:30
Nami,208,102,298,977,3160,49.04,3.54,1.43,4.7,15.19,2025-05-09 16:08:30
Camille,112,47,616,614,606,41.96,1.99,5.5,5.48,5.41,2025-05-09 16:08:30
Pyke,94,48,567,580,941,51.06,2.6,6.03,6.17,10.01,2025-05-09 16:08:30
Janna,109,50,179,495,1537,45.87,3.47,1.64,4.54,14.1,2025-05-09 16:08:30
Smolder,148,69,844,825,922,46.62,2.14,5.7,5.57,6.23,2025-05-09 16:08:30
Sivir,29,18,191,136,226,62.07,3.07,6.59,4.69,7.79,2025-05-09 16:08:30
Rell,168,87,305,940,2585,51.79,3.07,1.82,5.6,15.39,2025-05-09 16:08:30
Corki,215,108,1467,1256,1407,50.23,2.29,6.82,5.84,6.54,2025-05-09 16:08:30
Jhin,189,108,1423,927,1437,57.14,3.09,7.53,4.9,7.6,2025-05-09 16:08:30
Kennen,99,51,603,541,642,51.52,2.3,6.09,5.46,6.48,2025-05-09 16:08:30
Akshan,49,24,433,267,254,48.98,2.57,8.84,5.45,5.18,2025-05-09 16:08:30
Sylas,193,99,1277,1065,1385,51.3,2.5,6.62,5.52,7.18,2025-05-09 16:08:30
Twisted Fate,41,14,136,201,313,34.15,2.23,3.32,4.9,7.63,2025-05-09 16:08:30
