name,percentage,id,patch
Graves,100,29,10.10
Syndra,100,88,10.10
Sett,100,148,10.10
Thresh,88,92,10.10
Varus,88,100,10.10
Ornn,88,138,10.10
Lee Sin,75,47,10.10
LeBlanc,63,46,10.10
Soraka,63,86,10.10
Cassiopeia,50,12,10.10
Gangplank,50,26,10.10
Maokai,50,55,10.10
Trundle,50,94,10.10
Kalista,50,121,10.10
Zoe,50,139,10.10
Aphelios,50,147,10.10
Karthus,38,39,10.10
Mordekaiser,38,58,10.10
Renekton,38,72,10.10
Taric,38,90,10.10
Azir,38,120,10.10
Akali,25,3,10.10
Ashe,25,8,10.10
Ezreal,25,21,10.10
Fiora,25,23,10.10
Gragas,25,28,10.10
Jarvan IV,25,34,10.10
Lulu,25,51,10.10
Miss Fortune,25,57,10.10
Nautilus,25,62,10.10
Pantheon,25,68,10.10
Sejuani,25,77,10.10
Wukong,25,108,10.10
RekSai,25,122,10.10
Kled,25,132,10.10
Yuumi,25,144,10.10
Blitzcrank,13,9,10.10
Corki,13,14,10.10
Diana,13,16,10.10
Draven,13,18,10.10
Elise,13,19,10.10
Irelia,13,32,10.10
Karma,13,38,10.10
KhaZix,13,44,10.10
Leona,13,48,10.10
Lucian,13,50,10.10
Lux,13,52,10.10
Nidalee,13,63,10.10
Rumble,13,75,10.10
Ryze,13,76,10.10
Urgot,13,99,10.10
Vladimir,13,105,10.10
Xerath,13,109,10.10
Zac,13,113,10.10
Ziggs,13,115,10.10
Braum,13,118,10.10
Ekko,13,125,10.10
Kindred,13,127,10.10
Kaisa,13,140,10.10
Sylas,13,143,10.10
Qiyana,13,145,10.10
Varus,99,100,10.11
Syndra,91,88,10.11
Aphelios,83,147,10.11
Ezreal,78,21,10.11
Graves,78,29,10.11
Trundle,78,94,10.11
Kalista,75,121,10.11
Ornn,72,138,10.11
Sett,72,148,10.11
Thresh,70,92,10.11
Yuumi,64,144,10.11
Wukong,61,108,10.11
Karma,58,38,10.11
LeBlanc,54,46,10.11
Zoe,52,139,10.11
Nautilus,51,62,10.11
Azir,48,120,10.11
Lee Sin,45,47,10.11
Renekton,41,72,10.11
Nidalee,35,63,10.11
Aatrox,34,1,10.11
Galio,27,25,10.11
Jarvan IV,26,34,10.11
Senna,26,146,10.11
Orianna,25,67,10.11
Twisted Fate,25,96,10.11
Olaf,23,66,10.11
Miss Fortune,21,57,10.11
Bard,21,124,10.11
Corki,20,14,10.11
Lulu,20,51,10.11
Mordekaiser,20,58,10.11
Ekko,19,125,10.11
Gangplank,18,26,10.11
Jayce,17,36,10.11
Kassadin,17,40,10.11
Leona,14,48,10.11
Kindred,14,127,10.11
Braum,13,118,10.11
RekSai,13,122,10.11
Camille,13,134,10.11
Ashe,11,8,10.11
Cassiopeia,11,12,10.11
Soraka,11,86,10.11
Sylas,11,143,10.11
Maokai,10,55,10.11
Malphite,9,53,10.11
Pantheon,9,68,10.11
Elise,8,19,10.11
Gragas,8,28,10.11
Kaisa,8,140,10.11
Akali,7,3,10.11
Blitzcrank,7,9,10.11
Fiddlesticks,7,22,10.11
Rumble,7,75,10.11
Yasuo,7,111,10.11
Tahm Kench,7,126,10.11
Irelia,6,32,10.11
Taric,6,90,10.11
Kayle,5,42,10.11
Lucian,5,50,10.11
Vladimir,5,105,10.11
Diana,4,16,10.11
Hecarim,4,30,10.11
Shyvana,4,80,10.11
Viktor,4,104,10.11
Ziggs,4,115,10.11
Draven,3,18,10.11
Kennen,3,43,10.11
Lissandra,3,49,10.11
Poppy,3,69,10.11
Sion,3,82,10.11
Sivir,3,83,10.11
Urgot,3,99,10.11
Rakan,3,136,10.11
Kayn,3,137,10.11
Darius,2,15,10.11
Fiora,2,23,10.11
KhaZix,2,44,10.11
KogMaw,2,45,10.11
Nocturne,2,64,10.11
Vayne,2,101,10.11
Zilean,2,116,10.11
VelKoz,2,123,10.11
Taliyah,2,131,10.11
Ahri,1,2,10.11
Alistar,1,4,10.11
Caitlyn,1,11,10.11
Chogath,1,13,10.11
Heimerdinger,1,31,10.11
Janna,1,33,10.11
Jax,1,35,10.11
Jinx,1,37,10.11
Karthus,1,39,10.11
Katarina,1,41,10.11
Lux,1,52,10.11
Malzahar,1,54,10.11
Morgana,1,59,10.11
Quinn,1,70,10.11
Ryze,1,76,10.11
Sejuani,1,77,10.11
Shen,1,79,10.11
Talon,1,89,10.11
Tristana,1,93,10.11
Twitch,1,97,10.11
