name,percentage,id,patch
Darius,2,15,11.2
Dr. Mundo,2,17,11.2
Kassadin,2,40,11.2
Maokai,2,55,11.2
Mordekaiser,2,58,11.2
Morgana,2,59,11.2
Quinn,2,70,11.2
Sejuani,2,77,11.2
Zilean,2,116,11.2
Bard,2,124,11.2
Corki,1,14,11.2
Draven,1,18,11.2
Evelynn,1,20,11.2
Fizz,1,24,11.2
Janna,1,33,11.2
KogMaw,1,45,11.2
Lee Sin,1,47,11.2
Nunu,1,65,11.2
Poppy,1,69,11.2
Rengar,1,73,11.2
Riven,1,74,11.2
Soraka,1,86,11.2
Swain,1,87,11.2
Taric,1,90,11.2
Trundle,1,94,11.2
Urgot,1,99,11.2
Varus,1,100,11.2
Vladimir,1,105,11.2
Xin Zhao,1,110,11.2
Yorick,1,112,11.2
Zed,1,114,11.2
Ziggs,1,115,11.2
RekSai,1,122,11.2
VelKoz,1,123,11.2
Kled,1,132,11.2
Kayn,1,137,11.2
Neeko,1,142,11.2
Qiyana,1,145,11.2
Ahri,0,2,11.2
Annie,0,7,11.2
Caitlyn,0,11,11.2
Diana,0,16,11.2
Heimerdinger,0,31,11.2
Lux,0,52,11.2
Malzahar,0,54,11.2
Nasus,0,61,11.2
Shyvana,0,80,11.2
Sivir,0,83,11.2
Teemo,0,91,11.2
Twitch,0,97,11.2
Veigar,0,102,11.2
Zac,0,113,11.2
Zyra,0,117,11.2
Illaoi,0,128,11.2
Aurelion Sol,0,130,11.2
Pyke,0,141,11.2
Yuumi,0,144,11.2
Udyr,91,98,11.3
Kaisa,90,140,11.3
Rell,83,153,11.3
Seraphine,77,152,11.3
Azir,70,120,11.3
Lillia,69,149,11.3
Gnar,67,119,11.3
Renekton,65,72,11.3
Thresh,64,92,11.3
Camille,64,134,11.3
Alistar,58,4,11.3
Gragas,55,28,11.3
Olaf,53,66,11.3
Orianna,51,67,11.3
Senna,44,146,11.3
Graves,41,29,11.3
Hecarim,41,30,11.3
Syndra,41,88,11.3
Xayah,36,135,11.3
Samira,35,151,11.3
Galio,32,25,11.3
Nidalee,31,63,11.3
Twisted Fate,31,96,11.3
Zoe,30,139,11.3
Aphelios,29,147,11.3
Lucian,28,50,11.3
Aatrox,26,1,11.3
Gangplank,25,26,11.3
Tristana,24,93,11.3
Viktor,24,104,11.3
Leona,23,48,11.3
Jayce,22,36,11.3
Irelia,21,32,11.3
Skarner,21,84,11.3
Yone,20,150,11.3
Nautilus,19,62,11.3
Sion,19,82,11.3
Taliyah,17,131,11.3
Kalista,16,121,11.3
Sett,16,148,11.3
Ryze,15,76,11.3
Rakan,15,136,11.3
Ornn,15,138,11.3
Ezreal,14,21,11.3
Volibear,12,106,11.3
Jarvan IV,11,34,11.3
Tahm Kench,11,126,11.3
Jhin,11,129,11.3
Malphite,10,53,11.3
Miss Fortune,10,57,11.3
Vayne,10,101,11.3
Ekko,9,125,11.3
Karma,8,38,11.3
Sylas,8,143,11.3
Corki,7,14,11.3
Karthus,7,39,11.3
Kayn,7,137,11.3
Ashe,6,8,11.3
Wukong,6,108,11.3
Cassiopeia,5,12,11.3
LeBlanc,5,46,11.3
Lulu,5,51,11.3
Nocturne,5,64,11.3
Shen,5,79,11.3
Dr. Mundo,4,17,11.3
Pantheon,4,68,11.3
Rumble,4,75,11.3
Braum,4,118,11.3
Ivern,4,133,11.3
Akali,3,3,11.3
Anivia,3,6,11.3
Blitzcrank,3,9,11.3
Fiora,3,23,11.3
Jax,3,35,11.3
Kassadin,3,40,11.3
Kennen,3,43,11.3
KhaZix,3,44,11.3
Riven,3,74,11.3
Sivir,3,83,11.3
Kindred,3,127,11.3
Chogath,2,13,11.3
Darius,2,15,11.3
Draven,2,18,11.3
Elise,2,19,11.3
Mordekaiser,2,58,11.3
Morgana,2,59,11.3
Quinn,2,70,11.3
Urgot,2,99,11.3
Varus,2,100,11.3
Vladimir,2,105,11.3
Yasuo,2,111,11.3
RekSai,2,122,11.3
Bard,2,124,11.3
Ahri,1,2,11.3
Evelynn,1,20,11.3
Garen,1,27,11.3
Heimerdinger,1,31,11.3
Janna,1,33,11.3
Jinx,1,37,11.3
Lee Sin,1,47,11.3
Maokai,1,55,11.3
Nunu,1,65,11.3
Poppy,1,69,11.3
Shyvana,1,80,11.3
Soraka,1,86,11.3
Swain,1,87,11.3
Taric,1,90,11.3
Trundle,1,94,11.3
Veigar,1,102,11.3
Xerath,1,109,11.3
Xin Zhao,1,110,11.3
Zed,1,114,11.3
Ziggs,1,115,11.3
Zilean,1,116,11.3
VelKoz,1,123,11.3
Illaoi,1,128,11.3
Aurelion Sol,1,130,11.3
Kled,1,132,11.3
Pyke,1,141,11.3
Neeko,1,142,11.3
Yuumi,1,144,11.3
Qiyana,1,145,11.3
Annie,0,7,11.3
Diana,0,16,11.3
Kayle,0,42,11.3
Lux,0,52,11.3
Malzahar,0,54,11.3
Nami,0,60,11.3
Nasus,0,61,11.3
Rengar,0,73,11.3
Sejuani,0,77,11.3
Teemo,0,91,11.3
Twitch,0,97,11.3
Yorick,0,112,11.3
Zyra,0,117,11.3
Udyr,92,98,11.4
Seraphine,86,152,11.4
Rell,84,153,11.4
Thresh,76,92,11.4
Lillia,74,149,11.4
Gnar,73,119,11.4
Azir,73,120,11.4
Kaisa,73,140,11.4
Hecarim,61,30,11.4
Olaf,53,66,11.4
Orianna,52,67,11.4
Tristana,52,93,11.4
Senna,52,146,11.4
Camille,50,134,11.4
Gragas,49,28,11.4
Renekton,47,72,11.4
Alistar,43,4,11.4
Syndra,41,88,11.4
Xayah,35,135,11.4
Sion,32,82,11.4
Graves,29,29,11.4
Lucian,29,50,11.4
Aatrox,28,1,11.4
Viktor,27,104,11.4
Twisted Fate,26,96,11.4
Galio,25,25,11.4
Skarner,25,84,11.4
Jayce,22,36,11.4
Nautilus,22,62,11.4
Caitlyn,21,11,11.4
Gangplank,21,26,11.4
Irelia,21,32,11.4
Nidalee,21,63,11.4
Ryze,20,76,11.4
Zoe,20,139,11.4
Leona,19,48,11.4
Jinx,18,37,11.4
Yone,17,150,11.4
Kalista,16,121,11.4
Jhin,16,129,11.4
Rakan,16,136,11.4
Aphelios,16,147,11.4
Ezreal,14,21,11.4
Karma,14,38,11.4
Ornn,14,138,11.4
Tahm Kench,12,126,11.4
Sett,12,148,11.4
Jarvan IV,11,34,11.4
Malphite,10,53,11.4
Volibear,9,106,11.4
Morgana,8,59,11.4
Vayne,8,101,11.4
Corki,7,14,11.4
Nocturne,7,64,11.4
Ekko,7,125,11.4
Sylas,7,143,11.4
Dr. Mundo,6,17,11.4
Karthus,6,39,11.4
Shen,6,79,11.4
Varus,6,100,11.4
Wukong,6,108,11.4
LeBlanc,5,46,11.4
Lulu,5,51,11.4
Sivir,5,83,11.4
Braum,5,118,11.4
Taliyah,5,131,11.4
Kayn,5,137,11.4
Ahri,4,2,11.4
Ashe,4,8,11.4
Blitzcrank,4,9,11.4
Chogath,4,13,11.4
Fiora,4,23,11.4
Miss Fortune,4,57,11.4
Zilean,4,116,11.4
Cassiopeia,3,12,11.4
Draven,3,18,11.4
Kassadin,3,40,11.4
Kennen,3,43,11.4
Rumble,3,75,11.4
Urgot,3,99,11.4
Yasuo,3,111,11.4
Ziggs,3,115,11.4
Bard,3,124,11.4
Kindred,3,127,11.4
Anivia,2,6,11.4
Darius,2,15,11.4
Evelynn,2,20,11.4
Heimerdinger,2,31,11.4
Janna,2,33,11.4
KhaZix,2,44,11.4
Lee Sin,2,47,11.4
Pantheon,2,68,11.4
Riven,2,74,11.4
Vladimir,2,105,11.4
RekSai,2,122,11.4
VelKoz,2,123,11.4
Ivern,2,133,11.4
Pyke,2,141,11.4
Viego,2,154,11.4
Akali,1,3,11.4
Annie,1,7,11.4
Diana,1,16,11.4
Elise,1,19,11.4
Fiddlesticks,1,22,11.4
Garen,1,27,11.4
Jax,1,35,11.4
Katarina,1,41,11.4
KogMaw,1,45,11.4
Lux,1,52,11.4
Maokai,1,55,11.4
Mordekaiser,1,58,11.4
Nunu,1,65,11.4
Poppy,1,69,11.4
Sejuani,1,77,11.4
Shyvana,1,80,11.4
Swain,1,87,11.4
Taric,1,90,11.4
Trundle,1,94,11.4
Twitch,1,97,11.4
Veigar,1,102,11.4
Xin Zhao,1,110,11.4
Zed,1,114,11.4
Aurelion Sol,1,130,11.4
Kled,1,132,11.4
Neeko,1,142,11.4
Qiyana,1,145,11.4
Samira,1,151,11.4
Amumu,0,5,11.4
Fizz,0,24,11.4
Lissandra,0,49,11.4
Malzahar,0,54,11.4
Nasus,0,61,11.4
Quinn,0,70,11.4
Rammus,0,71,11.4
Rengar,0,73,11.4
Singed,0,81,11.4
Soraka,0,86,11.4
Talon,0,89,11.4
Tryndamere,0,95,11.4
Yorick,0,112,11.4
Zyra,0,117,11.4
Yuumi,0,144,11.4
Hecarim,97,30,11.5
Udyr,84,98,11.5
Tristana,83,93,11.5
Gnar,83,119,11.5
Thresh,81,92,11.5
Rell,78,153,11.5
Kaisa,75,140,11.5
Seraphine,74,152,11.5
Lillia,69,149,11.5
Orianna,67,67,11.5
Alistar,61,4,11.5
Renekton,58,72,11.5
Gragas,43,28,11.5
Sion,43,82,11.5
Olaf,42,66,11.5
Azir,41,120,11.5
Camille,39,134,11.5
Xayah,39,135,11.5
Syndra,37,88,11.5
Zoe,35,139,11.5
Senna,30,146,11.5
Aatrox,29,1,11.5
Twisted Fate,29,96,11.5
Lucian,28,50,11.5
Nocturne,28,64,11.5
Galio,26,25,11.5
Viktor,26,104,11.5
Jayce,25,36,11.5
Nautilus,25,62,11.5
Nidalee,25,63,11.5
Jinx,23,37,11.5
Leona,22,48,11.5
Gangplank,20,26,11.5
Sylas,19,143,11.5
Ryze,18,76,11.5
Rakan,17,136,11.5
Sett,16,148,11.5
Graves,15,29,11.5
Irelia,15,32,11.5
Kalista,15,121,11.5
Caitlyn,14,11,11.5
Karma,14,38,11.5
Aphelios,14,147,11.5
Ezreal,13,21,11.5
Skarner,13,84,11.5
Yone,13,150,11.5
Karthus,10,39,11.5
Ornn,10,138,11.5
Urgot,9,99,11.5
Varus,9,100,11.5
Tahm Kench,9,126,11.5
Jhin,9,129,11.5
Chogath,8,13,11.5
Malphite,8,53,11.5
Vayne,8,101,11.5
Corki,7,14,11.5
LeBlanc,7,46,11.5
Wukong,7,108,11.5
Braum,7,118,11.5
Ahri,5,2,11.5
Jarvan IV,5,34,11.5
Volibear,5,106,11.5
Ekko,5,125,11.5
Blitzcrank,4,9,11.5
Cassiopeia,4,12,11.5
Dr. Mundo,4,17,11.5
Draven,4,18,11.5
Kennen,4,43,11.5
Rumble,4,75,11.5
Shen,4,79,11.5
Kindred,4,127,11.5
Samira,4,151,11.5
Evelynn,3,20,11.5
Fiora,3,23,11.5
Lulu,3,51,11.5
Morgana,3,59,11.5
Sivir,3,83,11.5
Zilean,3,116,11.5
RekSai,3,122,11.5
Kayn,3,137,11.5
Anivia,2,6,11.5
Elise,2,19,11.5
Heimerdinger,2,31,11.5
Kassadin,2,40,11.5
Katarina,2,41,11.5
KhaZix,2,44,11.5
Lee Sin,2,47,11.5
Malzahar,2,54,11.5
Miss Fortune,2,57,11.5
Quinn,2,70,11.5
Trundle,2,94,11.5
Veigar,2,102,11.5
Yasuo,2,111,11.5
Ziggs,2,115,11.5
Bard,2,124,11.5
Taliyah,2,131,11.5
Qiyana,2,145,11.5
Akali,1,3,11.5
Annie,1,7,11.5
Ashe,1,8,11.5
Darius,1,15,11.5
Diana,1,16,11.5
Janna,1,33,11.5
Jax,1,35,11.5
Maokai,1,55,11.5
Mordekaiser,1,58,11.5
Nasus,1,61,11.5
Sejuani,1,77,11.5
Swain,1,87,11.5
Vladimir,1,105,11.5
Zed,1,114,11.5
Aurelion Sol,1,130,11.5
Kled,1,132,11.5
Ivern,1,133,11.5
Pyke,1,141,11.5
Neeko,1,142,11.5
Yuumi,1,144,11.5
Amumu,0,5,11.5
