name,percentage,id,patch
Xin Zhao,85,110,12.1
Caitlyn,81,11,12.1
Jinx,76,37,12.1
Corki,74,14,12.1
Lee Sin,68,47,12.1
Thresh,67,92,12.1
Gwen,66,155,12.1
LeBlanc,62,46,12.1
Twisted Fate,62,96,12.1
Viktor,62,104,12.1
Renekton,60,72,12.1
Aphelios,56,147,12.1
Diana,54,16,12.1
Jhin,49,129,12.1
Akali,47,3,12.1
Jarvan IV,47,34,12.1
Karma,46,38,12.1
Vex,46,157,12.1
Viego,44,154,12.1
Leona,43,48,12.1
Nautilus,41,62,12.1
Lulu,40,51,12.1
Syndra,38,88,12.1
Gragas,37,28,12.1
Jayce,37,36,12.1
Rakan,34,136,12.1
Camille,27,134,12.1
Yuumi,24,144,12.1
Graves,23,29,12.1
Ezreal,22,21,12.1
Ornn,22,138,12.1
Tryndamere,21,95,12.1
Gangplank,19,26,12.1
Zoe,18,139,12.1
Orianna,16,67,12.1
Braum,15,118,12.1
Kennen,14,43,12.1
Lux,14,52,12.1
Ryze,14,76,12.1
Jax,12,35,12.1
Sett,12,148,12.1
Hecarim,11,30,12.1
Irelia,11,32,12.1
Lucian,11,50,12.1
Trundle,11,94,12.1
Yasuo,11,111,12.1
Ziggs,11,115,12.1
Talon,10,89,12.1
Sylas,10,143,12.1
Akshan,10,156,12.1
Nidalee,9,63,12.1
Kaisa,8,140,12.1
Galio,7,25,12.1
Poppy,7,69,12.1
Varus,7,100,12.1
Alistar,6,4,12.1
Malphite,6,53,12.1
Olaf,6,66,12.1
Sion,6,82,12.1
Gnar,6,119,12.1
Samira,6,151,12.1
Seraphine,6,152,12.1
Aatrox,5,1,12.1
Fiora,5,23,12.1
Nami,5,60,12.1
Xerath,5,109,12.1
Xayah,5,135,12.1
Pyke,5,141,12.1
Rell,5,153,12.1
RekSai,4,122,12.1
Draven,3,18,12.1
Karthus,3,39,12.1
Kassadin,3,40,12.1
Lissandra,3,49,12.1
Rumble,3,75,12.1
Urgot,3,99,12.1
Zed,3,114,12.1
Zilean,3,116,12.1
Azir,3,120,12.1
Qiyana,3,145,12.1
Yone,3,150,12.1
Ashe,2,8,12.1
Blitzcrank,2,9,12.1
Darius,2,15,12.1
KhaZix,2,44,12.1
Morgana,2,59,12.1
Riven,2,74,12.1
Shen,2,79,12.1
Vayne,2,101,12.1
Vladimir,2,105,12.1
Wukong,2,108,12.1
Kalista,2,121,12.1
