name,percentage,id,patch
Milio,94,163,13.10
Zeri,91,158,13.10
Vi,90,103,13.10
KSante,89,162,13.10
Neeko,88,142,13.10
Maokai,78,55,13.10
Aphelios,77,147,13.10
Lucian,75,50,13.10
Wukong,70,108,13.10
Ahri,61,2,13.10
Gragas,61,28,13.10
Annie,56,7,13.10
Lulu,51,51,13.10
Yuumi,49,144,13.10
Jayce,48,36,13.10
Nautilus,46,62,13.10
Sion,45,82,13.10
Gwen,44,155,13.10
Jinx,39,37,13.10
Rakan,38,136,13.10
Syndra,36,88,13.10
Viego,30,154,13.10
Gnar,27,119,13.10
Jax,25,35,13.10
KhaZix,25,44,13.10
Malphite,24,53,13.10
Olaf,23,66,13.10
Poppy,23,69,13.10
Xayah,22,135,13.10
Ornn,22,138,13.10
Sejuani,19,77,13.10
Draven,18,18,13.10
Nami,18,60,13.10
Fiora,17,23,13.10
Nocturne,15,64,13.10
Lee Sin,14,47,13.10
Lissandra,14,49,13.10
Blitzcrank,13,9,13.10
Jarvan IV,13,34,13.10
Graves,12,29,13.10
Varus,12,100,13.10
Braum,12,118,13.10
Karma,11,38,13.10
Kennen,10,43,13.10
Cassiopeia,9,12,13.10
Viktor,9,104,13.10
Kindred,9,127,13.10
Ezreal,8,21,13.10
LeBlanc,8,46,13.10
Thresh,8,92,13.10
Sylas,8,143,13.10
Xin Zhao,7,110,13.10
Jhin,7,129,13.10
Orianna,6,67,13.10
Rumble,6,75,13.10
Tristana,6,93,13.10
Yasuo,6,111,13.10
Tahm Kench,6,126,13.10
Aurelion Sol,6,130,13.10
Pyke,6,141,13.10
Ashe,5,8,13.10
Swain,5,87,13.10
Taliyah,5,131,13.10
Akali,4,3,13.10
Darius,4,15,13.10
Irelia,4,32,13.10
Leona,4,48,13.10
Miss Fortune,4,57,13.10
Nidalee,4,63,13.10
Twitch,4,97,13.10
Volibear,4,106,13.10
Camille,4,134,13.10
Senna,4,146,13.10
Yone,4,150,13.10
Renata Glasc,4,159,13.10
Aatrox,3,1,13.10
Chogath,3,13,13.10
Elise,3,19,13.10
Galio,3,25,13.10
Karthus,3,39,13.10
Zac,3,113,13.10
Seraphine,3,152,13.10
Rell,3,153,13.10
Alistar,2,4,13.10
Amumu,2,5,13.10
Gangplank,2,26,13.10
Heimerdinger,2,31,13.10
Kayle,2,42,13.10
KogMaw,2,45,13.10
Mordekaiser,2,58,13.10
Renekton,2,72,13.10
Rengar,2,73,13.10
Riven,2,74,13.10
Soraka,2,86,13.10
Trundle,2,94,13.10
Veigar,2,102,13.10
Ziggs,2,115,13.10
Azir,2,120,13.10
Kled,2,132,13.10
Kaisa,2,140,13.10
Samira,2,151,13.10
Belveth,2,160,13.10
Caitlyn,1,11,13.10
Corki,1,14,13.10
Dr. Mundo,1,17,13.10
Garen,1,27,13.10
Janna,1,33,13.10
Lux,1,52,13.10
Ryze,1,76,13.10
Sivir,1,83,13.10
Skarner,1,84,13.10
Sona,1,85,13.10
Talon,1,89,13.10
Taric,1,90,13.10
Tryndamere,1,95,13.10
Twisted Fate,1,96,13.10
Udyr,1,98,13.10
Zilean,1,116,13.10
Kalista,1,121,13.10
RekSai,1,122,13.10
Bard,1,124,13.10
Illaoi,1,128,13.10
Zoe,1,139,13.10
