opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Viego,27,74.07,8.15,3.59,10.52,5.2,2025-04-15 22:28:33
Diana,12,25.0,7.92,4.75,7.5,3.25,2025-04-15 22:28:33
Kayn,12,50.0,5.75,3.75,6.75,3.33,2025-04-15 22:28:33
Hecarim,21,52.38,7.57,4.52,7.14,3.25,2025-04-15 22:28:33
Nunu,14,50.0,8.5,3.93,8.71,4.38,2025-04-15 22:28:33
Talon,14,50.0,7.29,4.71,8.14,3.28,2025-04-15 22:28:33
Nocturne,22,63.64,9.64,4.59,7.41,3.71,2025-04-15 22:28:33
Elise,12,66.67,8.58,4.58,8.58,3.75,2025-04-15 22:28:33
Jarvan IV,16,68.75,5.88,3.31,8.81,4.44,2025-04-15 22:28:33
Lee Sin,13,61.54,8.08,3.31,8.08,4.88,2025-04-15 22:28:33
Rengar,10,70.0,8.2,4.4,8.8,3.86,2025-04-15 22:28:33
Volibear,10,80.0,11.1,4.5,8.6,4.38,2025-04-15 22:28:33
