opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Corki,50,52.0,6.98,4.36,5.96,2.97,2025-04-15 22:28:33
Ezreal,125,56.0,6.52,4.67,6.79,2.85,2025-04-15 22:28:33
Ashe,37,62.16,7.51,4.16,6.7,3.42,2025-04-15 22:28:33
Varus,32,43.75,7.35,3.72,6.28,3.66,2025-04-15 22:28:33
Kaisa,64,71.88,6.75,4.49,6.92,3.05,2025-04-15 22:28:33
Jhin,86,65.12,6.84,4.45,6.29,2.95,2025-04-15 22:28:33
Aphelios,47,57.45,6.66,4.32,6.81,3.12,2025-04-15 22:28:33
Tristana,51,60.78,6.92,4.55,6.84,3.03,2025-04-15 22:28:33
Missfortune,29,37.93,5.17,4.45,5.0,2.29,2025-04-15 22:28:33
Draven,10,40.0,4.1,5.5,5.7,1.78,2025-04-15 22:28:33
Mel,10,50.0,5.2,4.7,5.3,2.23,2025-04-15 22:28:33
Twitch,29,48.28,6.49,4.83,5.9,2.56,2025-04-15 22:28:33
Caitlyn,29,65.52,6.9,4.48,6.62,3.02,2025-04-15 22:28:33
Vayne,10,60.0,7.6,4.2,8.5,3.83,2025-04-15 22:28:33
Smolder,16,68.75,6.12,4.0,7.12,3.31,2025-04-15 22:28:33
Lucian,17,76.47,7.12,3.88,7.59,3.79,2025-04-15 22:28:33
