opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Alistar,74,59.46,1.53,5.3,13.95,2.92,2025-04-15 22:28:33
Karma,29,41.38,1.27,6.07,13.48,2.43,2025-04-15 22:28:33
Nautilus,77,57.14,1.78,6.23,14.97,2.69,2025-04-15 22:28:33
Rakan,40,52.5,1.42,6.35,13.92,2.42,2025-04-15 22:28:33
Fiddlesticks,11,18.18,1.45,7.27,13.55,2.06,2025-04-15 22:28:33
Rell,53,47.17,1.68,6.91,12.85,2.1,2025-04-15 22:28:33
Elise,10,50.0,1.8,7.4,10.2,1.62,2025-04-15 22:28:33
Braum,39,46.15,1.31,5.87,12.1,2.28,2025-04-15 22:28:33
Neeko,16,50.0,1.88,5.88,15.06,2.88,2025-04-15 22:28:33
Pantheon,15,46.67,1.8,6.27,14.07,2.53,2025-04-15 22:28:33
Poppy,14,50.0,1.21,4.43,11.0,2.76,2025-04-15 22:28:33
Lulu,10,70.0,2.0,3.9,13.7,4.03,2025-04-15 22:28:33
Nami,12,41.67,1.08,5.83,12.25,2.29,2025-04-15 22:28:33
