opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Varus,114,52.63,6.86,4.52,5.03,2.63,2025-04-15 22:28:33
Jhin,145,60.69,8.24,5.21,5.37,2.61,2025-04-15 22:28:33
Ezreal,227,54.63,7.07,4.5,5.24,2.74,2025-04-15 22:28:33
Jinx,75,54.67,7.71,3.76,5.05,3.39,2025-04-15 22:28:33
Kaisa,258,58.53,7.41,4.72,5.59,2.75,2025-04-15 22:28:33
Lucian,43,58.14,7.51,5.09,5.68,2.59,2025-04-15 22:28:33
Corki,202,50.0,7.79,4.91,5.63,2.74,2025-04-15 22:28:33
Aphelios,31,41.94,6.9,4.84,4.68,2.39,2025-04-15 22:28:33
Missfortune,79,53.16,7.85,5.05,5.02,2.55,2025-04-15 22:28:33
Draven,37,48.65,7.32,4.54,6.08,2.95,2025-04-15 22:28:33
Xayah,23,43.48,7.61,5.04,4.74,2.45,2025-04-15 22:28:33
Sivir,12,66.67,8.92,4.92,4.58,2.74,2025-04-15 22:28:33
Caitlyn,39,61.54,7.38,4.36,4.77,2.79,2025-04-15 22:28:33
Ashe,38,71.05,9.61,4.26,5.23,3.48,2025-04-15 22:28:33
Vayne,10,70.0,7.0,4.5,3.7,2.38,2025-04-15 22:28:33
Zeri,11,63.64,8.36,4.0,5.27,3.41,2025-04-15 22:28:33
Kalista,10,50.0,6.8,4.4,5.5,2.8,2025-04-15 22:28:33
