opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Rakan,83,39.76,1.84,5.6,12.41,2.54,2025-04-15 22:28:33
Senna,65,47.69,1.89,6.19,13.65,2.51,2025-04-15 22:28:33
Lulu,123,48.78,1.84,5.61,12.97,2.64,2025-04-15 22:28:33
Pyke,72,43.06,2.43,6.86,12.23,2.14,2025-04-15 22:28:33
Elise,12,50.0,1.75,6.0,12.58,2.39,2025-04-15 22:28:33
Braum,172,50.0,1.62,5.97,13.12,2.47,2025-04-15 22:28:33
Alistar,115,50.43,1.9,5.75,13.16,2.62,2025-04-15 22:28:33
Rell,178,48.31,1.85,6.51,13.5,2.36,2025-04-15 22:28:33
Maokai,13,53.85,2.62,4.77,12.69,3.21,2025-04-15 22:28:33
Neeko,37,45.95,1.89,5.14,12.16,2.74,2025-04-15 22:28:33
Poppy,35,51.43,1.32,6.68,16.23,2.62,2025-04-15 22:28:33
Leona,81,53.09,1.91,6.3,15.99,2.84,2025-04-15 22:28:33
Pantheon,34,55.88,2.03,5.82,13.92,2.74,2025-04-15 22:28:33
Karma,174,56.9,1.9,5.83,13.39,2.62,2025-04-15 22:28:33
Thresh,66,65.15,2.01,6.0,13.91,2.65,2025-04-15 22:28:33
Nami,80,45.0,1.91,5.81,12.79,2.53,2025-04-15 22:28:33
Bard,29,48.28,2.41,6.42,14.69,2.67,2025-04-15 22:28:33
Janna,72,54.17,1.84,5.62,13.58,2.74,2025-04-15 22:28:33
Sona,32,53.12,2.44,5.53,15.41,3.23,2025-04-15 22:28:33
Yuumi,11,27.27,1.82,5.91,14.73,2.8,2025-04-15 22:28:33
Soraka,12,50.0,2.25,3.75,13.75,4.27,2025-04-15 22:28:33
