opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Ezreal,98,46.94,7.0,4.6,5.58,2.73,2025-04-15 22:28:33
Kaisa,52,57.69,7.35,5.18,6.29,2.63,2025-04-15 22:28:33
Corki,35,60.0,7.4,4.94,6.63,2.84,2025-04-15 22:28:33
Tristana,37,59.46,6.46,5.08,6.46,2.54,2025-04-15 22:28:33
Jhin,40,55.0,7.15,5.15,5.45,2.45,2025-04-15 22:28:33
Varus,39,51.28,5.9,4.77,5.98,2.49,2025-04-15 22:28:33
Aphelios,13,38.46,5.23,3.69,4.85,2.73,2025-04-15 22:28:33
Missfortune,14,50.0,5.29,5.0,6.29,2.32,2025-04-15 22:28:33
Jinx,10,50.0,7.9,5.5,5.6,2.45,2025-04-15 22:28:33
