opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Tristana,42,33.33,5.81,5.62,6.24,2.14,2025-04-15 22:28:33
Lucian,22,59.09,5.18,4.14,5.45,2.57,2025-04-15 22:28:33
Varus,58,53.45,6.09,4.88,6.07,2.49,2025-04-15 22:28:33
Corki,42,59.52,6.0,4.48,6.09,2.7,2025-04-15 22:28:33
Aphelios,14,64.29,6.86,5.07,7.36,2.8,2025-04-15 22:28:33
Ezreal,90,55.56,6.19,4.77,5.54,2.46,2025-04-15 22:28:33
Missfortune,23,52.17,5.43,4.26,5.74,2.62,2025-04-15 22:28:33
Ashe,30,63.33,5.43,3.7,5.93,3.07,2025-04-15 22:28:33
Jhin,79,59.49,7.28,5.2,5.66,2.49,2025-04-15 22:28:33
Kaisa,46,58.7,5.46,4.48,6.67,2.71,2025-04-15 22:28:33
Sivir,12,41.67,7.42,5.42,5.83,2.44,2025-04-15 22:28:33
Vayne,12,50.0,7.17,4.92,7.0,2.88,2025-04-15 22:28:33
Jinx,46,58.7,6.11,4.5,5.94,2.68,2025-04-15 22:28:33
