opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Gwen,14,42.86,4.57,4.79,3.93,1.77,2025-04-15 22:28:33
Fiora,11,54.55,4.73,4.91,3.45,1.67,2025-04-15 22:28:33
