opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Braum,67,41.79,1.75,5.87,15.07,2.87,2025-04-15 22:28:33
Lulu,77,48.05,1.95,4.79,14.14,3.36,2025-04-15 22:28:33
Nami,41,39.02,1.83,6.2,13.88,2.54,2025-04-15 22:28:33
Karma,81,60.49,1.89,4.78,17.01,3.95,2025-04-15 22:28:33
Poppy,125,47.2,1.7,5.9,15.3,2.88,2025-04-15 22:28:33
Alistar,247,57.49,1.81,5.4,15.74,3.25,2025-04-15 22:28:33
Janna,31,58.06,1.48,4.84,14.55,3.31,2025-04-15 22:28:33
Bard,45,57.78,2.49,5.29,16.82,3.65,2025-04-15 22:28:33
Leona,75,56.0,1.65,5.19,16.82,3.56,2025-04-15 22:28:33
Senna,35,54.29,2.6,5.06,15.57,3.59,2025-04-15 22:28:33
Nautilus,168,63.69,2.27,5.41,16.69,3.5,2025-04-15 22:28:33
Rakan,66,62.12,2.16,4.3,15.12,4.02,2025-04-15 22:28:33
Soraka,10,70.0,2.4,4.9,16.9,3.94,2025-04-15 22:28:33
Pantheon,26,53.85,2.65,6.73,17.54,3.0,2025-04-15 22:28:33
Pyke,38,42.11,1.55,6.55,17.26,2.87,2025-04-15 22:28:33
Sona,10,60.0,3.0,4.0,15.7,4.67,2025-04-15 22:28:33
Fiddlesticks,14,64.29,2.64,5.36,16.43,3.56,2025-04-15 22:28:33
Elise,39,69.23,2.08,5.38,16.31,3.42,2025-04-15 22:28:33
Neeko,23,34.78,0.87,5.52,13.0,2.51,2025-04-15 22:28:33
Maokai,10,70.0,1.9,5.4,19.0,3.87,2025-04-15 22:28:33
