opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Lee Sin,45,55.56,5.42,4.42,11.95,3.93,2025-04-15 22:28:33
Graves,10,60.0,5.4,4.2,13.3,4.45,2025-04-15 22:28:33
Hecarim,18,38.89,3.33,4.56,8.94,2.69,2025-04-15 22:28:33
Kayn,10,60.0,5.6,4.5,10.7,3.62,2025-04-15 22:28:33
Viego,42,54.76,4.86,3.88,10.17,3.87,2025-04-15 22:28:33
Vi,29,48.28,5.0,4.1,11.07,3.92,2025-04-15 22:28:33
Poppy,15,46.67,4.07,4.33,12.07,3.73,2025-04-15 22:28:33
Xin Zhao,26,53.85,5.31,4.35,11.65,3.9,2025-04-15 22:28:33
Zyra,14,50.0,6.07,4.0,11.64,4.43,2025-04-15 22:28:33
Pantheon,12,50.0,4.5,3.5,15.08,5.59,2025-04-15 22:28:33
Gwen,18,55.56,5.17,3.72,13.39,4.99,2025-04-15 22:28:33
Nidalee,13,61.54,5.15,3.23,12.77,5.55,2025-04-15 22:28:33
Drmundo,11,72.73,5.45,4.91,12.73,3.7,2025-04-15 22:28:33
