opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Udyr,10,60.0,5.4,4.4,7.4,2.91,2025-04-15 22:28:33
Talon,10,20.0,5.2,4.9,6.8,2.45,2025-04-15 22:28:33
Gwen,12,50.0,6.25,3.08,7.58,4.49,2025-04-15 22:28:33
Naafiri,60,51.67,6.25,4.23,7.87,3.34,2025-04-15 22:28:33
Viego,54,61.11,6.69,3.28,8.02,4.49,2025-04-15 22:28:33
Vi,29,48.28,5.45,3.76,7.38,3.41,2025-04-15 22:28:33
Drmundo,14,64.29,7.71,3.0,8.36,5.36,2025-04-15 22:28:33
Pantheon,12,66.67,6.5,3.5,10.67,4.91,2025-04-15 22:28:33
Karthus,11,36.36,7.27,3.55,8.0,4.3,2025-04-15 22:28:33
Zyra,10,50.0,7.0,4.6,10.3,3.76,2025-04-15 22:28:33
Lee Sin,10,60.0,7.4,3.7,8.0,4.16,2025-04-15 22:28:33
Nidalee,20,70.0,6.0,3.25,8.7,4.52,2025-04-15 22:28:33
Zac,10,80.0,6.7,3.1,10.0,5.39,2025-04-15 22:28:33
Volibear,11,54.55,6.18,3.36,8.09,4.25,2025-04-15 22:28:33
