opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Leona,27,55.56,1.52,5.29,13.67,2.87,2025-04-15 22:28:33
Renata Glasc,16,37.5,2.06,5.38,12.12,2.64,2025-04-15 22:28:33
Pyke,74,44.59,1.64,6.46,13.42,2.33,2025-04-15 22:28:33
Blitzcrank,23,43.48,1.95,5.3,14.34,3.07,2025-04-15 22:28:33
Soraka,45,60.0,1.83,4.47,15.44,3.87,2025-04-15 22:28:33
Lulu,177,56.5,1.65,4.42,13.72,3.48,2025-04-15 22:28:33
Janna,67,58.21,1.64,4.27,12.58,3.33,2025-04-15 22:28:33
Nami,166,56.02,1.78,4.71,13.57,3.26,2025-04-15 22:28:33
Bard,78,51.28,1.99,4.87,13.06,3.09,2025-04-15 22:28:33
Nautilus,166,50.0,1.55,5.08,14.95,3.25,2025-04-15 22:28:33
Thresh,62,54.84,1.84,4.35,14.43,3.74,2025-04-15 22:28:33
Rakan,79,58.23,1.52,4.35,13.51,3.45,2025-04-15 22:28:33
Milio,32,53.12,1.16,3.94,14.66,4.02,2025-04-15 22:28:33
Braum,17,76.47,1.94,3.94,15.94,4.54,2025-04-15 22:28:33
Sona,35,45.71,1.69,4.28,14.0,3.66,2025-04-15 22:28:33
Pantheon,35,31.43,2.03,5.6,15.03,3.05,2025-04-15 22:28:33
Yuumi,11,36.36,1.91,3.91,12.55,3.7,2025-04-15 22:28:33
Elise,55,56.36,1.98,4.91,15.05,3.47,2025-04-15 22:28:33
Rell,74,56.76,1.64,4.62,13.97,3.38,2025-04-15 22:28:33
Neeko,78,50.0,1.57,4.42,13.53,3.42,2025-04-15 22:28:33
Seraphine,12,75.0,1.83,3.33,16.5,5.5,2025-04-15 22:28:33
Senna,62,51.61,1.92,4.56,12.93,3.26,2025-04-15 22:28:33
Poppy,20,50.0,2.05,4.85,12.0,2.9,2025-04-15 22:28:33
Anivia,10,60.0,2.0,4.5,15.1,3.8,2025-04-15 22:28:33
Alistar,31,58.06,2.09,4.39,13.45,3.54,2025-04-15 22:28:33
Lux,11,81.82,2.18,4.45,17.27,4.37,2025-04-15 22:28:33
