opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Lucian,73,39.73,6.94,5.22,6.04,2.49,2025-04-15 22:28:33
Tristana,227,50.66,6.7,4.78,5.81,2.62,2025-04-15 22:28:33
Miss Fortune,83,59.04,7.48,5.07,6.69,2.79,2025-04-15 22:28:33
Varus,150,49.33,6.69,4.77,6.07,2.67,2025-04-15 22:28:33
Xayah,126,55.56,7.39,4.71,6.44,2.94,2025-04-15 22:28:33
Corki,113,53.1,6.97,4.64,6.09,2.81,2025-04-15 22:28:33
Jhin,176,62.5,7.71,5.02,6.66,2.86,2025-04-15 22:28:33
Ezreal,601,57.9,7.46,4.56,6.2,2.99,2025-04-15 22:28:33
Aphelios,48,39.58,7.37,4.56,5.77,2.88,2025-04-15 22:28:33
Jinx,62,41.94,7.69,4.78,5.68,2.8,2025-04-15 22:28:33
Ashe,59,40.68,6.48,5.05,6.56,2.58,2025-04-15 22:28:33
Kalista,35,45.71,8.34,5.69,7.14,2.72,2025-04-15 22:28:33
Zeri,44,54.55,7.59,4.41,6.11,3.11,2025-04-15 22:28:33
Draven,25,56.0,6.4,3.96,6.16,3.17,2025-04-15 22:28:33
Mel,10,80.0,8.0,3.5,7.0,4.29,2025-04-15 22:28:33
