opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Viego,73,56.16,6.07,4.33,5.23,2.61,2025-04-15 22:28:33
Kayn,29,65.52,7.14,5.11,5.69,2.51,2025-04-15 22:28:33
Diana,13,61.54,6.77,4.23,5.62,2.93,2025-04-15 22:28:33
Ambessa,81,50.62,5.7,4.65,3.9,2.06,2025-04-15 22:28:33
Naafiri,18,38.89,7.11,5.33,5.39,2.35,2025-04-15 22:28:33
Jarvaniv,13,38.46,7.46,5.15,5.46,2.51,2025-04-15 22:28:33
Fiora,73,61.64,5.04,4.74,3.55,1.81,2025-04-15 22:28:33
Jax,50,62.0,5.9,4.76,3.84,2.05,2025-04-15 22:28:33
Khazix,10,60.0,7.8,7.2,5.6,1.86,2025-04-15 22:28:33
Vi,41,58.54,6.44,4.64,5.49,2.57,2025-04-15 22:28:33
Lillia,12,66.67,6.25,4.17,6.67,3.1,2025-04-15 22:28:33
Akali,31,70.97,6.1,5.1,4.65,2.11,2025-04-15 22:28:33
Jayce,109,60.55,5.05,4.69,4.0,1.93,2025-04-15 22:28:33
Aatrox,10,90.0,7.2,4.2,4.0,2.67,2025-04-15 22:28:33
Pantheon,23,82.61,7.96,4.74,5.21,2.78,2025-04-15 22:28:33
Volibear,11,81.82,8.45,4.09,6.55,3.67,2025-04-15 22:28:33
Zac,11,18.18,4.91,4.91,3.82,1.78,2025-04-15 22:28:33
Gnar,33,45.45,5.3,5.03,4.3,1.91,2025-04-15 22:28:33
Yone,10,50.0,5.1,5.9,4.2,1.58,2025-04-15 22:28:33
Leesin,34,52.94,8.47,4.94,5.98,2.92,2025-04-15 22:28:33
Rumble,34,50.0,6.26,5.29,4.59,2.05,2025-04-15 22:28:33
Kennen,18,55.56,4.33,6.17,5.78,1.64,2025-04-15 22:28:33
Rengar,11,63.64,6.36,5.0,4.64,2.2,2025-04-15 22:28:33
Sion,11,63.64,5.36,5.91,4.82,1.72,2025-04-15 22:28:33
Sett,10,70.0,6.1,5.7,5.2,1.98,2025-04-15 22:28:33
Vladimir,12,75.0,3.92,3.58,3.08,1.96,2025-04-15 22:28:33
Riven,13,38.46,7.0,7.46,4.23,1.51,2025-04-15 22:28:33
Aurora,10,60.0,4.4,5.9,3.8,1.39,2025-04-15 22:28:33
