opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Renekton,134,57.46,4.74,4.16,4.95,2.33,2025-04-15 22:28:33
Volibear,21,47.62,6.1,4.24,5.29,2.68,2025-04-15 22:28:33
Riven,52,63.46,5.81,4.69,5.52,2.41,2025-04-15 22:28:33
Gwen,66,54.55,5.57,5.18,5.04,2.05,2025-04-15 22:28:33
Jayce,247,52.63,4.79,4.49,4.89,2.15,2025-04-15 22:28:33
Camille,91,61.54,4.94,4.24,5.44,2.45,2025-04-15 22:28:33
Aatrox,60,50.0,5.17,3.97,5.02,2.57,2025-04-15 22:28:33
Rumble,78,56.41,5.27,5.03,5.03,2.05,2025-04-15 22:28:33
Gangplank,26,73.08,7.15,4.19,5.54,3.03,2025-04-15 22:28:33
Gnar,34,47.06,4.86,4.03,3.47,2.07,2025-04-15 22:28:33
Ksante,29,62.07,4.24,4.52,6.14,2.3,2025-04-15 22:28:33
Fiora,32,62.5,5.66,3.69,5.63,3.06,2025-04-15 22:28:33
Vladimir,12,50.0,4.25,3.0,3.33,2.53,2025-04-15 22:28:33
Sion,13,61.54,4.23,3.77,5.08,2.47,2025-04-15 22:28:33
Yone,10,70.0,5.8,4.3,4.9,2.49,2025-04-15 22:28:33
Aurora,25,64.0,5.44,4.28,4.6,2.35,2025-04-15 22:28:33
Irelia,10,30.0,4.4,4.9,3.7,1.65,2025-04-15 22:28:33
Warwick,23,34.78,4.87,5.09,4.48,1.84,2025-04-15 22:28:33
Quinn,10,40.0,5.0,6.2,5.4,1.68,2025-04-15 22:28:33
Darius,10,40.0,4.5,4.6,5.5,2.17,2025-04-15 22:28:33
Gragas,12,50.0,4.0,3.5,4.5,2.43,2025-04-15 22:28:33
Garen,10,60.0,4.8,4.4,3.7,1.93,2025-04-15 22:28:33
Shen,11,63.64,4.73,4.64,5.64,2.23,2025-04-15 22:28:33
Chogath,14,64.29,5.5,3.79,4.79,2.72,2025-04-15 22:28:33
Jax,13,61.54,5.0,4.85,5.77,2.22,2025-04-15 22:28:33
