opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Naafiri,25,44.0,9.08,4.72,5.88,3.17,2025-04-15 22:28:33
Viego,49,48.98,7.21,4.41,6.82,3.18,2025-04-15 22:28:33
Khazix,14,71.43,11.14,4.36,7.14,4.19,2025-04-15 22:28:33
Hecarim,27,66.67,7.41,4.44,6.85,3.21,2025-04-15 22:28:33
Ekko,10,50.0,9.8,5.6,6.2,2.86,2025-04-15 22:28:33
Vi,10,60.0,6.9,4.9,6.7,2.78,2025-04-15 22:28:33
Zyra,10,60.0,8.7,5.7,6.1,2.6,2025-04-15 22:28:33
Volibear,10,60.0,6.6,4.0,8.0,3.65,2025-04-15 22:28:33
Diana,27,70.37,8.59,4.85,7.33,3.28,2025-04-15 22:28:33
Leesin,26,73.08,10.42,4.19,7.46,4.27,2025-04-15 22:28:33
Lillia,11,36.36,8.64,6.09,7.27,2.61,2025-04-15 22:28:33
Kindred,10,50.0,10.3,5.8,5.9,2.79,2025-04-15 22:28:33
Gwen,14,64.29,9.43,4.5,5.29,3.27,2025-04-15 22:28:33
Graves,12,75.0,8.0,4.75,7.83,3.33,2025-04-15 22:28:33
