opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Pyke,77,40.26,1.31,5.23,14.29,2.98,2025-04-15 22:28:33
Braum,38,50.0,1.0,4.58,15.16,3.53,2025-04-15 22:28:33
Alistar,106,54.72,1.27,4.38,14.03,3.49,2025-04-15 22:28:33
Leona,36,52.78,1.84,5.17,18.53,3.94,2025-04-15 22:28:33
Karma,44,61.36,1.34,4.43,15.43,3.78,2025-04-15 22:28:33
Nami,34,58.82,1.56,5.15,16.79,3.56,2025-04-15 22:28:33
Poppy,73,52.05,0.97,4.71,14.97,3.38,2025-04-15 22:28:33
Rell,79,59.49,1.34,4.15,14.86,3.9,2025-04-15 22:28:33
Nautilus,63,47.62,1.22,4.92,14.94,3.28,2025-04-15 22:28:33
Pantheon,13,53.85,1.23,4.08,15.38,4.07,2025-04-15 22:28:33
Neeko,20,60.0,1.75,5.3,16.9,3.52,2025-04-15 22:28:33
Lulu,14,28.57,1.5,4.21,14.0,3.68,2025-04-15 22:28:33
Janna,25,72.0,1.8,3.8,13.76,4.1,2025-04-15 22:28:33
Bard,15,86.67,2.2,4.53,17.53,4.36,2025-04-15 22:28:33
