opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Tristana,51,52.94,7.6,5.84,5.49,2.24,2025-04-15 22:28:33
Jinx,50,66.0,7.48,5.02,5.58,2.6,2025-04-15 22:28:33
Draven,22,54.55,7.55,6.28,6.45,2.23,2025-04-15 22:28:33
Corki,15,46.67,7.13,5.33,5.13,2.3,2025-04-15 22:28:33
Ezreal,47,53.19,7.45,5.23,5.68,2.51,2025-04-15 22:28:33
Kaisa,59,54.24,7.19,4.78,4.32,2.41,2025-04-15 22:28:33
Varus,15,60.0,6.07,4.33,4.4,2.42,2025-04-15 22:28:33
Ashe,11,63.64,9.45,5.64,7.45,3.0,2025-04-15 22:28:33
Miss Fortune,18,66.67,7.61,4.83,4.89,2.59,2025-04-15 22:28:33
Jhin,20,85.0,8.1,5.35,6.1,2.65,2025-04-15 22:28:33
Caitlyn,21,61.9,6.29,5.15,4.95,2.18,2025-04-15 22:28:33
Lucian,10,80.0,5.4,4.1,5.4,2.63,2025-04-15 22:28:33
