opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Leona,11,27.27,3.55,5.64,13.36,3.0,2025-04-15 22:28:33
Rakan,10,40.0,3.7,4.6,16.0,4.28,2025-04-15 22:28:33
Nautilus,44,47.73,2.79,5.34,15.64,3.45,2025-04-15 22:28:33
Karma,52,53.85,2.37,4.67,14.25,3.55,2025-04-15 22:28:33
Nami,50,60.0,2.18,4.86,14.12,3.35,2025-04-15 22:28:33
Lulu,42,59.52,2.43,4.93,13.76,3.29,2025-04-15 22:28:33
Janna,14,50.0,2.79,4.07,14.43,4.23,2025-04-15 22:28:33
Senna,13,61.54,3.38,3.08,13.69,5.54,2025-04-15 22:28:33
Bard,20,75.0,2.8,5.35,16.3,3.57,2025-04-15 22:28:33
Rell,10,30.0,2.5,6.1,10.3,2.1,2025-04-15 22:28:33
Pyke,12,50.0,2.33,7.75,15.08,2.25,2025-04-15 22:28:33
