opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Karma,90,67.78,5.53,5.47,10.23,2.88,2025-04-15 22:28:33
Sona,12,25.0,5.75,7.25,9.67,2.13,2025-04-15 22:28:33
Leona,23,39.13,6.52,4.43,8.87,3.47,2025-04-15 22:28:33
Nami,21,52.38,5.76,6.33,11.28,2.69,2025-04-15 22:28:33
Braum,27,40.74,6.3,5.59,9.52,2.83,2025-04-15 22:28:33
Elise,28,39.29,6.1,6.21,10.07,2.6,2025-04-15 22:28:33
Rell,79,56.96,5.91,5.71,10.5,2.88,2025-04-15 22:28:33
Rakan,81,51.85,5.49,5.43,9.12,2.69,2025-04-15 22:28:33
Bard,49,55.1,6.06,6.1,11.08,2.81,2025-04-15 22:28:33
Lulu,28,50.0,5.68,7.0,12.22,2.56,2025-04-15 22:28:33
Senna,24,66.67,6.92,4.87,11.04,3.68,2025-04-15 22:28:33
Nautilus,75,62.67,6.12,6.15,10.93,2.77,2025-04-15 22:28:33
Neeko,36,55.56,5.75,5.72,9.34,2.64,2025-04-15 22:28:33
Janna,13,61.54,6.77,5.85,11.77,3.17,2025-04-15 22:28:33
Poppy,15,26.67,5.73,6.53,8.13,2.12,2025-04-15 22:28:33
Alistar,29,37.93,4.69,5.41,8.38,2.41,2025-04-15 22:28:33
Pantheon,11,63.64,4.45,6.27,12.18,2.65,2025-04-15 22:28:33
Thresh,36,50.0,5.92,6.22,10.42,2.63,2025-04-15 22:28:33
