opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Leona,40,47.5,1.3,5.05,17.2,3.66,2025-04-15 22:28:33
Pyke,21,61.9,1.33,5.67,15.62,2.99,2025-04-15 22:28:33
Nautilus,184,54.89,1.06,5.02,15.05,3.21,2025-04-15 22:28:33
Alistar,52,44.23,1.04,5.39,15.0,2.98,2025-04-15 22:28:33
Rell,38,65.79,1.29,4.29,17.61,4.4,2025-04-15 22:28:33
Thresh,13,23.08,1.0,6.77,14.31,2.26,2025-04-15 22:28:33
Karma,11,36.36,0.91,6.09,15.09,2.63,2025-04-15 22:28:33
Nami,12,91.67,0.67,4.17,19.0,4.72,2025-04-15 22:28:33
Soraka,10,50.0,1.1,5.0,11.7,2.56,2025-04-15 22:28:33
Rakan,24,66.67,0.96,4.38,15.38,3.73,2025-04-15 22:28:33
Pantheon,19,31.58,1.11,6.26,16.74,2.85,2025-04-15 22:28:33
Neeko,12,50.0,0.92,4.08,16.0,4.15,2025-04-15 22:28:33
Poppy,10,50.0,0.5,5.7,13.2,2.4,2025-04-15 22:28:33
