opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Corki,60,51.67,5.58,5.32,8.08,2.57,2025-04-15 22:28:33
Tristana,61,39.34,3.98,5.29,6.41,1.96,2025-04-15 22:28:33
Jinx,11,36.36,5.0,5.91,8.64,2.31,2025-04-15 22:28:33
Missfortune,52,50.0,4.44,5.43,8.52,2.39,2025-04-15 22:28:33
Jhin,118,55.93,4.93,5.13,8.48,2.62,2025-04-15 22:28:33
Varus,82,47.56,4.38,4.93,6.66,2.24,2025-04-15 22:28:33
Ezreal,145,60.69,5.41,5.26,8.53,2.65,2025-04-15 22:28:33
Kalista,16,68.75,6.31,4.62,9.38,3.4,2025-04-15 22:28:33
Kaisa,89,64.04,6.16,5.72,9.44,2.73,2025-04-15 22:28:33
Caitlyn,12,25.0,4.75,5.25,8.08,2.44,2025-04-15 22:28:33
