opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Tristana,65,56.92,6.54,5.11,7.46,2.74,2025-04-15 22:28:33
Ezreal,192,64.06,6.04,4.58,7.09,2.86,2025-04-15 22:28:33
Draven,22,59.09,6.91,4.59,8.32,3.32,2025-04-15 22:28:33
Kaisa,93,50.54,6.0,5.12,6.74,2.49,2025-04-15 22:28:33
Jhin,111,63.96,6.59,4.66,6.97,2.91,2025-04-15 22:28:33
Smolder,11,54.55,9.09,5.36,9.09,3.39,2025-04-15 22:28:33
Varus,119,51.26,5.56,4.96,7.12,2.56,2025-04-15 22:28:33
Caitlyn,33,57.58,7.91,4.45,6.85,3.31,2025-04-15 22:28:33
Jinx,24,66.67,8.71,5.46,7.17,2.91,2025-04-15 22:28:33
Corki,75,58.67,5.69,4.58,6.08,2.57,2025-04-15 22:28:33
Lucian,24,58.33,6.04,4.75,6.92,2.73,2025-04-15 22:28:33
Ashe,34,64.71,6.27,4.29,7.38,3.18,2025-04-15 22:28:33
Kalista,13,53.85,6.0,5.15,7.0,2.52,2025-04-15 22:28:33
