opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Leona,36,58.33,4.58,6.42,9.67,2.22,2025-04-15 22:28:33
Braum,22,50.0,4.09,5.13,9.0,2.55,2025-04-15 22:28:33
Alistar,43,48.84,4.91,6.05,10.23,2.5,2025-04-15 22:28:33
Karma,48,58.33,4.52,6.41,9.17,2.13,2025-04-15 22:28:33
Rell,53,49.06,5.44,6.36,10.11,2.44,2025-04-15 22:28:33
Senna,10,60.0,3.9,7.1,11.9,2.23,2025-04-15 22:28:33
Pyke,20,50.0,5.35,7.3,10.4,2.16,2025-04-15 22:28:33
Nautilus,23,65.22,4.74,8.09,10.43,1.88,2025-04-15 22:28:33
Neeko,29,65.52,4.72,5.55,10.28,2.7,2025-04-15 22:28:33
Pantheon,51,56.86,5.71,6.69,11.51,2.57,2025-04-15 22:28:33
Rakan,33,66.67,5.15,5.06,8.66,2.73,2025-04-15 22:28:33
Poppy,26,76.92,6.39,6.31,11.96,2.91,2025-04-15 22:28:33
Talon,13,30.77,7.23,5.38,6.38,2.53,2025-04-15 22:28:33
Nami,14,42.86,4.43,6.36,10.36,2.33,2025-04-15 22:28:33
Nidalee,10,50.0,8.0,4.1,5.3,3.24,2025-04-15 22:28:33
Bard,13,53.85,6.92,7.69,9.54,2.14,2025-04-15 22:28:33
Viego,27,55.56,9.56,3.81,5.11,3.85,2025-04-15 22:28:33
Jarvan IV,14,50.0,7.64,4.79,7.36,3.13,2025-04-15 22:28:33
Drmundo,13,61.54,6.92,4.69,7.46,3.07,2025-04-15 22:28:33
Nunu,14,64.29,10.36,3.71,6.93,4.66,2025-04-15 22:28:33
Lulu,16,68.75,5.38,6.69,10.06,2.31,2025-04-15 22:28:33
Vi,11,72.73,8.27,5.0,7.0,3.05,2025-04-15 22:28:33
Janna,13,84.62,5.0,4.0,11.54,4.13,2025-04-15 22:28:33
