opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Rakan,79,58.23,3.1,4.98,11.62,2.96,2025-04-15 22:28:33
Naafiri,13,61.54,5.92,3.69,9.08,4.07,2025-04-15 22:28:33
Jarvaniv,13,61.54,6.08,5.15,9.23,2.97,2025-04-15 22:28:33
Rell,147,62.59,3.39,5.09,12.13,3.05,2025-04-15 22:28:33
Alistar,73,63.01,2.63,4.61,11.22,3.0,2025-04-15 22:28:33
Nautilus,56,55.36,2.58,5.7,11.18,2.42,2025-04-15 22:28:33
Pantheon,33,45.45,2.88,4.72,11.82,3.11,2025-04-15 22:28:33
Aatrox,11,54.55,2.09,5.45,5.73,1.43,2025-04-15 22:28:33
Leona,15,26.67,2.4,5.87,10.47,2.19,2025-04-15 22:28:33
Maokai,10,40.0,2.5,5.9,11.1,2.31,2025-04-15 22:28:33
Elise,21,42.86,3.62,5.95,13.48,2.87,2025-04-15 22:28:33
Neeko,26,50.0,2.81,5.27,11.27,2.67,2025-04-15 22:28:33
Senna,14,50.0,3.14,4.43,10.0,2.97,2025-04-15 22:28:33
Lulu,20,65.0,3.65,4.9,11.15,3.02,2025-04-15 22:28:33
Vi,14,71.43,5.64,4.71,9.64,3.24,2025-04-15 22:28:33
Karma,18,66.67,2.44,5.33,10.11,2.35,2025-04-15 22:28:33
Pyke,23,69.57,3.57,7.17,12.04,2.18,2025-04-15 22:28:33
Braum,16,75.0,2.94,3.94,13.62,4.2,2025-04-15 22:28:33
Ambessa,13,69.23,3.15,2.46,6.23,3.81,2025-04-15 22:28:33
